"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00131300","1895","42.5377","-92.443","232.6","CEDAR FALLS, IA US","515.9","","515.9","6","","","","","","","","","33","6","159","6","67","6","159","6","32","6","-31.1","6,0209,+","","","","","","","35.0","6,0823,+","-0.6","6,0930","-7.2","6,1009","-7.2","6,1009","-7.2","6,1009","-10.0","6,1023","-1.7","6,0514","-3.3","6,0414","-4.4","6,0319","-9.4","6,0317","-9.4","6,0317","","","","","8.20","6","15.23","6","1.18","6"
"USC00131300","1896","42.5377","-92.443","232.6","CEDAR FALLS, IA US","","","","","","","","","","","","","12","6","156","6","52","6","160","6","17","6","-25.6","6,0104,+","","","","","","","36.7","6,0808,","-1.1","6,0920","-2.2","6,0923","-5.0","6,1007","-6.7","6,1020","-8.9","6,1021","0.0","6,0409","-6.7","6,0405","-6.7","6,0405","-6.7","6,0405","-12.2","6,0322","","","","","8.79","6","15.48","6","2.11","6"
"USC00131300","1898","42.5377","-92.443","232.6","CEDAR FALLS, IA US","474.0","","474.0","6","58","6","56","6","","","","","20","6","147","6","59","6","151","6","34","6","-26.7","6,1231,","","","","","70.6",",6,1016,","36.1","6,0724,","-1.1","6,1014","-4.4","6,1024","-4.4","6,1024","-6.7","6,1110","-10.0","6,1111","-0.6","6,0423","-2.2","6,0411","-5.6","6,0406","-6.7","6,0405","-10.0","6,0329","856.8",",6","","","8.74","6","14.96","6","2.51","6"
"USC00131300","1934","42.5377","-92.443","232.6","CEDAR FALLS, IA US","","","","","","","","","","","8","6","","","","","","","","","","","","","","","483",",6,1130,","","","","","","","","","","","","","","","","","","","","","","","","","","","836",",6","","","","","",""
"USC00131300","1936","42.5377","-92.443","232.6","CEDAR FALLS, IA US","","","","","100","6","54","6","","","","","","","","","","","","","","","","","","","","","66.3",",6,0828,","","","","","","","","","","","","","","","","","","","","","","","703.6",",6","","","","","","","",""
"USC00131300","1937","42.5377","-92.443","232.6","CEDAR FALLS, IA US","","","","","","","","","","","16","6","","","","","","","","","","","","","","","208",",6,1213,","","","","","","","","","","","","","","","","","","","","","","","","","","","1189",",6","","","","","",""
"USC00131300","1938","42.5377","-92.443","232.6","CEDAR FALLS, IA US","","","","","126","6","83","6","","","","","","","","","","","","","","","","","","","","","63.5",",6,0816,","","","","","","","","","","","","","","","","","","","","","","","1102.5",",6","","","","","","","",""
"USC00131300","1939","42.5377","-92.443","232.6","CEDAR FALLS, IA US","","","","","86","6","52","6","","","","","","","","","","","","","","","","","","","","","34.3",",6,1009,","","","","","","","","","","","","","","","","","","","","","","","550.4",",6","","","","","","","",""
"USC00131300","1940","42.5377","-92.443","232.6","CEDAR FALLS, IA US","","","","","100","6","57","6","","","17","6","","","","","","","","","","","","","","","142",",6,1216,","102.1",",6,0726,","","","","","","","","","","","","","","","","","","","","","","","914.5",",6","1074",",6","","","","","",""
"USC00131300","1941","42.5377","-92.443","232.6","CEDAR FALLS, IA US","","","","","111","6","68","6","","","11","6","","","","","","","","","","","","","","","142",",6,1226,","107.2",",6,0908,","","","","","","","","","","","","","","","","","","","","","","","933.5",",6","899",",6","","","","","",""
