"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00049083","1948","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1872.2","","1872.2","0","","","","","","","","","","","",""
"USC00049083","1952","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","","","","","85","0","61","0","","","3","0","","","","","","","","","","","","","","","127",",0,0108,","125.0",",0,1207,","","","","","","","","","","","","","","","1747.8",",0","305",",0","","","","","","","",""
"USC00049083","1954","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","634.1","","634.1","0","86","0","67","0","0","","0","0","0","0","14","0","0","0","198","0","51","0","-3.9","0,1212,","0",",0,1231,+","0","T,0,0319,","170.9",",0,0116,","40.0","0,0801,","0.0","0,1201","-2.8","0,1211","-0.6","0,0320","","","1523.7","","1523.7","0","2178.8",",0","0","T,0","15.78","0","21.97","0","9.58","0","",""
"USC00049083","1957","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1546.1","","1546.1","0","","","","","","","","","","","",""
"USC00049083","1958","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","969.8","","969.8","0","88","0","70","0","0","","0","0","0","0","3","0","0","0","199","0","78","0","0.0","0,1116,+","0",",0,1231,+","0",",0,1231,+","97.8",",0,0216,","40.6","0,0907,+","0.0","0,1115","","","0.0","0,0124","","","","","","","1956.1",",0","0",",0","17.18","0","22.84","0","11.51","0","",""
"USC00049083","1959","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","965.6","","965.6","0","50","0","37","0","","","0","0","0","0","6","0","0","0","223","0","77","0","-2.2","0,0106,","","","0",",0,1231,+","152.4",",0,0109,","41.1","0,0726,+","0.0","0,1225","","","0.0","0,0210","-2.2","0,0106","1112.3","","1112.3","0","1772.7",",0","0",",0","17.54","0","23.89","0","11.19","0","35758","0"
"USC00049083","1960","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","1066.3","","1066.3","0","93","0","66","0","0","","0","0","0","0","7","0","0","0","188","0","95","0","-2.2","0,0113,","0",",0,1231,+","0",",0,1231,+","111.3",",0,1201,","41.1","0,0720,+","","","","","0.0","0,0301","-2.2","0,0113","1507.2","","1507.2","0","1750.7",",0","0",",0","16.63","0","22.45","0","10.81","0","",""
"USC00049083","1961","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","954.2","","954.2","0","86","0","67","0","0","","0","0","0","0","4","0","0","0","186","0","92","0","-1.7","0,1211,","0",",0,1231,+","0",",0,1231,+","116.8",",0,1125,","42.8","0,0804,","0.0","0,1210","","","-0.6","0,0106","","","1536.4","","1536.4","0","1471.6",",0","0",",0","16.44","0","22.46","0","10.43","0","",""
"USC00049083","1962","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","","","","","72","0","50","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","94.5",",0,0213,","","","","","","","","","","","1606.7","","1606.7","0","1470.7",",0","0",",0","","","","","","","",""
"USC00049083","1963","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","","","","","82","0","64","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","95.3",",0,0201,","","","","","","","","","","","","","","","1548.9",",0","0",",0","","","","","","","",""
"USC00049083","1964","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","","","1677.7",",0","0",",0","","","","","","","",""
"USC00049083","1965","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","","","","","63","0","42","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","47.2",",0,0106,","","","","","","","","","","","","","","","1215.8",",0","0",",0","","","","","","","",""
"USC00049083","1966","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","","","","","","","","","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","","","","","","","","","","","","","","","","","1588.7",",0","0",",0","","","","","","","",""
"USC00049083","1967","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1303.3",",0","","","","","","","","","",""
"USC00049083","1968","40.76667","-122.3","326.1","TURNTABLE CREEK, CA US","967.9","","967.9","0","","","","","","","","","0","0","22","0","0","0","204","0","84","0","-2.8","0,1226,","","","","","","","43.3","0,0706,","0.0","0,1115","-2.8","0,1226","0.0","0,0202","-2.2","0,0129","","","","","1514.9",",0","","","16.66","0","22.97","0","10.36","0","",""
