"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00022004","1946","29.36667","-100.91667","305.1","DEL RIO, TX US","1814.8","","1814.8","0","","","","","","","","","0","0","17","0","0","0","293","0","116","0","-3.9","0,1231,+","","","","","","","41.1","0,0730,+","-0.6","0,1220","-2.8","0,1230","0.0","0,0215","-3.9","0,0210","","","","","","","","","","","","","","","21.23","0","27.67","0","14.80","0"
"USW00022004","1948","29.36667","-100.91667","305.1","DEL RIO, TX US","1857.9","","1857.9","0","60","0","26","0","0","","0","0","0","0","25","0","1","0","279","0","127","0","-6.7","0,0130,+","0",",0,1231,+","0","T,0,0127,","106.9",",0,0704,","39.4","0,0501,","-1.7","0,1110","-3.9","0,1129","-2.2","0,0312","-2.2","0,0312","-4.4","0,0311","-6.7","0,0130","","","","","","","455.5",",0","0","T,0","20.96","0","26.93","0","15.00","0"
"USW00022004","1949","29.36667","-100.91667","305.1","DEL RIO, TX US","1627.6","","1627.6","0","81","0","39","0","0","","0","0","0","0","11","0","1","0","272","0","105","0","-8.3","0,0131,","0","T,0,0131,+","20",",0,0130,","81.3",",0,0916,","40.0","0,0624,","-1.1","0,1223","","","-2.2","0,0201","-2.2","0,0201","-8.3","0,0131","-8.3","0,0131","","","821.7","","821.7","0","774.8",",0","30",",0","20.64","0","26.11","0","15.17","0"
"USW00022004","1950","29.36667","-100.91667","305.1","DEL RIO, TX US","1852.2","","1852.2","0","49","0","19","0","0","","0","0","0","0","8","0","0","0","298","0","132","0","-3.9","0,1206,","0",",0,1231,+","0",",0,1231,+","52.1",",0,0924,","40.0","0,0530,","-1.7","0,1111","-3.9","0,1206","","","","","","","","","","","526.7","","526.7","0","272.3",",0","0",",0","21.73","0","27.87","0","15.58","0"
"USW00022004","1958","29.36667","-100.91667","305.1","DEL RIO, TX US","1682.0","","1682.0","0","75","0","47","0","0","","0","0","0","0","10","0","0","0","253","0","117","0","-2.8","0,1231,+","0",",0,1231,+","0",",0,1231,+","90.2",",0,0513,","39.4","0,0823,","0.0","0,1129","-2.8","0,1214","0.0","0,0213","","","","","","","","","","","","","712.7",",0","0",",0","20.23","0","25.74","0","14.73","0"
"USW00022004","1959","29.36667","-100.91667","305.1","DEL RIO, TX US","1708.8","","1708.8","0","63","0","32","0","0","","0","0","0","0","21","0","0","0","258","0","132","0","-6.1","0,0104,","0",",0,1231,+","0","T,0,0202,","50.8",",0,0719,","40.0","0,0901,","-1.1","0,1107","-2.8","0,1118","-1.1","0,0306","-3.9","0,0122","-6.1","0,0104","","","","","933.0","","933.0","0","596.0",",0","0","T,0","20.32","0","26.46","0","14.19","0"
"USW00022004","1960","29.36667","-100.91667","305.1","DEL RIO, TX US","1874.8","","1874.8","0","71","0","36","0","0","","0","0","0","0","14","0","0","0","258","0","144","0","-5.6","0,0225,","0","T,0,0212,","13",",0,0212,","66.5",",0,0719,","43.9","0,0730,","0.0","0,1216","","","0.0","0,0301","-5.6","0,0225","-5.6","0,0225","","","","","1006.4","","1006.4","0","498.9",",0","13",",0","20.81","0","26.80","0","14.82","0"
"USW00022004","1961","29.36667","-100.91667","305.1","DEL RIO, TX US","1746.3","","1746.3","0","53","0","30","0","0","","0","0","0","0","9","0","0","0","277","0","134","0","-2.2","0,1228,","0",",0,1231,+","0","T,0,0206,+","73.7",",0,0617,","38.3","0,0804,","-1.1","0,1213","-2.2","0,1228","-1.7","0,0207","","","","","","","","","878.8","","878.8","0","577.9",",0","0","T,0","20.76","0","26.79","0","14.72","0"
"USW00022004","1962","29.36667","-100.91667","305.1","DEL RIO, TX US","2056.3","","2056.3","0","50","0","21","0","0","","0","0","0","0","14","0","2","0","294","0","158","0","-10.6","0,0112,","0",",0,1231,+","0","T,0,0314,+","44.5",",0,1017,","42.2","0,0813,","0.0","0,1214","","","0.0","0,0302","-5.0","0,0113","-5.0","0,0113","-10.6","0,0112","-10.6","0,0112","814.5","","814.5","0","252.1",",0","0","T,0","21.87","0","28.11","0","15.64","0"
