"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00412769","1910","28.95","-96.68333","21.0","EDNA 3 SW, TX US","48","0","46","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","63.5",",0,0519,","","","","","","","817.5",",0","0",",0","",""
"USC00412769","1911","28.95","-96.68333","21.0","EDNA 3 SW, TX US","53","0","53","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","64.3",",0,1107,","","","","","","","1017.4",",0","0",",0","",""
"USC00412769","1912","28.95","-96.68333","21.0","EDNA 3 SW, TX US","44","0","44","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","50.8",",0,1121,","","","","","","","677.8",",0","0",",0","",""
"USC00412769","1913","28.95","-96.68333","21.0","EDNA 3 SW, TX US","58","0","57","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","81.3",",0,0925,","","","","","","","986.8",",0","0",",0","",""
"USC00412769","1914","28.95","-96.68333","21.0","EDNA 3 SW, TX US","64","0","63","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","116.3",",0,1023,","","","","","","","1229.8",",0","0",",0","",""
"USC00412769","1915","28.95","-96.68333","21.0","EDNA 3 SW, TX US","43","0","43","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","128.3",",0,0816,","","","","","","","873.4",",0","0",",0","",""
"USC00412769","1916","28.95","-96.68333","21.0","EDNA 3 SW, TX US","39","0","39","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","63.5",",0,0521,","","","","","","","633.2",",0","0",",0","",""
"USC00412769","1917","28.95","-96.68333","21.0","EDNA 3 SW, TX US","27","0","27","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","54.4",",0,0207,","","","","","","","372.2",",0","0",",0","",""
"USC00412769","1918","28.95","-96.68333","21.0","EDNA 3 SW, TX US","43","0","41","0","0","","0","0","","","","","","","0",",0,1231,+","13",",0,0111,","63.8",",0,1026,","","","","","","","845.0",",0","13",",0","",""
"USC00412769","1919","28.95","-96.68333","21.0","EDNA 3 SW, TX US","56","0","56","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","218.9",",0,1010,","","","","","","","1643.2",",0","0",",0","",""
"USC00412769","1920","28.95","-96.68333","21.0","EDNA 3 SW, TX US","40","0","40","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","115.6",",0,0123,","","","","","","","892.6",",0","0",",0","",""
"USC00412769","1921","28.95","-96.68333","21.0","EDNA 3 SW, TX US","40","0","40","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","254.0",",0,0622,","","","","","","","1200.5",",0","0",",0","",""
"USC00412769","1922","28.95","-96.68333","21.0","EDNA 3 SW, TX US","50","0","50","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","67.6",",0,0325,","","","","","","","976.4",",0","0",",0","",""
"USC00412769","1923","28.95","-96.68333","21.0","EDNA 3 SW, TX US","59","0","58","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","101.6",",0,0326,","","","","","","","1264.9",",0","0",",0","",""
"USC00412769","1924","28.95","-96.68333","21.0","EDNA 3 SW, TX US","35","0","31","0","0","","0","0","","","","","","","0",",0,1231,+","0","T,0,1221,+","150.1",",0,0621,","","","","","","","747.7",",0","0","T,0","",""
"USC00412769","1925","28.95","-96.68333","21.0","EDNA 3 SW, TX US","45","0","44","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","90.9",",0,1014,","","","","","","","730.1",",0","0",",0","",""
"USC00412769","1926","28.95","-96.68333","21.0","EDNA 3 SW, TX US","45","0","45","0","0","","1","0","","","","","","","0",",0,1231,+","51",",0,0124,","110.5",",0,0714,","","","","","","","1040.3",",0","51",",0","",""
"USC00412769","1927","28.95","-96.68333","21.0","EDNA 3 SW, TX US","40","0","40","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","54.9",",0,0627,","","","","","","","740.7",",0","0",",0","",""
"USC00412769","1928","28.95","-96.68333","21.0","EDNA 3 SW, TX US","46","0","45","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","78.7",",0,0610,","","","","","","","942.5",",0","0",",0","",""
"USC00412769","1929","28.95","-96.68333","21.0","EDNA 3 SW, TX US","56","0","54","0","0","","0","0","","","","","","","0",",0,1231,+","0","T,0,1221,","101.6",",0,0104,","","","","","","","1437.7",",0","0","T,0","",""
"USC00412769","1930","28.95","-96.68333","21.0","EDNA 3 SW, TX US","47","0","46","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","71.9",",0,1006,","","","","","","","826.3",",0","0",",0","",""
"USC00412769","1931","28.95","-96.68333","21.0","EDNA 3 SW, TX US","40","0","37","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","60.5",",0,0314,","","","","","","","816.1",",0","0",",0","",""
"USC00412769","1932","28.95","-96.68333","21.0","EDNA 3 SW, TX US","28","0","27","0","0","","1","0","","","","","","","0",",0,1231,+","25",",0,0311,","171.5",",0,0428,","","","","","","","898.4",",0","25",",0","",""
"USC00412769","1933","28.95","-96.68333","21.0","EDNA 3 SW, TX US","38","0","38","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","57.2",",0,0202,","","","","","","","815.9",",0","0",",0","",""
"USC00412769","1934","28.95","-96.68333","21.0","EDNA 3 SW, TX US","40","0","40","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","66.5",",0,0131,","","","","","","","1012.8",",0","0",",0","",""
"USC00412769","1935","28.95","-96.68333","21.0","EDNA 3 SW, TX US","52","0","51","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","90.2",",0,0612,","","","","","","","1188.2",",0","0",",0","",""
"USC00412769","1936","28.95","-96.68333","21.0","EDNA 3 SW, TX US","53","0","52","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","106.7",",0,0525,","","","","","","","1150.1",",0","0",",0","",""
"USC00412769","1937","28.95","-96.68333","21.0","EDNA 3 SW, TX US","36","0","35","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","64.0",",0,0604,","","","","","","","590.9",",0","0",",0","",""
"USC00412769","1938","28.95","-96.68333","21.0","EDNA 3 SW, TX US","42","0","42","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","139.7",",0,0516,","","","","","","","939.3",",0","0",",0","",""
"USC00412769","1939","28.95","-96.68333","21.0","EDNA 3 SW, TX US","44","0","42","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","107.2",",0,0713,","","","","","","","917.6",",0","0",",0","",""
"USC00412769","1940","28.95","-96.68333","21.0","EDNA 3 SW, TX US","38","0","38","0","1","","1","0","","","","","","","51",",0,0122,","51",",0,0122,","74.7",",0,1031,","","","","","","","968.7",",0","51",",0","",""
"USC00412769","1941","28.95","-96.68333","21.0","EDNA 3 SW, TX US","56","0","54","0","0","","0","0","","","","","","","0",",0,1231,+","0","T,0,0208,","139.7",",0,1016,","","","","","","","1522.8",",0","0","T,0","",""
"USC00412769","1942","28.95","-96.68333","21.0","EDNA 3 SW, TX US","74","0","57","0","0","","0","0","","","","","","","0",",0,1231,+","0",",0,1231,+","84.1",",0,0706,","","","","","","","997.8",",0","0",",0","",""
