"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00295140","1927","35.166667","-106.666667","1514.9","LOS GRIEGOS, NM US","390.8","","390.8","6","50","6","16","6","0","6","142","6","1","6","211","6","26","6","-13.9","6,1219,+","18.8",",6,0913,","36.7","6,0716,","20353.9","6","-2.8","6,1002","-2.8","6,1002","-4.4","6,1112","-7.2","6,1201","-9.4","6,1205","-0.6","6,0510","-2.2","6,0417","-6.7","6,0321","-6.7","6,0321","-8.9","6,0101","149.5",",6","12.69","6","21.83","6","3.55","6","44359","6"
"USC00295140","1931","35.166667","-106.666667","1514.9","LOS GRIEGOS, NM US","","","","","","","","","","","","","10","6","185","6","38","6","","","","","38.9","6,0714,+","","","","","","","","","","","","","","","","","","","","","","","","","","","19.49","6","","","",""
