"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES"
"USW00014861","1926","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","459.4","","459.4","0","166","0","76","0","46","","9","0","2","0","119","0","37","0","144","0","8","0","-19.4","0,0129,","178",",0,0210,+","132",",0,0210,","40.6",",0,0915,","36.1","0,0721,","-1.1","0,1026","-3.3","0,1110","-5.0","0,1111","-6.7","0,1202","-10.0","0,1215","-0.6","0,0504","-3.9","0,0420","-4.4","0,0419","-6.7","0,0317","-9.4","0,0314","","","","","901.3",",0","","","1017",",0","10.43","0","15.11","0","5.76","0","",""
"USW00014861","1927","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","373.0","","373.0","0","147","0","94","0","31","","4","0","1","0","85","0","32","0","143","0","5","0","-17.8","0,0116,","406",",0,0221,","244",",0,0220,","72.6",",0,0722,","33.3","0,0713,+","0.0","0,1105","-2.2","0,1118","-4.4","0,1119","-11.7","0,1208","-11.7","0,1208","-0.6","0,0424","-6.7","0,0304","-6.7","0,0304","-6.7","0,0304","-12.8","0,0127","2988.7","","2988.7","0","1096.9",",0","","","471",",0","11.58","0","16.19","0","6.96","0","",""
"USW00014861","1928","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","431.0","","431.0","0","148","0","74","0","13","","5","0","0","0","98","0","31","0","138","0","2","0","-16.7","0,0103,+","152",",0,0318,","140",",0,0318,","44.2",",0,0713,","33.9","0,0708,","0.0","0,1030","-7.2","0,1125","-7.2","0,1125","-7.2","0,1125","-8.9","0,1206","-0.6","0,0428","-3.9","0,0416","-6.1","0,0317","-8.3","0,0306","-9.4","0,0305","3059.9","","3059.9","0","885.8",",0","","","458",",0","10.88","0","15.31","0","6.45","0","",""
"USW00014861","1929","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","448.3","","448.3","0","149","0","85","0","36","","14","0","2","0","96","0","37","0","138","0","7","0","-20.0","0,0114,","152",",0,1225,+","127",",0,1223,+","81.8",",0,1002,","33.9","0,0530,","0.0","0,1109","-4.4","0,1121","-4.4","0,1121","-8.9","0,1128","-8.9","0,1128","-0.6","0,0402","-3.3","0,0317","-11.7","0,0310","-11.7","0,0310","-11.7","0,0310","3014.3","","3014.3","0","938.8",",0","","","900",",0","10.97","0","15.71","0","6.23","0","",""
"USW00014861","1930","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","569.8","","569.8","0","129","0","61","0","20","","7","0","1","0","106","0","35","0","150","0","18","0","-17.8","0,0119,","127",",0,0302,","127",",0,0302,","48.0",",0,0610,","37.2","0,0804,+","-0.6","0,1019","-3.3","0,1020","-5.6","0,1107","-7.2","0,1126","-13.9","0,1127","-3.3","0,0424","-3.3","0,0424","-6.1","0,0323","-8.3","0,0322","-9.4","0,0304","2996.1","","2996.1","0","574.7",",0","","","558",",0","11.73","0","16.71","0","6.75","0","",""
"USW00014861","1931","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","615.3","","615.3","0","149","0","80","0","12","","5","0","0","0","84","0","13","0","155","0","25","0","-10.6","0,0122,+","51",",0,1127,+","64",",0,1127,","47.5",",0,0818,","36.1","0,0702,","0.0","0,1106","-3.3","0,1126","-5.0","0,1207","","","","","0.0","0,0428","-3.3","0,0313","-5.0","0,0312","-6.7","0,0311","-9.4","0,0214","3063.5","","3063.5","0","991.2",",0","","","343",",0","12.60","0","17.24","0","7.97","0","",""
"USW00014861","1932","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","524.8","","524.8","0","133","0","66","0","21","","8","0","1","0","97","0","25","0","153","0","12","0","-18.3","0,1216,","152",",0,1217,","89",",0,1210,+","35.3",",0,0101,","35.0","0,0901,+","-1.1","0,1111","-2.2","0,1112","-8.3","0,1126","-8.3","0,1126","-11.1","0,1127","0.0","0,0427","-2.8","0,0417","-4.4","0,0320","-8.3","0,0316","-11.1","0,0315","2550.1","","2550.1","0","658.2",",0","","","497",",0","11.97","0","17.13","0","6.80","0","",""
"USW00014861","1933","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","587.3","","587.3","0","140","0","87","0","22","","9","0","1","0","92","0","24","0","149","0","21","0","-19.4","0,0209,","102",",0,1229,+","109",",0,1226,","50.3",",0,0816,","36.7","0,0723,","-2.2","0,1026","-2.2","0,1026","-4.4","0,1111","-6.7","0,1114","-10.0","0,1115","0.0","0,0427","-2.8","0,0329","-10.6","0,0311","-10.6","0,0311","-10.6","0,0311","2832.6","","2832.6","0","1023.1",",0","","","521",",0","12.02","0","16.88","0","7.16","0","",""
"USW00014861","1934","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","640.1","","640.1","0","125","0","66","0","22","","7","0","7","0","113","0","36","0","162","0","21","0","-23.9","0,0209,","203",",0,0227,+","140",",0,0226,","46.0",",0,0929,","36.7","0,0724,","-0.6","0,1014","-2.8","0,1114","-6.7","0,1207","-6.7","0,1207","-11.1","0,1211","-1.7","0,0428","-5.6","0,0328","-5.6","0,0328","-8.3","0,0323","-10.6","0,0319","3179.6","","3179.6","0","805.4",",0","","","589",",0","11.47","0","16.57","0","6.37","0","",""
"USW00014861","1935","40.45","-80.0","310.0","PITTSBURGH WEATHER SERVICE OFFICE CITY, PA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2807.6","","2807.6","","","","","","","","","","","","","","",""
