"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00153404","1934","37.08333","-86.5",,"GREENCASTLE, KY US","1","6","103","6","-18.3","6,0227,","-0.6","6,1026","-2.8","6,1029","-6.1","6,1102","-9.4","6,1211","-9.4","6,1211","-0.6","6,0428","-3.9","6,0329","-4.4","6,0320","-9.4","6,0311","-9.4","6,0311","","","","","7.01","6"
"USC00153404","1935","37.08333","-86.5",,"GREENCASTLE, KY US","","","","","","","","","","","","","","","","","","","","","","","","","","","2170.5","","2170.5","","",""
