"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00093891","1959","39.96667","-83.0","221.0","COLUMBUS, OH US","812.9","","812.9","0","129","0","78","0","26","","8","0","2","0","109","0","29","0","164","0","34","0","-20.0","0,0105,","152",",0,0312,","140",",0,0311,","106.9",",0,0121,","36.1","0,0825,","-0.6","0,1103","-2.2","0,1106","-9.4","0,1117","-9.4","0,1117","-9.4","0,1117","-0.6","0,0329","-5.0","0,0328","-5.0","0,0328","-9.4","0,0322","-9.4","0,0322","3083.8","","3083.8","0","907.2",",0","559",",0","12.46","0","17.53","0","7.38","0"
"USW00093891","1960","39.96667","-83.0","221.0","COLUMBUS, OH US","597.0","","597.0","0","110","0","67","0","55","","13","0","4","0","121","0","48","0","161","0","12","0","-21.1","0,1222,","229",",0,1221,","178",",0,1220,","40.9",",0,0516,","33.9","0,0908,","-1.1","0,1025","-5.0","0,1129","-5.0","0,1129","-7.2","0,1202","-10.6","0,1209","-0.6","0,0411","-3.3","0,0410","-10.0","0,0325","-10.0","0,0325","-10.0","0,0325","3080.0","","3080.0","0","754.6",",0","976",",0","11.33","0","16.03","0","6.62","0"
"USW00093891","1961","39.96667","-83.0","221.0","COLUMBUS, OH US","599.6","","599.6","0","124","0","85","0","50","","15","0","5","0","95","0","29","0","147","0","16","0","-21.1","0,0128,","203",",0,0102,+","89",",0,0203,","50.0",",0,0721,","33.9","0,0906,+","0.0","0,1104","-2.2","0,1109","-5.6","0,1128","-6.7","0,1129","-10.0","0,1213","-0.6","0,0416","-3.9","0,0402","-5.6","0,0317","-7.2","0,0204","-16.7","0,0202","3060.4","","3060.4","0","923.3",",0","933",",0","11.69","0","16.48","0","6.90","0"
"USW00093891","1962","39.96667","-83.0","221.0","COLUMBUS, OH US","645.5","","645.5","0","123","0","72","0","47","","11","0","5","0","107","0","33","0","158","0","16","0","-22.2","0,0110,","229",",0,0306,","208",",0,0305,","35.1",",0,1109,","36.1","0,0820,","-2.2","0,1025","-2.2","0,1025","-5.0","0,1026","-7.2","0,1209","-10.0","0,1210","-2.8","0,0416","-2.8","0,0416","-6.7","0,0305","-6.7","0,0305","-11.1","0,0303","3012.5","","3012.5","0","741.4",",0","831",",0","11.46","0","16.18","0","6.74","0"
"USW00093891","1963","39.96667","-83.0","221.0","COLUMBUS, OH US","521.9","","521.9","0","96","0","52","0","43","","10","0","13","0","106","0","49","0","173","0","15","0","-26.1","0,0124,","152",",0,0127,","76",",0,0301,","70.4",",0,0304,","35.0","0,0803,","-0.6","0,1102","-2.2","0,1124","-5.6","0,1213","-14.4","0,1214","-14.4","0,1214","-0.6","0,0501","-3.3","0,0322","-9.4","0,0302","-9.4","0,0302","-9.4","0,0302","3178.6","","3178.6","0","632.3",",0","657",",0","11.10","0","16.34","0","5.85","0"
"USW00093891","1964","39.96667","-83.0","221.0","COLUMBUS, OH US","641.8","","641.8","0","117","0","75","0","29","","8","0","0","0","98","0","26","0","164","0","34","0","-16.7","0,0114,","152",",0,0114,+","191",",0,0101,","94.0",",0,0304,","35.6","0,0909,+","-2.8","0,1011","-2.8","0,1011","-8.3","0,1121","-8.3","0,1121","-10.0","0,1122","-5.0","0,0404","-5.0","0,0404","-5.0","0,0404","-7.2","0,0330","-10.0","0,0318","2842.2","","2842.2","0","1044.8",",0","743",",0","12.44","0","17.52","0","7.36","0"
"USW00093891","1965","39.96667","-83.0","221.0","COLUMBUS, OH US","605.8","","605.8","0","125","0","77","0","20","","7","0","3","0","98","0","27","0","161","0","15","0","-20.0","0,0117,","178",",0,0116,","135",",0,0115,","45.5",",0,0912,","36.1","0,0724,","0.0","0,1025","-2.8","0,1118","-6.7","0,1129","-6.7","0,1129","","","-3.9","0,0403","-3.9","0,0403","-6.1","0,0327","-8.9","0,0320","-8.9","0,0320","2900.5","","2900.5","0","1071.0",",0","554",",0","12.08","0","16.92","0","7.25","0"
"USW00093891","1966","39.96667","-83.0","221.0","COLUMBUS, OH US","541.4","","541.4","0","110","0","69","0","29","","9","0","2","0","99","0","44","0","136","0","19","0","-20.0","0,0130,","203",",0,0204,+","152",",0,0122,","66.5",",0,0810,","37.2","0,0702,","-0.6","0,1030","-3.9","0,1102","-5.6","0,1104","-10.6","0,1201","-10.6","0,1201","-1.7","0,0510","-4.4","0,0328","-4.4","0,0328","-6.7","0,0308","-11.1","0,0221","2994.6","","2994.6","0","956.0",",0","602",",0","10.99","0","15.59","0","6.38","0"
"USW00093891","1967","39.96667","-83.0","221.0","COLUMBUS, OH US","493.3","","493.3","0","131","0","73","0","29","","10","0","0","0","95","0","31","0","148","0","9","0","-16.7","0,0225,","152",",0,0307,","168",",0,0227,","36.1",",0,0628,","35.0","0,0614,","-1.1","0,1104","-2.8","0,1105","-5.0","0,1115","-8.9","0,1223","-8.9","0,1223","-0.6","0,0412","-6.7","0,0319","-6.7","0,0319","-6.7","0,0319","-9.4","0,0318","3015.8","","3015.8","0","771.7",",0","889",",0","11.37","0","16.01","0","6.73","0"
"USW00093891","1968","39.96667","-83.0","221.0","COLUMBUS, OH US","635.0","","635.0","0","116","0","74","0","36","","8","0","5","0","99","0","43","0","155","0","27","0","-21.1","0,0108,","254",",0,0115,","127",",0,0113,","58.2",",0,0526,","35.0","0,0823,","-2.2","0,1110","-2.2","0,1110","-5.0","0,1208","-7.2","0,1209","-9.4","0,1215","-1.1","0,0406","-2.2","0,0324","-4.4","0,0323","-6.7","0,0314","-9.4","0,0313","3196.7","","3196.7","0","945.5",",0","670",",0","11.64","0","16.29","0","6.99","0"
"USW00093891","1969","39.96667","-83.0","221.0","COLUMBUS, OH US","688.8","","688.8","0","109","0","70","0","20","","5","0","0","0","108","0","32","0","163","0","20","0","-14.4","0,0104,","127",",0,1226,+","58",",0,1221,","59.4",",0,0418,","35.0","0,0718,+","-1.7","0,1023","-4.4","0,1114","-4.4","0,1114","-6.7","0,1204","","","-6.1","0,0331","-6.1","0,0331","-6.1","0,0331","-8.9","0,0312","-8.9","0,0312","2891.0","","2891.0","0","942.7",",0","461",",0","12.01","0","16.51","0","7.50","0"
"USW00093891","1970","39.96667","-83.0","221.0","COLUMBUS, OH US","729.1","","729.1","0","143","0","81","0","35","","15","0","5","0","97","0","40","0","164","0","21","0","-20.0","0,0108,","152",",0,0115,","89",",0,0312,","41.1",",0,0424,","35.0","0,0701,","-0.6","0,1115","-2.8","0,1116","-9.4","0,1123","-9.4","0,1123","-9.4","0,1123","-0.6","0,0405","-3.3","0,0330","-4.4","0,0317","-7.8","0,0316","-11.1","0,0226","3112.2","","3112.2","0","962.9",",0","841",",0","12.21","0","16.84","0","7.57","0"
"USW00093891","1971","39.96667","-83.0","221.0","COLUMBUS, OH US","633.0","","633.0","0","115","0","69","0","24","","11","0","2","0","101","0","31","0","168","0","14","0","-17.8","0,0202,+","279",",0,0209,","272",",0,0208,","57.7",",0,0625,","36.1","0,0628,","0.0","0,1106","-5.0","0,1107","-5.0","0,1107","-7.2","0,1217","","","-2.2","0,0407","-2.2","0,0407","-5.6","0,0324","-6.7","0,0309","-9.4","0,0304","3005.4","","3005.4","0","853.8",",0","866",",0","12.25","0","16.97","0","7.53","0"
"USW00093891","1972","39.96667","-83.0","221.0","COLUMBUS, OH US","610.4","","610.4","0","139","0","84","0","19","","7","0","2","0","82","0","24","0","153","0","16","0","-23.9","0,0116,","76",",0,1130,+","89",",0,0206,","57.2",",0,0817,","36.7","0,0720,","-1.7","0,1117","-2.2","0,1124","-6.1","0,1206","-7.8","0,1207","-11.7","0,1216","-2.2","0,0409","-2.2","0,0409","-4.4","0,0408","-6.7","0,0310","-12.2","0,0220","2577.9","","2577.9","0","998.1",",0","417",",0","12.14","0","16.53","0","7.76","0"
