"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00204280","2015","47.2752","-88.417","341.4","KEARSARGE, MI US","121","7","94","7","","","","","","","","","38.6",",7,1029,","869.2",",7","","","225","7","14.3","7"
"USC00204280","2016","47.2752","-88.417","341.4","KEARSARGE, MI US","","","","","141","","70","7","940",",7,0209,","330",",7,1210,+","","","1251.9",",7","6126",",7","","","",""
