"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1INHS0004","2008","39.7749","-86.4022","259.1","BROWNSBURG 4.6 S, IN US","129","N","82","N","1","N","36",",N,1207,","67.1",",N,0604,","1282.1",",N","220",",N"
"US1INHS0004","2014","39.7749","-86.4022","259.1","BROWNSBURG 4.6 S, IN US","140","N","79","N","","","","","56.4",",N,1124,","1103.7",",N","",""
"US1INHS0004","2015","39.7749","-86.4022","259.1","BROWNSBURG 4.6 S, IN US","119","N","72","N","","","","","69.9",",N,1227,","999.3",",N","",""
"US1INHS0004","2016","39.7749","-86.4022","259.1","BROWNSBURG 4.6 S, IN US","115","N","80","N","","","","","61.5",",N,1020,","1217.8",",N","",""
