"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00046144","2000","37.5147","-122.0325","3.0","NEWARK, CA US","285.5","","285.5","0","67","0","40","0","0","","0","0","0","0","0","0","0","0","163","0","8","0","2.8","0,0307,+","0",",0,1231,+","0",",0,1231,+","39.4",",0,0125,","41.1","0,0615,","","","","","","","","","","","","","","","1007.9","","1007.9","0","451.7",",0","0",",0","15.99","0","20.46","0","11.52","0","",""
"USC00046144","2001","37.5147","-122.0325","3.0","NEWARK, CA US","295.0","","295.0","0","60","0","41","0","0","","0","0","0","0","0","0","0","0","175","0","11","0","2.8","0,0128,+","0",",0,1231,+","0",",0,1231,+","33.3",",0,1229,","36.7","0,0704,","","","","","","","","","","","","","","","1183.3","","1183.3","0","383.4",",0","0",",0","16.05","0","20.63","0","11.46","0","",""
"USC00046144","2002","37.5147","-122.0325","3.0","NEWARK, CA US","234.1","","234.1","0","44","0","27","0","0","","0","0","0","0","0","0","0","0","166","0","12","0","0.6","0,0130,","0",",0,1231,+","0",",0,1231,+","40.6",",0,1220,","36.1","0,0810,","","","","","","","","","","","","","","","1095.0","","1095.0","0","304.7",",0","0",",0","15.62","0","20.45","0","10.80","0","",""
"USC00046144","2003","37.5147","-122.0325","3.0","NEWARK, CA US","323.1","","323.1","0","59","0","31","0","0","","0","0","0","0","1","0","0","0","156","0","13","0","0.0","0,1229,","0",",0,1231,+","0",",0,1231,+","35.8",",0,0413,","37.2","0,0627,","","","0.0","0,1229","","","","","","","","","","","1141.6","","1141.6","0","301.3",",0","0",",0","15.93","0","20.61","0","11.25","0","",""
"USC00046144","2004","37.5147","-122.0325","3.0","NEWARK, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1127.6","","1127.6","0","","","","","","","","","","","",""
"USC00046144","2005","37.5147","-122.0325","3.0","NEWARK, CA US","","","","","79","0","43","0","0","","0","0","","","","","0","0","165","0","2","0","","","0",",0,1231,+","0",",0,1231,+","28.2",",0,1218,","35.0","0,0724,","","","","","","","","","","","","","","","","","","","450.1",",0","0",",0","","","20.38","0","","","",""
"USC00046144","2006","37.5147","-122.0325","3.0","NEWARK, CA US","239.5","","239.5","0","79","0","42","0","0","","0","0","0","0","1","0","0","0","165","0","13","0","-0.6","0,1219,","0",",0,1231,+","0",",0,1231,+","25.4",",0,0103,","39.4","0,0723,","","","-0.6","0,1219","","","","","","","","","","","1196.6","","1196.6","0","422.0",",0","0",",0","15.37","0","20.37","0","10.36","0","",""
"USC00046144","2007","37.5147","-122.0325","3.0","NEWARK, CA US","206.7","","206.7","0","48","0","27","0","0","","0","0","0","0","3","0","0","0","175","0","4","0","-1.1","0,0113,","0",",0,1231,+","0",",0,1231,+","17.5",",0,0210,","36.7","0,0831,","","","","","","","","","0.0","0,0115","","","","","1316.9","","1316.9","0","213.2",",0","0",",0","15.27","0","20.27","0","10.28","0","",""
"USC00046144","2008","37.5147","-122.0325","3.0","NEWARK, CA US","289.0","","289.0","0","48","0","24","0","0","","0","0","0","0","1","0","0","0","159","0","16","0","0.0","0,1220,","0",",0,1231,+","0",",0,1231,+","29.7",",0,0105,","37.2","0,0621,","","","0.0","0,1220","","","","","","","","","","","1394.8","","1394.8","0","262.0",",0","0",",0","15.30","0","20.28","0","10.31","0","",""
"USC00046144","2009","37.5147","-122.0325","3.0","NEWARK, CA US","222.8","","222.8","0","59","0","35","0","0","","0","0","0","0","3","0","0","0","165","0","14","0","-1.1","0,1208,+","0",",0,1231,+","0",",0,1231,+","37.8",",0,1014,","36.1","0,0829,","","","-1.1","0,1208","","","","","-1.1","0,0104","","","","","1279.4","","1279.4","0","304.5",",0","0",",0","15.25","0","20.29","0","10.20","0","",""
"USC00046144","2010","37.5147","-122.0325","3.0","NEWARK, CA US","162.5","","162.5","0","77","0","47","0","0","","0","0","0","0","0","0","0","0","151","0","9","0","0.6","0,1129,+","0",",0,1231,+","0",",0,1231,+","28.4",",0,1219,","37.2","0,0825,","","","","","","","","","","","","","","","1341.7","","1341.7","0","436.0",",0","0",",0","15.03","0","19.72","0","10.34","0","",""
"USC00046144","2011","37.5147","-122.0325","3.0","NEWARK, CA US","179.8","","179.8","K","","","","","","","","","0","K","2","K","0","K","140","K","8","K","0.0","K,0120,+","","","","","","","33.9","K,0622,","1604.9","K","","","","","","","0.0","K,0120","","","","","1439.8","","1439.8","K","","","","","14.79","K","19.66","K","9.92","K","44938","K"
"USC00046144","2012","37.5147","-122.0325","3.0","NEWARK, CA US","131.8","","131.8","7","","","","","","","","","0","7","2","7","0","7","160","7","4","7","-1.1","7,0118,","","","","","","","34.4","7,1003,+","","","","","","","","","-1.1","K,0118","","","","","1311.1","","1311.1","7","","","","","14.89","7","20.01","7","9.76","7","",""
"USC00046144","2013","37.5147","-122.0325","3.0","NEWARK, CA US","211.8","","211.8","7","18","7","10","7","","","","","0","7","3","7","0","7","177","7","4","7","0.0","7,1210,+","","","","","17.3",",7,1121,","33.9","7,0908,+","1685.4","7","0.0","7,1209","","","","","0.0","7,0122","","","","","1336.1","","1336.1","7","85.4",",7","","","15.28","7","20.30","7","10.27","7","39531","7"
"USC00046144","2014","37.5147","-122.0325","3.0","NEWARK, CA US","314.9","","314.9","7","61","7","29","7","","","","","0","7","0","7","0","7","198","7","7","7","1.7","7,0102,","","","","","92.5",",7,1212,","33.9","7,0726,+","1765.1","7","","","","","","","","","","","","","1096.1","","1096.1","7","420.5",",7","","","16.72","7","21.57","7","11.87","7","40495","7"
"USC00046144","2015","37.5147","-122.0325","3.0","NEWARK, CA US","376.6","","376.6","7","32","7","21","7","","","","","0","7","0","7","0","7","188","7","12","7","1.1","7,1229,+","","","","","20.8",",7,1222,","36.1","7,0817,","1762.8","7","","","","","","","","","","","","","906.5","","906.5","7","197.5",",7","","","16.44","7","21.23","7","11.65","7","55648","7"
"USC00046144","2016","37.5147","-122.0325","3.0","NEWARK, CA US","168.5","","168.5","7","63","7","35","7","","","","","0","7","0","7","0","7","183","7","7","7","1.1","7,1126,","","","","","29.2",",7,1028,","35.0","7,0927,","1725.3","7","","","","","","","","","","","","","1069.5","","1069.5","7","389.6",",7","","","15.65","7","20.83","7","10.47","7","56211","7"
"USC00046144","2017","37.5147","-122.0325","3.0","NEWARK, CA US","342.2","","342.2","7","56","7","39","7","","","","","0","7","0","7","0","7","173","7","14","7","1.7","7,0106,","","","","","29.7",",7,0221,","40.6","7,0903,","1795.7","7","","","","","","","","","","","","","1262.6","","1262.6","7","397.4",",7","","","16.18","7","21.05","7","11.31","7","60579","7"
