"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00046144","1979","37.5147","-122.0325","3.0","NEWARK, CA US","283.4","","283.4","0","73","0","35","0","0","","0","0","0","0","1","0","0","0","156","0","5","0","0.0","0,0129,","0",",0,1231,+","0","T,0,1223,+","30.7",",0,1224,","37.8","0,0913,","","","","","","","","","0.0","0,0129","","","","","1495.2","","1495.2","0","393.4",",0","0","T,0","15.42","0","20.23","0","10.62","0","",""
"USC00046144","1980","37.5147","-122.0325","3.0","NEWARK, CA US","205.1","","205.1","0","56","0","29","0","0","","0","0","0","0","0","0","0","0","145","0","8","0","2.2","0,0130,","0",",0,1231,+","0",",0,1231,+","27.9",",0,0217,","35.6","0,1003,","","","","","","","","","","","","","","","1197.0","","1197.0","0","329.9",",0","0",",0","15.64","0","19.92","0","11.36","0","",""
"USC00046144","1981","37.5147","-122.0325","3.0","NEWARK, CA US","276.7","","276.7","0","72","0","35","0","0","","0","0","0","0","0","0","0","0","157","0","8","0","3.3","0,0102,","0",",0,1231,+","0",",0,1231,+","27.2",",0,1028,","35.0","0,0715,+","","","","","","","","","","","","","","","1061.9","","1061.9","0","378.3",",0","0",",0","16.24","0","20.30","0","12.18","0","",""
"USC00046144","1982","37.5147","-122.0325","3.0","NEWARK, CA US","","","","","78","0","50","0","0","","0","0","","","","","0","0","136","0","3","0","","","0",",0,1231,+","0",",0,1231,+","46.7",",0,0105,","34.4","0,0807,","","","","","","","","","","","","","","","","","","","557.5",",0","0",",0","","","19.15","0","","","",""
"USC00046144","1983","37.5147","-122.0325","3.0","NEWARK, CA US","","","","","103","0","64","0","0","","0","0","","","","","0","0","161","0","12","0","","","0",",0,1231,+","0",",0,1231,+","42.9",",0,1111,","37.2","0,0913,","","","","","","","","","","","","","","","","","","","801.3",",0","0",",0","","","20.12","0","","","",""
"USC00046144","1984","37.5147","-122.0325","3.0","NEWARK, CA US","","","","","","","","","0","","0","0","","","","","0","0","162","0","16","0","","","0",",0,1231,+","0",",0,1231,+","","","36.7","0,0910,+","","","","","","","","","","","","","","","","","","","","","0",",0","","","20.55","0","","","",""
"USC00046144","1985","37.5147","-122.0325","3.0","NEWARK, CA US","","","","","55","0","24","0","","","0","0","","","","","0","0","163","0","7","0","","","","","0",",0,1231,+","24.6",",0,1021,","36.7","0,0702,","","","","","","","","","","","","","","","","","","","266.4",",0","0",",0","","","19.80","0","","","",""
"USC00046144","1986","37.5147","-122.0325","3.0","NEWARK, CA US","","","","","54","0","34","0","0","","0","0","","","","","0","0","170","0","1","0","","","0",",0,1231,+","0",",0,1231,+","23.9",",0,0215,","33.3","0,0610,","","","","","","","","","","","","","","","","","","","335.2",",0","0",",0","","","20.37","0","","","",""
"USC00046144","1987","37.5147","-122.0325","3.0","NEWARK, CA US","211.7","","211.7","0","61","0","29","0","0","","0","0","0","0","1","0","0","0","168","0","8","0","-1.1","0,1216,","0",",0,1231,+","0",",0,1231,+","51.6",",0,0213,","35.6","0,1006,","","","-1.1","0,1216","","","","","","","","","","","1123.6","","1123.6","0","268.8",",0","0",",0","15.69","0","20.34","0","11.03","0","",""
"USC00046144","1988","37.5147","-122.0325","3.0","NEWARK, CA US","219.8","","219.8","0","51","0","28","0","0","","0","0","0","0","2","0","0","0","166","0","5","0","-1.1","0,1229,","0",",0,1231,+","0",",0,1231,+","27.4",",0,0117,","40.6","0,0718,","","","-1.1","0,1229","","","","","","","","","","","1166.3","","1166.3","0","235.3",",0","0",",0","15.49","0","20.55","0","10.43","0","",""
"USC00046144","1989","37.5147","-122.0325","3.0","NEWARK, CA US","164.1","","164.1","0","43","0","26","0","0","","0","0","0","0","4","0","0","0","165","0","8","0","-2.8","0,0207,+","0",",0,1231,+","0",",0,1231,+","29.2",",0,1024,","37.2","0,0623,","","","","","","","","","-1.1","0,0208","-2.8","0,0207","","","1414.5","","1414.5","0","225.1",",0","0",",0","14.78","0","20.02","0","9.54","0","",""
