"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00012962","1976","29.3601","-99.1742","280.4","HONDO MUNICIPAL AIRPORT, TX US","","","1271.0","","1271.0","0","94","0","60","0","0","","0","0","0","0","32","0","0","0","289","0","82","0","-9.4","0,0108,","0",",0,1231,+","0",",0,1231,+","103.4",",0,0405,","37.2","0,0810,+","0.0","0,1113","-2.8","0,1128","-7.2","0,1129","-7.2","0,1129","","","-2.2","0,0224","-2.2","0,0224","-7.2","0,0128","-7.2","0,0128","-9.4","0,0108","701.3","","701.3","0","1149.1",",0","0",",0","19.26","0","25.96","0","12.56","0","","","","","","","",""
"USW00012962","1977","29.3601","-99.1742","280.4","HONDO MUNICIPAL AIRPORT, TX US","","","1549.5","","1549.5","0","70","0","39","0","0","","0","0","0","0","24","0","0","0","290","0","119","0","-7.8","0,0110,","0",",0,1231,+","0",",0,1231,+","57.2",",0,0420,","38.3","0,0925,","-2.2","0,1110","-2.2","0,1110","-5.6","0,1222","","","","","0.0","0,0307","-3.3","0,0129","-6.1","0,0119","-7.8","0,0110","","","1127.8","","1127.8","0","492.9",",0","0",",0","20.32","0","27.14","0","13.50","0","","","","","","","",""
"USW00012962","1978","29.3601","-99.1742","280.4","HONDO MUNICIPAL AIRPORT, TX US","","","1586.0","","1586.0","0","76","0","39","0","0","","0","0","0","0","38","0","0","0","276","0","112","0","-8.9","0,1210,","0",",0,1231,+","0",",0,1231,+","79.8",",0,0802,","38.3","0,0716,","-0.6","0,1205","-7.2","0,1209","-7.2","0,1209","-7.2","0,1209","-8.9","0,1210","-0.6","0,0309","-3.3","0,0305","-4.4","0,0222","-7.2","0,0120","","","978.0","","978.0","0","626.2",",0","0",",0","19.68","0","26.31","0","13.05","0","","","","","","","",""
"USW00012962","1979","29.3601","-99.1742","280.4","HONDO MUNICIPAL AIRPORT, TX US","","","1439.5","","1439.5","0","87","0","42","0","0","","0","0","0","0","29","0","0","0","280","0","112","0","-11.1","0,0102,","0",",0,1231,+","0","T,0,1123,+","149.9",",0,0602,","37.8","0,1003,","-3.3","0,1123","-3.3","0,1123","-5.0","0,1130","","","","","0.0","0,0306","-5.0","0,0219","-5.0","0,0219","-6.7","0,0109","-11.1","0,0102","974.3","","974.3","0","732.6",",0","0","T,0","19.51","0","26.08","0","12.95","0","","","","","","","",""
"USW00012962","1980","29.3601","-99.1742","280.4","HONDO MUNICIPAL AIRPORT, TX US","","","1681.6","","1681.6","0","63","0","31","0","0","","0","0","0","0","26","0","0","0","283","0","126","0","-8.3","0,0302,","0",",0,1231,+","0",",0,1231,+","111.0",",0,0811,","41.1","0,0627,","-1.1","0,1030","-3.3","0,1128","","","","","","","-1.1","0,0318","-8.3","0,0302","-8.3","0,0302","-8.3","0,0302","","","829.0","","829.0","0","540.1",",0","0",",0","20.60","0","27.48","0","13.72","0","","","","","","","",""
"USW00012962","1981","29.3601","-99.1742","280.4","HONDO MUNICIPAL AIRPORT, TX US","","","1563.3","","1563.3","0","81","0","49","0","0","","0","0","0","0","18","0","0","0","294","0","115","0","-8.3","0,0211,","0",",0,1231,+","0",",0,1231,+","75.4",",0,1007,","37.8","0,0816,","-0.6","0,1121","-2.2","0,1215","-5.0","0,1218","","","","","-6.7","0,0212","-6.7","0,0212","-6.7","0,0212","-6.7","0,0212","","","868.5","","868.5","0","696.7",",0","0",",0","20.50","0","26.86","0","14.15","0","","","","","","","",""
"USW00012962","1982","29.3601","-99.1742","280.4","HONDO MUNICIPAL AIRPORT, TX US","","","1748.1","","1748.1","0","77","0","41","0","","","0","0","0","0","24","0","0","0","281","0","130","0","-11.1","0,0111,","","","0","T,0,0206,+","108.5",",0,0506,","39.4","0,0817,+","0.0","0,1104","-2.2","0,1213","","","","","","","-1.7","0,0308","-3.3","0,0307","-5.0","0,0207","-8.9","0,0117","-8.9","0,0117","793.9","","793.9","0","559.5",",0","0","T,0","20.79","0","27.28","0","14.30","0","","","","","","","",""
"USW00012962","1983","29.3601","-99.1742","280.4","HONDO MUNICIPAL AIRPORT, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","877.6","","877.6","0","","","","","","","","","","","","","","","","","",""
"USW00012962","1984","29.3601","-99.1742","280.4","HONDO MUNICIPAL AIRPORT, TX US","3.5","X","1663.5","","1663.5","0","72","0","40","0","0","","0","0","0","0","18","0","0","0","290","0","139","0","-7.8","0,0119,","0",",0,1231,+","0",",0,1231,+","61.5",",0,0903,","40.6","0,0420,","0.0","X,1122","-2.8","0,1207","","","","","","","-2.2","0,0307","-2.2","0,0307","-7.8","0,0119","-7.8","0,0119","","","","","","","568.8",",0","0",",0","20.63","0","27.14","0","14.13","0","","","","","","","",""
"USW00012962","1985","29.3601","-99.1742","280.4","HONDO MUNICIPAL AIRPORT, TX US","3.1","X","1569.5","","1569.5","0","83","0","43","0","6","","2","0","0","0","32","0","2","0","267","0","102","0","-11.1","0,0202,","254",",0,0113,","274",",0,0112,","118.6",",0,1019,","38.9","0,0902,","-1.1","0,1202","-2.2","0,1203","-7.2","0,1214","-7.2","0,1214","","","-1.1","0,0216","-4.4","0,0212","-4.4","0,0212","-11.1","0,0202","-11.1","0,0202","952.8","","952.8","0","781.3",",0","325",",0","19.72","0","25.55","0","13.89","0","","","","","","","",""
