"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00411230","2005","34.09056","-98.58611","327.1","BURKBURNETT, TX US","64","0","40","0","0","","0","0","0","T,0,1208,","0","T,0,1208,","66.3",",0,0814,","580.8",",0","0","T,0"
"USC00411230","2006","34.09056","-98.58611","327.1","BURKBURNETT, TX US","55","0","39","0","2","","1","0","51",",0,1201,","51",",0,1201,","54.4",",0,1015,","694.3",",0","51",",0"
"USC00411230","2010","34.09056","-98.58611","327.1","BURKBURNETT, TX US","69","0","48","0","3","","2","0","152",",0,0212,","157",",0,0212,","78.0",",0,0423,","919.1",",0","223",",0"
"USC00411230","2011","34.09056","-98.58611","327.1","BURKBURNETT, TX US","44","K","34","K","","","","","","","","","87.9",",K,1009,","481.4",",K","",""
