"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00014827","1951","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","350.2","","350.2","0","140","0","89","0","44","","12","0","12","0","135","0","45","0","147","0","5","0","-27.2","0,0202,","229",",0,1220,+","107",",0,1214,","51.1",",0,0510,","36.7","0,0831,","-1.7","0,0929","-6.7","0,1102","-6.7","0,1102","-6.7","0,1102","-10.6","0,1103","0.0","0,0423","-2.2","0,0420","-6.7","0,0326","-6.7","0,0326","-8.9","0,0322","3630.2","","3630.2","0","1083.4",",0","","","927",",0","9.37","0","14.68","0","4.06","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014827","1952","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","495.2","","495.2","0","125","0","80","0","11","","6","0","0","0","142","0","31","0","144","0","29","0","-15.0","0,0130,+","178",",0,0206,","196",",0,0206,","39.6",",0,0722,+","37.2","0,0629,","-0.6","0,1003","-2.2","0,1007","-5.0","0,1020","-6.7","0,1021","-10.0","0,1128","0.0","0,0416","-5.0","0,0411","-5.0","0,0411","-6.7","0,0315","-11.7","0,0207","3459.4","","3459.4","0","1008.1",",0","","","557",",0","10.53","0","15.95","0","5.11","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014827","1953","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","563.8","","563.8","0","114","0","66","0","24","","9","0","2","0","121","0","27","0","158","0","43","0","-18.9","0,0106,","127",",0,0217,","124",",0,0216,","54.1",",0,0303,","37.8","0,0902,+","-1.1","0,1008","-4.4","0,1105","-4.4","0,1105","-9.4","0,1215","-9.4","0,1215","-2.8","0,0421","-2.8","0,0421","-4.4","0,0419","-7.8","0,0309","-14.4","0,0308","3307.4","","3307.4","0","661.3",",0","","","721",",0","11.24","0","17.12","0","5.37","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014827","1954","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","538.3","","538.3","0","133","0","75","0","17","","4","0","0","0","138","0","25","0","152","0","30","0","-16.1","0,0113,","76",",0,0226,+","107",",0,0204,","53.1",",0,1005,","39.4","0,0714,","-0.6","0,1019","-3.3","0,1031","-4.4","0,1102","-6.7","0,1203","-11.1","0,1207","0.0","0,0510","-3.9","0,0404","-4.4","0,0403","-6.7","0,0330","-12.2","0,0306","3138.8","","3138.8","0","1066.0",",0","","","605",",0","10.93","0","16.48","0","5.39","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014827","1955","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","629.2","","629.2","0","122","0","76","0","36","","11","0","7","0","129","0","42","0","165","0","45","0","-22.8","0,0129,","102",",0,0328,+","94",",0,0205,","61.0",",0,1006,","38.3","0,0704,","0.0","0,1024","-2.8","0,1103","-4.4","0,1107","-7.2","0,1116","-12.2","0,1127","0.0","0,0509","-2.8","0,0408","-12.2","0,0328","-12.2","0,0328","-12.2","0,0328","3206.8","","3206.8","0","1044.6",",0","","","769",",0","10.85","0","16.70","0","4.99","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014827","1956","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","474.7","","474.7","0","133","0","80","0","42","","15","0","2","0","140","0","34","0","153","0","17","0","-18.3","0,0124,","127",",0,0202,+","114",",0,0119,","35.8",",0,0224,","37.2","0,0727,","-0.6","0,1010","-2.8","0,1109","-4.4","0,1116","-7.8","0,1117","-8.9","0,1124","-0.6","0,0424","-3.3","0,0423","-5.6","0,0325","-7.8","0,0320","-8.9","0,0317","3581.4","","3581.4","0","811.6",",0","","","1074",",0","10.42","0","16.03","0","4.81","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014827","1957","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","417.3","","417.3","0","133","0","74","0","43","","8","0","4","0","139","0","32","0","144","0","11","0","-22.8","0,0116,","127",",0,0114,+","127",",0,0408,","98.6",",0,0809,","33.9","0,0720,+","0.0","0,1011","-4.4","0,1109","-4.4","0,1109","-7.2","0,1110","-9.4","0,1130","-4.4","0,0415","-4.4","0,0415","-4.4","0,0415","-10.0","0,0409","-10.0","0,0409","3330.1","","3330.1","0","1098.2",",0","","","831",",0","9.90","0","15.07","0","4.73","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014827","1958","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","316.8","","316.8","0","137","0","62","0","40","","3","0","13","0","138","0","54","0","150","0","1","0","-24.4","0,1210,","127",",0,1209,","114",",0,1208,","52.8",",0,0608,","32.2","0,0830,","0.0","0,1002","-3.9","0,1107","-7.2","0,1126","-7.2","0,1126","-8.9","0,1127","-1.1","0,0430","-2.2","0,0409","-5.0","0,0323","-12.8","0,0220","-12.8","0,0220","3555.2","","3555.2","0","864.8",",0","","","530",",0","9.05","0","14.32","0","3.78","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014827","1959","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","600.4","","600.4","0","151","0","81","0","37","","10","0","7","0","136","0","39","0","155","0","21","0","-22.2","0,0105,","76",",0,1113,+","99",",0,1112,","81.5",",0,0625,","33.9","0,0823,","-0.6","0,1018","-5.6","0,1106","-5.6","0,1106","-8.3","0,1107","-14.4","0,1117","-1.1","0,0422","-2.2","0,0413","-6.1","0,0328","-10.0","0,0322","-10.0","0,0322","3600.9","","3600.9","0","1045.2",",0","","","616",",0","10.35","0","15.64","0","5.06","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00014827","1960","40.9705","-85.2063","241.1","FORT WAYNE INTERNATIONAL AIRPORT, IN US","","","394.2","","394.2","0","117","0","64","0","41","","9","0","6","0","135","0","64","0","152","0","8","0","-25.0","0,1223,","178",",0,1224,+","178",",0,0225,","36.1",",0,0622,","35.0","0,0908,","-2.2","0,1020","-2.2","0,1020","-5.0","0,1025","-6.7","0,1130","-9.4","0,1201","-0.6","0,0411","-5.0","0,0410","-5.0","0,0410","-13.9","0,0325","-13.9","0,0325","3640.6","","3640.6","0","726.2",",0","","","857",",0","9.33","0","14.55","0","4.10","0","","","","","","","","","","","","","","","","","","","","","",""
