"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00085895","1919","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","","","","","107","6","82","6","","","","","","","","","0","6","343","6","91","6","","","","","","","69.9",",6,0604,","35.0","6,0816,+","","","","","","","","","","","","","","","","","","","","","1178.0",",6","","","","","28.74","6","","","",""
"USC00085895","1920","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","1646.7","","1646.7","6","","","","","","","","","0","6","5","6","0","6","335","6","85","6","-3.9","6,0302,+","","","","","","","35.6","6,0914,+","","","0.0","6,1217","","","","","-1.7","6,0308","-3.3","6,0307","","","","","","","","","","","","","21.95","6","28.19","6","15.70","6","",""
"USC00085895","1922","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","1900.4","","1900.4","6","","","","","","","","","0","6","2","6","0","6","353","6","98","6","-0.6","6,0113,","","","","","","","35.6","6,0614,+","","","","","","","","","0.0","6,0217","","","","","","","","","","","","","","","23.13","6","28.99","6","17.28","6","",""
"USC00085895","1923","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","1696.7","","1696.7","6","132","6","77","6","","","","","0","6","0","6","0","6","348","6","48","6","0.6","6,1118,","","","","","81.0",",6,0618,","35.6","6,0808,","","","","","","","","","","","","","134.9","","134.9","6","","","","","1344.1",",6","","","22.42","6","28.00","6","16.83","6","",""
"USC00085895","1924","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","1618.8","","1618.8","6","128","6","82","6","","","","","0","6","4","6","0","6","331","6","72","6","-0.6","6,0313,+","","","","","113.8",",6,1019,","35.0","6,1230,+","","","","","","","","","-0.6","6,0313","","","332.0","","332.0","6","","","","","1538.0",",6","","","22.02","6","27.64","6","16.40","6","",""
"USC00085895","1925","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","1791.6","","1791.6","6","114","6","78","6","","","","","0","6","1","6","0","6","335","6","50","6","0.0","6,0213,","","","","","81.8",",6,0805,","35.0","6,0822,+","","","","","","","","","0.0","6,0213","","","113.5","","113.5","6","","","","","1170.5",",6","","","22.73","6","27.81","6","17.64","6","",""
"USC00085895","1926","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","305.2","","305.2","6","","","","","","","","","","","","","","","",""
"USC00085895","1927","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","1932.9","","1932.9","6","95","6","70","6","","","","","0","6","4","6","0","6","343","6","126","6","-2.2","6,1221,","","","","","61.7",",6,0612,","38.3","6,0605,","","","-2.2","6,1221","-2.2","6,1221","","","-1.1","6,0111","","","","","","","","","","","1141.9",",6","","","23.12","6","29.33","6","16.90","6","",""
"USC00085895","1928","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","1840.0","","1840.0","6","107","6","70","6","","","","","0","6","4","6","0","6","341","6","98","6","-3.9","6,0129,","","","","","81.3",",6,0917,","36.7","6,0729,+","","","0.0","6,1122","","","","","-3.9","6,0129","-3.9","6,0129","293.2","","293.2","6","","","","","1336.8",",6","","","22.51","6","28.69","6","16.33","6","",""
"USC00085895","1929","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","1992.0","","1992.0","6","","","","","","","","","0","6","2","6","0","6","347","6","98","6","-0.6","6,1225,","","","","","","","36.7","6,0701,","","","-0.6","6,1225","","","","","","","","","205.1","","205.1","6","","","","","","","","","23.28","6","29.27","6","17.30","6","",""
"USC00085895","1931","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","","","","","104","0","60","0","","","","","","","","","0","0","330","0","106","0","","","","","","","77.7",",0,0814,","37.2","0,0710,","","","","","","","","","","","","","","","","","","","","","897.3",",0","","","","","28.20","0","","","",""
"USC00085895","1932","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","","","","","121","0","76","0","","","","","","","","","0","0","351","0","120","0","","","","","","","58.4",",0,1107,","39.4","0,0708,","","","","","","","","","","","","","","","","","","","","","1396.8",",0","","","","","29.74","0","","","",""
"USC00085895","1933","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","","","","","123","0","77","0","","","","","","","","","0","0","355","0","83","0","","","","","","","76.5",",0,0801,","36.1","0,0814,","","","","","","","","","","","","","","","","","","","","","1053.7",",0","","","","","29.01","0","","","",""
"USC00085895","1934","26.84","-81.0872","10.7","MOORE HAVEN LOCK 1, FL US","","","","","140","0","83","0","","","","","","","","","0","0","344","0","76","0","","","","","","","87.6",",0,1106,","35.0","0,0716,","","","","","","","","","","","","","","","","","","","","","1224.6",",0","","","","","28.17","0","","","",""
