"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00243599","1915","48.85","-106.25","938.8","GLENTANA, MT US","18.8","","18.8","6","3","6","26","6","201","6","103","6","38","6","0","6","-38.9","6,0127,","64",",6,0911,","31.7","6,0810,","-0.6","6,0910","-3.3","6,0914","-7.2","6,1007","-7.2","6,1007","-11.7","6,1108","-0.6","6,0618","-4.4","6,0616","-4.4","6,0616","-10.6","6,0413","-10.6","6,0413","258",",6","2.51","6","8.19","6","-3.17","6"
"USC00243599","1916","48.85","-106.25","938.8","GLENTANA, MT US","","","","","","","76","6","212","6","108","6","81","6","2","6","-42.8","6,0112,","","","32.8","6,0713,","0.0","6,0913","-3.9","6,0914","-5.0","6,1003","-11.7","6,1005","-11.7","6,1005","-0.6","6,0602","-2.8","6,0515","-5.6","6,0502","-7.8","6,0430","-9.4","6,0407","","","0.11","6","5.59","6","-5.38","6"
