"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00047077","1904","36.06778","-119.02","119.8","PORTERVILLE, CA US","","","","","39","6","23","6","","","","","","","","","","","","","","","","","","","","","35.3",",6,0215,","","","","","","","","","","","","","","","","","","","","","","","","","273.5",",6","","","","","","","",""
"USC00047077","1907","36.06778","-119.02","119.8","PORTERVILLE, CA US","736.9","","736.9","6","55","6","34","6","","","","","0","6","7","6","0","6","241","6","88","6","-1.7","6,0120,+","","","","","25.7",",6,0221,","39.4","6,0821,+","","","","","","","","","","","-0.6","6,0313","","","","","","","1218.5","","1218.5","6","320.4",",6","","","17.22","6","25.18","6","9.25","6"
"USC00047077","1908","36.06778","-119.02","119.8","PORTERVILLE, CA US","1003.7","","1003.7","6","34","6","20","6","","","","","0","6","25","6","1","6","242","6","110","6","-5.6","6,1220,","","","","","42.9",",6,0222,","45.6","6,0731,","-1.1","6,1128","-5.0","6,1218","-5.0","6,1218","","","","","0.0","6,0331","-2.2","6,0108","","","","","1231.6","","1231.6","6","290.0",",6","","","17.25","6","25.84","6","8.66","6"
"USC00047077","1909","36.06778","-119.02","119.8","PORTERVILLE, CA US","883.8","","883.8","6","54","6","36","6","","","","","0","6","15","6","0","6","223","6","106","6","-2.8","6,1204,","","","","","33.3",",6,0112,","41.1","6,0713,","-0.6","6,1116","-2.8","6,1204","","","","","","","0.0","6,0209","","","","","","","1329.8","","1329.8","6","433.1",",6","","","17.11","6","25.01","6","9.22","6"
"USC00047077","1910","36.06778","-119.02","119.8","PORTERVILLE, CA US","1141.2","","1141.2","6","","","","","","","","","0","6","27","6","0","6","252","6","132","6","-3.3","6,0204,+","","","","","","","43.9","6,0721,+","0.0","6,1125","","","","","","","","","0.0","6,0217","-2.2","6,0205","","","","","1306.9","","1306.9","6","","","","","18.25","6","27.02","6","9.49","6"
"USC00047077","1911","36.06778","-119.02","119.8","PORTERVILLE, CA US","973.1","","973.1","6","","","","","","","","","0","6","36","6","0","6","272","6","120","6","-4.4","6,1226,","","","","","","","43.3","6,0716,+","0.0","6,1111","-2.8","6,1222","-4.4","6,1226","","","","","0.0","6,0413","-2.2","6,0226","","","","","1051.4","","1051.4","6","","","","","18.00","6","27.48","6","8.53","6"
"USC00047077","1912","36.06778","-119.02","119.8","PORTERVILLE, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1090.4","","1090.4","6","","","","","","","","","",""
"USC00047077","1913","36.06778","-119.02","119.8","PORTERVILLE, CA US","1238.0","","1238.0","6","44","6","27","6","","","","","0","6","30","6","0","6","253","6","139","6","-7.8","6,0107,","","","","","39.9",",6,0225,","45.6","6,0712,","0.0","6,1122","","","","","","","","","-1.1","6,0326","-2.2","6,0112","-6.1","6,0108","-7.8","6,0107","","","","","274.5",",6","","","18.21","6","26.65","6","9.77","6"
"USC00047077","1914","36.06778","-119.02","119.8","PORTERVILLE, CA US","940.9","","940.9","6","34","6","25","6","","","","","0","6","12","6","0","6","255","6","107","6","-1.1","6,1214,+","","","","","32.5",",6,0126,","41.7","6,0814,+","-1.1","6,1130","","","","","","","","","-1.1","6,0129","","","","","","","1097.2","","1097.2","6","233.5",",6","","","17.94","6","25.82","6","10.07","6"
"USC00047077","1916","36.06778","-119.02","119.8","PORTERVILLE, CA US","","","","","","","","","","","","","0","6","36","6","","","","","","","-2.8","6,1209,+","","","","","","","","","-0.6","6,1111","-2.8","6,1208","","","","","","","0.0","6,0306","","","","","","","","","","","","","","","","","","","8.98","6"
"USC00047077","1918","36.06778","-119.02","119.8","PORTERVILLE, CA US","971.8","","971.8","6","","","","","","","","","0","6","28","6","0","6","231","6","102","6","-3.3","6,1231,+","","","","","","","42.2","6,0609,","0.0","6,1126","-2.2","6,1225","","","","","","","0.0","6,0404","-3.3","6,0122","","","","","1243.8","","1243.8","6","","","","","17.09","6","24.89","6","9.29","6"
"USC00047077","1919","36.06778","-119.02","119.8","PORTERVILLE, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1469.2","","1469.2","6","","","","","","","","","",""
"USC00047077","1920","36.06778","-119.02","119.8","PORTERVILLE, CA US","","","","","","","","","","","","","0","6","22","6","0","6","219","6","97","6","-3.3","6,0111,+","","","","","","","43.9","6,0620,","-0.6","6,1206","","","","","","","","","-1.1","6,0326","-3.3","6,0111","","","","","","","","","","","","","16.18","6","24.68","6","7.68","6"
"USC00047077","1921","36.06778","-119.02","119.8","PORTERVILLE, CA US","1003.8","","1003.8","6","","","","","","","","","0","6","36","6","0","6","236","6","116","6","-4.4","6,0112,","","","","","","","44.4","6,0707,","-1.1","6,1117","-2.2","6,1120","","","","","","","0.0","6,0414","-2.2","6,0207","-4.4","6,0112","","","1515.2","","1515.2","6","","","","","17.50","6","26.14","6","8.85","6"
"USC00047077","1922","36.06778","-119.02","119.8","PORTERVILLE, CA US","1040.5","","1040.5","6","","","","","","","","","0","6","26","6","0","6","203","6","114","6","-5.6","6,0121,+","","","","","","","42.8","6,0716,+","0.0","6,1124","","","","","","","","","0.0","6,0417","-2.2","6,0204","-4.4","6,0123","","","1460.6","","1460.6","6","","","","","16.79","6","24.82","6","8.77","6"
"USC00047077","1923","36.06778","-119.02","119.8","PORTERVILLE, CA US","815.1","","815.1","6","","","","","","","","","0","6","39","6","0","6","256","6","100","6","-5.0","6,0204,","","","","","","","42.8","6,0728,+","0.0","6,1201","-2.2","6,1209","-4.4","6,1211","","","","","-0.6","6,0305","-3.3","6,0209","-5.0","6,0204","","","1488.6","","1488.6","6","","","","","16.54","6","25.27","6","7.82","6"
"USC00047077","1924","36.06778","-119.02","119.8","PORTERVILLE, CA US","966.8","","966.8","6","","","","","","","","","0","6","42","6","0","6","251","6","119","6","-5.0","6,1226,","","","","","","","43.3","6,0827,","0.0","6,1010","-3.9","6,1218","-4.4","6,1219","","","","","0.0","6,0416","-2.2","6,0107","-4.4","6,0102","","","1299.7","","1299.7","6","","","","","17.13","6","26.08","6","8.17","6"
"USC00047077","1925","36.06778","-119.02","119.8","PORTERVILLE, CA US","892.6","","892.6","6","","","","","","","","","0","6","22","6","0","6","232","6","99","6","-2.8","6,1215,+","","","","","","","45.6","6,0717,","0.0","6,1105","-2.2","6,1213","","","","","","","0.0","6,0312","-2.2","6,0117","","","","","1399.9","","1399.9","6","","","","","16.97","6","24.89","6","9.05","6"
"USC00047077","1926","36.06778","-119.02","119.8","PORTERVILLE, CA US","","","","","42","6","32","6","","","","","","","","","0","6","269","6","135","6","","","","","","","26.4",",6,1125,","45.6","6,0715,","","","","","","","","","","","","","","","","","","","","","","","270.6",",6","","","","","27.42","6","",""
"USC00047077","1927","36.06778","-119.02","119.8","PORTERVILLE, CA US","","","","","47","6","28","6","","","","","","","","","0","6","223","6","121","6","","","","","","","35.6",",6,1031,","42.2","6,0722,","","","","","","","","","","","","","","","","","","","","","","","296.4",",6","","","","","25.74","6","",""
"USC00047077","1928","36.06778","-119.02","119.8","PORTERVILLE, CA US","","","","","28","6","22","6","","","","","","","","","0","6","238","6","131","6","","","","","","","27.9",",6,1213,","42.8","6,0730,","","","","","","","","","","","","","","","","","","","","","","","215.6",",6","","","","","26.30","6","",""
"USC00047077","1929","36.06778","-119.02","119.8","PORTERVILLE, CA US","997.5","","997.5","6","25","6","13","6","","","","","0","6","41","6","0","6","246","6","114","6","-6.7","6,1231,+","","","","","31.8",",6,0311,","44.4","6,0624,","-1.1","6,1112","-2.2","6,1113","-6.7","6,1229","-6.7","6,1229","","","-1.1","6,0407","-2.8","6,0213","-4.4","6,0210","","","","","","","133.8",",6","","","16.75","6","25.87","6","7.62","6"
"USC00047077","1930","36.06778","-119.02","119.8","PORTERVILLE, CA US","","","","","38","6","17","6","","","","","","","","","0","6","248","6","101","6","","","","","","","31.2",",6,0315,","41.7","6,0827,+","","","","","","","","","","","","","","","","","","","","","","","176.1",",6","","","","","25.64","6","",""
