"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00517185","1964","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1965","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1966","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1967","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1968","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1969","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1970","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1971","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1972","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1973","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1974","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1975","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1977","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1978","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1980","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1981","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1982","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1983","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1984","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1985","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1986","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","","","0",",0,1231,+","","","",""
"USC00517185","1987","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","","","0","0","","","0",",0,1231,+","0",",0"
"USC00517185","1988","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1989","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1990","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1991","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1992","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1993","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1994","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1995","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
"USC00517185","1996","19.56667","-155.0","137.2","ORCHID LD ESTAT 91.5, HI US","0","","0","0","0",",0,1231,+","0",",0,1231,+","0",",0"
