"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00023259","1970","36.58806","-121.84528","50.3","MONTEREY PENINSUL AIRPORT, CA US","","","35.9","","35.9","0","63","0","39","0","0","","0","0","0","0","1","0","0","0","49","0","3","0","0.0","0,0105,","0",",0,1231,+","0","T,0,0413,","57.2",",0,1128,","34.4","0,0926,","","","0.0","0,0105","","","","","","","423.1",",0","0","T,0","13.17","0","17.49","0","8.85","0","","","","","","","",""
"USW00023259","1971","36.58806","-121.84528","50.3","MONTEREY PENINSUL AIRPORT, CA US","","","36.6","","36.6","0","45","0","26","0","0","","0","0","0","0","4","0","0","0","73","0","0","0","-1.1","0,0108,+","0",",0,1231,+","0",",0,1231,+","28.2",",0,0312,","31.1","0,0718,","","","-1.1","0,0108","","","1972.1","","1972.1","0","196.7",",0","0",",0","12.80","0","16.94","0","8.66","0","","","","","","","",""
"USW00023259","1973","36.58806","-121.84528","50.3","MONTEREY PENINSUL AIRPORT, CA US","","","","","","","65","0","42","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","32.5",",0,1201,","","","","","","","","","","","","","479.3",",0","0",",0","","","","","","","","","","","","","",""
"USW00023259","1974","36.58806","-121.84528","50.3","MONTEREY PENINSUL AIRPORT, CA US","","","","","","","44","0","31","0","0","","0","0","","","","","0","0","64","0","1","0","","","0",",0,1231,+","0",",0,1231,+","32.3",",0,0328,","33.3","0,1017,","","","","","","","","","","","309.6",",0","0",",0","","","17.98","0","","","","","","","","","",""
"USW00023259","1975","36.58806","-121.84528","50.3","MONTEREY PENINSUL AIRPORT, CA US","","","15.3","","15.3","0","48","0","36","0","0","","0","0","0","0","1","0","0","0","66","0","0","0","-1.1","0,0130,","0",",0,1231,+","0",",0,1231,+","37.3",",0,0202,","30.6","0,0924,","","","-1.1","0,0130","","","1576.5","","1576.5","0","357.0",",0","0",",0","13.53","0","17.75","0","9.32","0","","","","","","","",""
"USW00023259","1976","36.58806","-121.84528","50.3","MONTEREY PENINSUL AIRPORT, CA US","","","","","","","33","0","21","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","45.7",",0,1230,","","","","","","","","","1695.9","","1695.9","0","283.7",",0","0",",0","","","","","","","","","","","","","",""
"USW00023259","1999","36.58806","-121.84528","50.3","MONTEREY PENINSUL AIRPORT, CA US","2.8","W","12.7","","12.7","W","75","W","30","W","","","","","0","W","1","W","0","W","48","W","0","W","0.0","W,1216,","","","","","37.8",",W,0209,","30.6","W,1010,","0.0","W,1216","","","","","","","","","303.8",",W","","","12.79","W","17.10","W","8.48","W","300","W","360","W","14.8","W","65.7","W"
"USW00023259","2000","36.58806","-121.84528","50.3","MONTEREY PENINSUL AIRPORT, CA US","2.7","W","14.5","","14.5","W","83","W","37","W","","","","","0","W","1","W","0","W","52","W","0","W","0.0","W,1230,","","","","","53.1",",W,0123,","30.6","W,0919,","0.0","W,1230","","","","","1782.3","","1782.3","W","443.2",",W","","","13.36","W","17.57","W","9.15","W","330","W","350","W","27.3","W","38.9","W"
"USW00023259","2001","36.58806","-121.84528","50.3","MONTEREY PENINSUL AIRPORT, CA US","2.8","W","14.2","","14.2","W","77","W","40","W","","","","","0","W","0","W","0","W","52","W","1","W","0.6","W,0117,+","","","","","39.9",",W,1220,","32.8","W,0930,","","","","","","","1930.4","","1930.4","W","467.9",",W","","","13.20","W","17.35","W","9.04","W","230","W","210","W","17.4","W","23.7","W"
"USW00023259","2002","36.58806","-121.84528","50.3","MONTEREY PENINSUL AIRPORT, CA US","2.7","W","15.3","","15.3","W","57","W","23","W","","","","","0","W","2","W","0","W","58","W","0","W","0.0","W,0131,+","","","","","33.3",",W,1108,","30.6","W,0809,","","","0.0","W,0131","","","1923.5","","1923.5","W","298.7",",W","","","13.14","W","17.49","W","8.79","W","160","W","190","W","16.1","W","24.1","W"
