"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA006101875","2005","45.0333","-74.6833","58.0","CORNWALL, ON CA","","","","","","","","","78","C","112","C","5","C","","","32.9","C,0711,","","","","","","","","","","","","","","","","","","","","","","","12.33","C","",""
"CA006101875","2006","45.0333","-74.6833","58.0","CORNWALL, ON CA","235.4","","235.4","C","5","C","137","C","56","C","103","C","2","C","-19.3","C,0116,","33.9","C,0801,","-0.9","C,1007","-3.4","C,1021","-4.5","C,1022","-10.3","C,1204","-10.3","C,1204","-1.4","C,0507","-3.3","C,0429","-5.8","C,0408","-7.0","C,0321","-9.5","C,0320","8.01","C","12.69","C","3.32","C"
