"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CMCG","1997","39.3528","-123.6011","180.7","MCGUIRES CALIFORNIA, CA US","","","","","","","","","0","U","175","U","14","U","","","36.7","U,0928,","","","","","","","","","","","","","","","","","","","20.74","U","",""
"USR0000CMCG","1998","39.3528","-123.6011","180.7","MCGUIRES CALIFORNIA, CA US","143.2","","143.2","U","0","U","17","U","0","U","141","U","18","U","-5.6","U,1222,+","38.3","U,0804,+","-1.7","U,1204","-3.3","U,1220","-5.6","U,1221","0.0","U,0415","","","","","1827.3","","1827.3","U","13.20","U","19.47","U","6.94","U"
"USR0000CMCG","1999","39.3528","-123.6011","180.7","MCGUIRES CALIFORNIA, CA US","106.8","","106.8","U","0","U","30","U","0","U","157","U","18","U","-2.2","U,0409,+","38.9","U,0712,","-1.1","U,1122","","","","","-2.2","U,0409","-2.2","U,0409","","","2179.9","","2179.9","U","12.95","U","19.79","U","6.10","U"
"USR0000CMCG","2000","39.3528","-123.6011","180.7","MCGUIRES CALIFORNIA, CA US","","","","","0","U","14","U","0","U","159","U","15","U","-1.7","U,1111,","41.1","U,0918,","-1.1","U,1110","","","","","0.0","U,0329","","","","","","","","","13.53","U","20.37","U","6.69","U"
"USR0000CMCG","2002","39.3528","-123.6011","180.7","MCGUIRES CALIFORNIA, CA US","161.2","","161.2","U","0","U","27","U","0","U","188","U","31","U","-3.3","U,0130,","39.4","U,0809,","0.0","U,1031","","","","","0.0","U,0419","-2.2","U,0318","","","1889.6","","1889.6","U","13.74","U","21.27","U","6.21","U"
"USR0000CMCG","2003","39.3528","-123.6011","180.7","MCGUIRES CALIFORNIA, CA US","197.3","","197.3","U","0","U","19","U","0","U","177","U","32","U","-2.2","U,1227,+","41.1","U,0922,","-1.1","U,1101","-2.2","U,1227","","","0.0","U,0305","-2.2","U,0208","","","1701.6","","1701.6","U","14.09","U","21.29","U","6.88","U"
"USR0000CMCG","2004","39.3528","-123.6011","180.7","MCGUIRES CALIFORNIA, CA US","182.9","","182.9","U","0","U","20","U","0","U","206","U","23","U","-2.2","U,1203,+","39.4","U,0828,","-0.6","U,1120","-2.2","U,1128","","","-0.6","U,0401","-2.2","U,0103","","","1674.4","","1674.4","U","14.37","U","21.87","U","6.87","U"
"USR0000CMCG","2005","39.3528","-123.6011","180.7","MCGUIRES CALIFORNIA, CA US","161.8","","161.8","U","0","U","15","U","0","U","197","U","33","U","-1.7","U,1206,+","37.2","U,0716,","-1.1","U,1127","","","","","-1.1","U,0414","","","","","1680.5","","1680.5","U","14.20","U","21.63","U","6.77","U"
"USR0000CMCG","2006","39.3528","-123.6011","180.7","MCGUIRES CALIFORNIA, CA US","133.5","","133.5","U","0","U","33","U","0","U","160","U","17","U","-2.8","U,0220,+","41.1","U,0722,","-0.6","U,1112","-2.2","U,1129","","","0.0","U,0418","-2.2","U,0311","","","1879.8","","1879.8","U","13.05","U","19.83","U","6.27","U"
"USR0000CMCG","2007","39.3528","-123.6011","180.7","MCGUIRES CALIFORNIA, CA US","70.9","","70.9","U","0","U","41","U","0","U","149","U","7","U","-5.6","U,0113,","36.7","U,0829,","0.0","U,1120","-2.8","U,1201","","","0.0","U,0418","-2.2","U,0118","-4.4","U,0114","2100.4","","2100.4","U","12.51","U","19.18","U","5.84","U"
"USR0000CMCG","2008","39.3528","-123.6011","180.7","MCGUIRES CALIFORNIA, CA US","141.4","","141.4","U","0","U","33","U","0","U","149","U","21","U","-2.8","U,1217,","38.9","U,0906,+","0.0","U,1214","-2.8","U,1217","","","-1.1","U,0424","-2.2","U,0331","","","2259.4","","2259.4","U","12.79","U","19.59","U","5.99","U"
