"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00470855","1934","44.2903","-90.8538","246.9","BLACK RIVER FALLS SEWAGE, WI US","90","6","66","6","","","","","","","","","","","","","","","66.8",",6,0626,","","","946.1",",6","","","",""
"USC00470855","1939","44.2903","-90.8538","246.9","BLACK RIVER FALLS SEWAGE, WI US","","","","","","","","","56","6","146","6","20","6","","","","","","","37.2","6,0706,","","","","","14.82","6"
"USC00470855","1940","44.2903","-90.8538","246.9","BLACK RIVER FALLS SEWAGE, WI US","109","6","64","6","","","","","","","","","","","","","","","38.6",",6,0608,","","","689.1",",6","","","",""
"USC00470855","1949","44.2903","-90.8538","246.9","BLACK RIVER FALLS SEWAGE, WI US","110","0","64","0","","","","","","","","","","","","","","","69.6",",0,0727,","","","632.6",",0","","","",""
"USC00470855","1950","44.2903","-90.8538","246.9","BLACK RIVER FALLS SEWAGE, WI US","115","0","54","0","","","","","","","","","","","","","","","55.4",",0,0719,","","","715.9",",0","","","",""
"USC00470855","1994","44.2903","-90.8538","246.9","BLACK RIVER FALLS SEWAGE, WI US","86","0","63","0","","","","","","","","","","","","","","","103.6",",0,0707,","","","965.3",",0","","","",""
"USC00470855","1995","44.2903","-90.8538","246.9","BLACK RIVER FALLS SEWAGE, WI US","73","0","61","0","","","","","","","","","","","","","","","145.3",",0,0813,","","","983.4",",0","","","",""
"USC00470855","1997","44.2903","-90.8538","246.9","BLACK RIVER FALLS SEWAGE, WI US","83","0","64","0","","","","","","","","","","","","","","","52.6",",0,0916,","","","759.8",",0","","","",""
"USC00470855","1998","44.2903","-90.8538","246.9","BLACK RIVER FALLS SEWAGE, WI US","94","0","68","0","","","","","","","","","","","","","","","134.1",",0,0626,","","","1005.2",",0","","","",""
"USC00470855","1999","44.2903","-90.8538","246.9","BLACK RIVER FALLS SEWAGE, WI US","80","0","59","0","","","","","","","","","","","","","","","55.9",",0,0718,","","","839.6",",0","","","",""
"USC00470855","2000","44.2903","-90.8538","246.9","BLACK RIVER FALLS SEWAGE, WI US","109","0","70","0","","","","","","","","","","","","","","","52.6",",0,0826,","","","903.7",",0","","","",""
"USC00470855","2001","44.2903","-90.8538","246.9","BLACK RIVER FALLS SEWAGE, WI US","103","0","72","0","93","","8","0","","","","","","","406",",0,0104,+","122",",0,0312,","62.2",",0,0908,","","","907.9",",0","444",",0","",""
"USC00470855","2002","44.2903","-90.8538","246.9","BLACK RIVER FALLS SEWAGE, WI US","101","0","67","0","","","8","0","","","","","","","","","152",",0,0302,","73.9",",0,0603,","","","900.8",",0","586",",0","",""
"USC00470855","2003","44.2903","-90.8538","246.9","BLACK RIVER FALLS SEWAGE, WI US","99","0","52","0","","","","","","","","","","","","","","","39.4",",0,0416,","","","659.9",",0","","","",""
"USC00470855","2004","44.2903","-90.8538","246.9","BLACK RIVER FALLS SEWAGE, WI US","96","0","74","0","","","","","","","","","","","","","","","89.9",",0,0915,","","","979.2",",0","","","",""
