"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000ASUN","1995","34.1953","-112.1417","902.2","SUNSET POINT ARIZONA, AZ US","1362.4","","1362.4","U","0","U","4","U","0","U","253","U","112","U","-1.7","U,0118,","46.1","U,0728,","0.0","U,1220","","","","","-1.7","U,0118","","","","","","","1249.5","","1249.5","U","19.31","U","26.27","U","12.35","U"
"USR0000ASUN","1996","34.1953","-112.1417","902.2","SUNSET POINT ARIZONA, AZ US","1538.2","","1538.2","U","0","U","10","U","0","U","265","U","125","U","-4.4","U,0227,","41.7","U,0811,+","0.0","U,1201","-3.3","U,1218","","","-4.4","U,0227","-4.4","U,0227","-4.4","U,0227","","","805.1","","805.1","U","19.85","U","26.88","U","12.82","U"
"USR0000ASUN","1997","34.1953","-112.1417","902.2","SUNSET POINT ARIZONA, AZ US","1477.9","","1477.9","U","0","U","14","U","0","U","245","U","125","U","-3.9","U,1225,","42.2","U,0801,+","0.0","U,1222","-3.9","U,1225","","","-0.6","U,0301","-2.8","U,0108","","","","","1124.6","","1124.6","U","19.14","U","26.02","U","12.27","U"
"USR0000ASUN","1998","34.1953","-112.1417","902.2","SUNSET POINT ARIZONA, AZ US","1260.5","","1260.5","U","0","U","10","U","0","U","231","U","98","U","-3.9","U,1207,","44.4","U,0715,","-2.2","U,1206","-2.2","U,1206","","","0.0","U,0228","","","","","","","1432.2","","1432.2","U","17.99","U","24.78","U","11.19","U"
"USR0000ASUN","1999","34.1953","-112.1417","902.2","SUNSET POINT ARIZONA, AZ US","1347.0","","1347.0","U","0","U","3","U","0","U","261","U","108","U","-2.8","U,0211,","41.1","U,0705,","","","","","","","0.0","U,0405","-2.8","U,0211","","","","","1116.1","","1116.1","U","19.21","U","26.53","U","11.89","U"
"USR0000ASUN","2000","34.1953","-112.1417","902.2","SUNSET POINT ARIZONA, AZ US","1611.1","","1611.1","U","0","U","5","U","0","U","249","U","137","U","-2.8","U,0103,","42.8","U,0719,","0.0","U,1116","","","","","-0.6","U,0109","-2.8","U,0103","","","","","908.2","","908.2","U","19.65","U","26.70","U","12.59","U"
"USR0000ASUN","2001","34.1953","-112.1417","902.2","SUNSET POINT ARIZONA, AZ US","1669.0","","1669.0","U","0","U","23","U","0","U","243","U","146","U","-3.3","U,0209,","42.8","U,0702,+","0.0","U,1205","-2.2","U,1214","","","0.0","U,0410","-3.3","U,0209","","","","","1355.0","","1355.0","U","19.46","U","26.45","U","12.47","U"
"USR0000ASUN","2002","34.1953","-112.1417","902.2","SUNSET POINT ARIZONA, AZ US","1542.5","","1542.5","U","0","U","16","U","0","U","259","U","123","U","-4.4","U,0131,","42.2","U,0702,+","-0.6","U,1219","","","","","-3.9","U,0303","-3.9","U,0303","-4.4","U,0131","","","1024.2","","1024.2","U","19.65","U","26.76","U","12.54","U"
"USR0000ASUN","2004","34.1953","-112.1417","902.2","SUNSET POINT ARIZONA, AZ US","1454.2","","1454.2","U","0","U","14","U","0","U","241","U","123","U","-1.7","U,1130,","42.2","U,0808,","-0.6","U,1129","","","","","0.0","U,0301","","","","","","","1107.3","","1107.3","U","19.00","U","25.78","U","12.22","U"
"USR0000ASUN","2005","34.1953","-112.1417","902.2","SUNSET POINT ARIZONA, AZ US","1460.4","","1460.4","U","0","U","4","U","0","U","253","U","119","U","-2.8","U,1217,","43.9","U,0712,","-0.6","U,1216","-2.8","U,1217","","","-1.1","U,0107","","","","","","","1261.4","","1261.4","U","19.42","U","26.55","U","12.30","U"
