"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00058793","1968","37.3822","-102.2986","1212.5","WALSH 1 W, CO US","606.0","","606.0","0","41","0","29","0","9","","5","0","3","0","147","0","9","0","192","0","65","0","-19.4","0,1223,","102",",0,0311,","127",",0,0311,","50.3",",0,0810,","41.1","0,0628,","0.0","0,1003","-2.2","0,1018","-6.1","0,1109","-8.9","0,1111","-8.9","0,1111","-2.8","0,0424","-2.8","0,0424","-4.4","0,0405","-7.2","0,0404","-10.0","0,0321","","","","","357.1",",0","368",",0","12.37","0","21.04","0","3.71","0","",""
"USC00058793","1969","37.3822","-102.2986","1212.5","WALSH 1 W, CO US","635.4","","635.4","0","71","0","43","0","18","","8","0","0","0","140","0","15","0","173","0","54","0","-17.2","0,0124,","203",",0,0314,","229",",0,0314,","41.7",",0,0917,","38.9","0,0811,","-2.8","0,1012","-2.8","0,1012","-5.6","0,1114","-9.4","0,1119","-9.4","0,1119","-2.2","0,0428","-2.2","0,0428","-4.4","0,0329","-6.7","0,0326","-13.3","0,0316","2834.5","","2834.5","0","520.1",",0","533",",0","12.35","0","19.80","0","4.90","0","",""
"USC00058793","1970","37.3822","-102.2986","1212.5","WALSH 1 W, CO US","776.2","","776.2","0","46","0","25","0","3","","9","0","4","0","159","0","10","0","179","0","81","0","-18.9","0,0108,","51",",0,1113,","122",",0,1113,","45.0",",0,0808,","37.8","0,0718,+","0.0","0,0926","-4.4","0,1008","-4.4","0,1008","-7.8","0,1123","-8.9","0,1211","0.0","0,0502","-2.2","0,0423","-8.9","0,0404","-8.9","0,0404","-8.9","0,0404","2861.1","","2861.1","0","352.9",",0","525",",0","12.48","0","20.96","0","4.00","0","",""
"USC00058793","1971","37.3822","-102.2986","1212.5","WALSH 1 W, CO US","602.9","","602.9","0","53","0","37","0","15","","6","0","4","0","150","0","18","0","186","0","58","0","-23.9","0,0105,","51",",0,1202,+","76",",0,1202,","44.7",",0,0530,","41.1","0,0712,","0.0","0,1021","-5.6","0,1029","-5.6","0,1029","-7.2","0,1103","-9.4","0,1106","0.0","0,0513","-2.2","0,0415","-6.7","0,0406","-6.7","0,0406","-8.9","0,0319","2824.0","","2824.0","0","390.3",",0","333",",0","12.00","0","20.30","0","3.71","0","",""
"USC00058793","1972","37.3822","-102.2986","1212.5","WALSH 1 W, CO US","564.8","","564.8","0","53","0","39","0","39","","14","0","7","0","138","0","20","0","200","0","44","0","-22.8","0,0115,+","152",",0,1127,","127",",0,1127,","74.9",",0,0511,","37.2","0,0714,","-1.7","0,1018","-2.8","0,1028","-5.0","0,1031","-7.2","0,1101","-11.1","0,1114","-1.1","0,0501","-3.3","0,0401","-12.8","0,0329","-12.8","0,0329","-12.8","0,0329","2608.7","","2608.7","0","470.5",",0","865",",0","12.22","0","20.32","0","4.13","0","",""
"USC00058793","1973","37.3822","-102.2986","1212.5","WALSH 1 W, CO US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3177.3","","3177.3","0","","","","","","","","","","","",""
"USC00058793","1975","37.3822","-102.2986","1212.5","WALSH 1 W, CO US","432.9","","432.9","0","31","0","23","0","","","","","2","0","151","0","15","0","191","0","32","0","-22.2","0,0112,","","","","","39.9",",0,1119,","36.7","0,0729,","0.0","0,1001","-3.9","0,1024","-6.7","0,1025","-6.7","0,1025","-9.4","0,1120","-2.2","0,0507","-2.2","0,0507","-4.4","0,0414","-7.2","0,0409","-13.3","0,0402","2993.7","","2993.7","0","256.5",",0","","","11.55","0","19.81","0","3.29","0","",""
"USC00058793","1977","37.3822","-102.2986","1212.5","WALSH 1 W, CO US","566.9","","566.9","0","45","0","30","0","","","","","8","0","161","0","16","0","199","0","65","0","-21.7","0,0110,","","","","","49.3",",0,0521,","39.4","0,0807,","-1.1","0,1002","-5.6","0,1011","-5.6","0,1011","-8.9","0,1102","-8.9","0,1102","-1.7","0,0422","-3.3","0,0405","-7.8","0,0404","-7.8","0,0404","-10.0","0,0331","2992.3","","2992.3","0","330.6",",0","","","11.71","0","20.77","0","2.67","0","",""
"USC00058793","1980","37.3822","-102.2986","1212.5","WALSH 1 W, CO US","","","","","40","0","25","0","27","","14","0","","","","","18","0","189","0","75","0","","","127",",0,0102,","127",",0,0402,","63.2",",0,0723,","42.2","0,0624,","","","","","","","","","","","","","","","","","","","","","","","","","396.6",",0","708",",0","","","20.58","0","","","",""
"USC00058793","1981","37.3822","-102.2986","1212.5","WALSH 1 W, CO US","","","","","56","0","42","0","","","1","0","","","","","5","0","200","0","60","0","","","","","25",",0,0322,","49.5",",0,0630,","41.7","0,0609,","","","","","","","","","","","","","","","","","","","","","","","","","425.3",",0","48",",0","","","21.80","0","","","",""
