"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00504600","1941","55.35","-131.7","100.6","KETCHIKAN CARLANNA C, AK US","","","","","","","","","3658.1","","3658.1","6","",""
"USC00504600","2007","55.35","-131.7","100.6","KETCHIKAN CARLANNA C, AK US","68","H","7","H","0","H","25.0","H,0814,","","","","","5.45","H"
