"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00202140","1977","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","","","","","","","","","","","","","","","3751.3","","3751.3","6","","","",""
"USC00202140","1979","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","127","0","72","0","75","","17","0","559",",0,0214,+","203",",0,0113,","46.2",",0,0630,","","","","","692.5",",0","1091",",0"
"USC00202140","1980","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","143","0","81","0","63","","17","0","152",",0,1231,","102",",0,0309,","77.2",",0,0820,","","","","","864.1",",0","826",",0"
"USC00202140","1981","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","129","0","66","0","74","","13","0","279",",0,0108,+","178",",0,1227,","54.4",",0,0511,","","","","","819.5",",0","858",",0"
"USC00202140","1982","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","134","0","78","0","76","","25","0","356",",0,0207,","203",",0,0406,+","37.1",",0,0717,","","","","","800.5",",0","1411",",0"
"USC00202140","1983","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","130","0","82","0","55","","17","0","356",",0,0322,","279",",0,0321,","53.8",",0,0628,","","","","","938.9",",0","1115",",0"
"USC00202140","1984","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","121","0","69","0","62","","17","0","203",",0,0102,","178",",0,1227,","36.1",",0,1021,","","","","","694.9",",0","890",",0"
"USC00202140","1985","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","146","0","74","0","84","","33","0","559",",0,0215,","203",",0,0212,","57.4",",0,0304,","","","","","1039.7",",0","2114",",0"
"USC00202140","1986","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","144","0","87","0","65","","20","0","279",",0,0217,","165",",0,0217,","104.1",",0,0612,","","","","","1101.2",",0","1243",",0"
"USC00202140","1987","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","135","0","79","0","","","15","0","","","203",",0,1229,","58.9",",0,0822,","","","","","862.7",",0","1038",",0"
"USC00202140","1988","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","141","0","63","0","63","","20","0","305",",0,0212,","127",",0,0204,","49.8",",0,0923,","","","","","776.3",",0","1182",",0"
"USC00202140","1989","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","141","0","74","0","61","","22","0","152",",0,1119,+","89",",0,1020,","59.7",",0,0805,","","","","","864.3",",0","1101",",0"
"USC00202140","1990","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","140","0","85","0","45","","16","0","203",",0,0225,+","203",",0,0215,","48.5",",0,1128,","","","","","1015.9",",0","1060",",0"
"USC00202140","1991","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","122","0","71","0","62","","20","0","254",",0,0113,+","178",",0,0112,","39.1",",0,0809,","","","","","857.2",",0","1332",",0"
"USC00202140","1992","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","137","0","81","0","49","","21","0","203",",0,0322,+","203",",0,0322,","50.0",",0,0731,","","","","","953.7",",0","1325",",0"
"USC00202140","1993","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","138","0","82","0","81","","29","0","178",",0,0311,+","114",",0,0311,","67.6",",0,0420,","","","","","947.5",",0","1406",",0"
"USC00202140","1994","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","117","0","73","0","80","","22","0","305",",0,0118,+","178",",0,1207,","64.3",",0,0614,","","","","","985.9",",0","1381",",0"
"USC00202140","1996","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","","","","","67","","27","0","152",",0,1227,","165",",0,1227,","","","","","","","","","1578",",0"
"USC00202140","1998","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","112","0","69","0","","","12","0","","","135",",0,0123,","81.0",",0,0707,","","","","","925.3",",0","624",",0"
"USC00202140","1999","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","","","","","58","","20","0","406",",0,0115,+","254",",0,0103,","","","","","","","","","1483",",0"
"USC00202140","2000","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","","","","","","","22","0","","","178",",0,1222,","","","","","","","","","1625",",0"
"USC00202140","2001","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","114","0","77","0","66","","12","0","660",",0,0102,+","64",",0,1228,+","36.3",",0,0516,","","","","","904.8",",0","537",",0"
"USC00202140","2002","42.6444","-84.6503","266.7","DIMONDALE 1 WSW, MI US","117","0","74","0","71","","22","0","203",",0,0131,","203",",0,0131,","38.9",",0,0709,","","","","","727.6",",0","1379",",0"
