"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00410518","1966","32.263","-96.6369","140.5","BARDWELL DAM, TX US","1279.1","","1279.1","0","70","0","51","0","0","","0","0","0","0","51","0","2","0","245","0","84","0","-11.7","0,0130,","0",",0,1231,+","0","T,0,1230,","69.3",",0,0725,","38.3","0,0801,+","-2.2","0,1102","-2.2","0,1102","-6.7","0,1211","-6.7","0,1211","-8.9","0,1224","-1.1","0,0324","-3.9","0,0306","-5.6","0,0224","-6.7","0,0203","-10.6","0,0131","","","","","","","","","853.8",",0","0","T,0","17.83","0","23.99","0","11.66","0","",""
"USC00410518","1967","32.263","-96.6369","140.5","BARDWELL DAM, TX US","1326.3","","1326.3","0","71","0","51","0","0","","0","0","0","0","50","0","0","0","262","0","76","0","-7.2","0,0208,+","0",",0,1231,+","0","T,0,1228,","176.0",",0,1016,","40.0","0,0810,","0.0","0,1104","-3.3","0,1222","","","","","","","-4.4","0,0309","-4.4","0,0309","-4.4","0,0309","-7.2","0,0208","","","1229.0","","1229.0","0","","","","","1107.4",",0","0","T,0","18.39","0","24.76","0","12.02","0","",""
"USC00410518","1968","32.263","-96.6369","140.5","BARDWELL DAM, TX US","1169.8","","1169.8","0","96","0","60","0","0","","0","0","0","0","54","0","2","0","238","0","70","0","-10.0","0,0108,+","0",",0,1231,+","0","T,0,1109,+","80.5",",0,0510,","37.8","0,0613,","-2.2","0,1112","-2.2","0,1112","-5.6","0,1215","-8.9","0,1231","-8.9","0,1231","-0.6","0,0323","-3.3","0,0304","-5.0","0,0223","-10.0","0,0108","-10.0","0,0108","1480.3","","1480.3","0","","","","","978.5",",0","0","T,0","17.39","0","23.28","0","11.51","0","",""
"USC00410518","1969","32.263","-96.6369","140.5","BARDWELL DAM, TX US","1413.5","","1413.5","0","75","0","51","0","0","","0","0","0","0","31","0","1","0","237","0","103","0","-8.9","0,0101,","0",",0,1231,+","0",",0,1231,+","94.2",",0,0917,","41.1","0,0814,+","-0.6","0,1115","-5.0","0,1231","-5.0","0,1231","","","","","-1.1","0,0313","-3.3","0,0311","-4.4","0,0309","-6.7","0,0106","-8.9","0,0101","1431.6","","1431.6","0","","","","","1005.0",",0","0",",0","18.20","0","24.42","0","11.98","0","",""
"USC00410518","1970","32.263","-96.6369","140.5","BARDWELL DAM, TX US","1357.3","","1357.3","0","65","0","44","0","0","","0","0","0","0","47","0","3","0","237","0","97","0","-9.4","0,0109,","0",",0,1231,+","0","T,0,0320,","78.0",",0,1027,","38.9","0,0803,","-2.8","0,1116","-2.8","0,1116","-5.6","0,1124","","","","","0.0","0,0322","-5.6","0,0204","-5.6","0,0204","-6.7","0,0119","-8.9","0,0110","1551.2","","1551.2","0","","","","","901.5",",0","0","T,0","17.89","0","23.94","0","11.84","0","",""
"USC00410518","1971","32.263","-96.6369","140.5","BARDWELL DAM, TX US","1355.8","","1355.8","0","82","0","53","0","0","","0","0","0","0","28","0","1","0","265","0","90","0","-9.4","0,0208,","0",",0,1231,+","0",",0,1231,+","92.2",",0,0727,","39.4","0,0716,+","","","","","","","","","","","-1.1","0,0307","-2.2","0,0305","-4.4","0,0304","-6.7","0,0210","-9.4","0,0208","1293.1","","1293.1","0","","","","","853.7",",0","0",",0","18.68","0","25.02","0","12.34","0","",""
"USC00410518","1972","32.263","-96.6369","140.5","BARDWELL DAM, TX US","1439.5","","1439.5","0","71","0","51","0","0","","0","0","0","0","51","0","4","0","251","0","106","0","-10.0","0,0105,","0",",0,1231,+","0","T,0,1122,","67.1",",0,0916,","38.3","0,0807,+","0.0","0,1116","-6.1","0,1206","-6.1","0,1206","","","","","-0.6","0,0303","-2.8","0,0209","-5.0","0,0205","-6.7","0,0203","-8.9","0,0116","1147.2","","1147.2","0","","","","","645.4",",0","0","T,0","18.25","0","24.51","0","11.98","0","",""
"USC00410518","1973","32.263","-96.6369","140.5","BARDWELL DAM, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1682.9","","1682.9","0","","","","","","","","","","","","","","","",""
"USC00410518","1974","32.263","-96.6369","140.5","BARDWELL DAM, TX US","1247.4","","1247.4","0","87","0","60","0","0","","0","0","0","0","36","0","3","0","248","0","78","0","-8.3","0,0102,+","0",",0,1231,+","0",",0,1231,+","208.3",",0,1031,","40.6","0,0723,","0.0","0,1115","-4.4","0,1130","-4.4","0,1130","","","","","-1.1","0,0325","-4.4","0,0226","-4.4","0,0226","-6.7","0,0105","","","","","","","","","","","1135.5",",0","0",",0","18.12","0","24.08","0","12.17","0","",""
"USC00410518","1975","32.263","-96.6369","140.5","BARDWELL DAM, TX US","1205.8","","1205.8","0","77","0","53","0","","","","","0","0","50","0","0","0","240","0","90","0","-7.2","0,1218,+","","","","","60.5",",0,0524,","40.0","0,0708,","-0.6","0,1121","-6.7","0,1123","-6.7","0,1123","-6.7","0,1123","","","-1.1","0,0404","-2.8","0,0315","-5.0","0,0211","-7.2","0,0207","","","1436.5","","1436.5","0","","","","","800.9",",0","","","17.72","0","23.95","0","11.48","0","",""
