"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA0061219J1","1980","42.7667","-82.45","186.0","COURTRIGHT, ON CA","285.1","","285.1","C","135","C","87","C","10","C","4","C","140","C","71","C","117","C","2","C","-20.0","C,0301,","140",",C,0308,","26.3",",C,0517,","33.0","C,0715,+","-2.0","C,1014","-4.0","C,1030","-6.0","C,1112","-11.0","C,1203","-11.0","C,1203","0.0","C,0424","-4.0","C,0417","-5.0","C,0318","-8.0","C,0315","-12.0","C,0312","3894.2","","3894.2","C","837.9",",C","732",",C","7.89","C","12.62","C","3.16","C"
"CA0061219J1","1981","42.7667","-82.45","186.0","COURTRIGHT, ON CA","295.7","","295.7","C","123","C","71","C","9","C","4","C","134","C","58","C","113","C","3","C","-23.0","C,0104,","130",",C,0106,","71.0",",C,0930,","34.0","C,0708,","0.0","C,1023","-4.0","C,1024","-5.0","C,1107","-7.0","C,1209","-14.0","C,1218","-1.0","C,0426","-4.0","C,0421","-8.0","C,0320","-8.0","C,0320","-12.5","C,0213","3910.3","","3910.3","C","893.8",",C","830",",C","8.57","C","13.00","C","4.15","C"
"CA0061219J1","1982","42.7667","-82.45","186.0","COURTRIGHT, ON CA","217.6","","217.6","C","110","C","73","C","13","C","11","C","132","C","60","C","115","C","1","C","-25.0","C,0117,","255",",C,0131,","37.0",",C,0824,","33.0","C,0717,","0.0","C,1017","-2.5","C,1024","-6.0","C,1127","-7.0","C,1128","-10.0","C,1212","0.0","C,0428","-4.5","C,0410","-4.5","C,0410","-10.0","C,0408","-10.0","C,0408","4072.6","","4072.6","C","788.2",",C","1073",",C","8.33","C","13.25","C","3.41","C"
"CA0061219J1","1983","42.7667","-82.45","186.0","COURTRIGHT, ON CA","445.2","","445.2","C","125","C","85","C","11","C","6","C","118","C","54","C","115","C","9","C","-22.0","C,1230,","140",",C,1228,","54.3",",C,0729,","35.0","C,0910,+","-1.5","C,1030","-4.5","C,1112","-4.5","C,1112","-7.0","C,1113","-13.0","C,1208","0.0","C,0422","-3.0","C,0420","-4.5","C,0419","-11.0","C,0325","-11.0","C,0325","3432.6","","3432.6","C","921.7",",C","615",",C","9.33","C","13.67","C","4.98","C"
"CA0061219J1","1984","42.7667","-82.45","186.0","COURTRIGHT, ON CA","321.6","","321.6","C","133","C","86","C","14","C","8","C","127","C","55","C","114","C","3","C","-28.0","C,0121,","225",",C,0105,","64.4",",C,0828,","33.5","C,0723,","-1.0","C,1102","-3.0","C,1103","-5.5","C,1120","-7.0","C,1122","-11.0","C,1207","0.0","C,0422","-2.5","C,0327","-5.0","C,0318","-10.0","C,0317","-10.0","C,0317","3873.5","","3873.5","C","905.7",",C","1066",",C","9.00","C","13.55","C","4.45","C"
"CA0061219J1","1985","42.7667","-82.45","186.0","COURTRIGHT, ON CA","289.8","","289.8","C","","","","","","","3","C","119","C","64","C","126","C","1","C","-24.0","C,0121,","","","","","33.0","C,0907,","0.0","C,1111","-3.0","C,1121","-7.0","C,1202","-7.0","C,1202","-12.0","C,1214","0.0","C,0417","-3.0","C,0410","-7.0","C,0409","-7.0","C,0409","-17.0","C,0216","3455.2","","3455.2","C","","","","","9.04","C","13.33","C","4.75","C"
"CA0061219J1","1986","42.7667","-82.45","186.0","COURTRIGHT, ON CA","321.5","","321.5","C","134","C","84","C","12","C","4","C","136","C","43","C","123","C","5","C","-20.0","C,0308,","160",",C,0216,","90.0",",C,0611,","35.0","C,0718,+","-1.5","C,1103","-4.0","C,1110","-4.5","C,1112","-10.0","C,1113","-10.0","C,1113","0.0","C,0503","-3.5","C,0423","-5.0","C,0324","-11.0","C,0321","-11.0","C,0321","3618.2","","3618.2","C","936.8",",C","989",",C","9.24","C","13.59","C","4.90","C"
"CA0061219J1","1987","42.7667","-82.45","186.0","COURTRIGHT, ON CA","435.8","","435.8","C","137","C","79","C","9","C","4","C","129","C","28","C","130","C","17","C","-20.0","C,0215,+","160",",C,0119,","40.8",",C,0530,","36.0","C,0720,","-2.0","C,1013","-4.0","C,1111","-10.0","C,1121","-10.0","C,1121","-10.0","C,1121","-1.0","C,0409","-5.0","C,0403","-5.0","C,0403","-10.0","C,0311","-10.0","C,0311","3419.2","","3419.2","C","905.3",",C","756",",C","10.06","C","14.99","C","5.13","C"
"CA0061219J1","1988","42.7667","-82.45","186.0","COURTRIGHT, ON CA","472.6","","472.6","C","106","C","57","C","9","C","5","C","138","C","54","C","115","C","33","C","-20.0","C,0214,","206",",C,0211,","45.0",",C,0716,","39.0","C,0625,","-1.0","C,1012","-4.5","C,1030","-4.5","C,1030","-9.5","C,1210","-9.5","C,1210","0.0","C,0425","-3.0","C,0419","-11.0","C,0322","-11.0","C,0322","-11.0","C,0322","3624.0","","3624.0","C","593.7",",C","652",",C","9.15","C","14.41","C","3.89","C"
"CA0061219J1","1989","42.7667","-82.45","186.0","COURTRIGHT, ON CA","298.3","","298.3","C","109","C","76","C","12","C","7","C","156","C","63","C","124","C","8","C","-23.0","C,1217,","116",",C,0103,","40.0",",C,0906,","35.0","C,0725,","0.0","C,0927","-3.0","C,1103","-7.0","C,1117","-7.0","C,1117","-9.0","C,1118","-2.0","C,0424","-3.0","C,0423","-4.5","C,0411","-8.0","C,0410","-9.0","C,0322","3675.6","","3675.6","C","707.5",",C","786",",C","7.97","C","13.24","C","2.70","C"
"CA0061219J1","1990","42.7667","-82.45","186.0","COURTRIGHT, ON CA","300.4","","300.4","C","134","C","81","C","10","C","0","C","114","C","29","C","125","C","2","C","-16.0","C,1227,","96",",C,1223,","58.6",",C,0906,","36.5","C,0704,","0.0","C,1027","-3.0","C,1108","-5.0","C,1204","-12.5","C,1224","-12.5","C,1224","-4.0","C,0418","-4.0","C,0418","-6.5","C,0327","-7.0","C,0308","-11.0","C,0307","3682.6","","3682.6","C","939.1",",C","622",",C","10.10","C","14.59","C","5.60","C"
"CA0061219J1","1991","42.7667","-82.45","186.0","COURTRIGHT, ON CA","523.7","","523.7","C","121","C","79","C","14","C","0","C","124","C","46","C","138","C","15","C","-16.5","C,0125,+","125",",C,0214,","39.9",",C,0817,","35.5","C,0720,","0.0","C,1016","-3.0","C,1020","-5.0","C,1103","-7.0","C,1104","-12.5","C,1205","0.0","C,0418","-2.5","C,0403","-4.5","C,0330","-8.0","C,0312","-9.5","C,0223","3281.3","","3281.3","C","732.0",",C","784",",C","10.43","C","15.13","C","5.74","C"
"CA0061219J1","1992","42.7667","-82.45","186.0","COURTRIGHT, ON CA","","","","","144","C","92","C","6","C","1","","128","C","","","","","","","-18.0","C,0119,","270",",C,0119,","39.4",",C,0730,","","","-2.0","C,1019","-2.5","C,1114","-6.0","C,1205","-7.0","C,1221","-10.0","C,1226","-2.0","C,0415","-4.0","C,0413","-5.5","C,0402","-9.0","C,0323","-9.0","C,0323","3624.7","","3624.7","C","1133.5",",C","1020",",C","","","","","4.57","C"
"CA0061219J1","1993","42.7667","-82.45","186.0","COURTRIGHT, ON CA","","","","","150","C","82","C","11","C","1","C","139","C","","","","","","","-19.0","C,0225,","150",",C,0222,+","30.0",",C,0104,","","","0.0","C,1010","-3.0","C,1102","-6.0","C,1125","-7.0","C,1211","-9.0","C,1223","-2.0","C,0427","-3.0","C,0403","-12.0","C,0319","-12.0","C,0319","-12.0","C,0319","","","","","794.7",",C","994",",C","","","","","4.38","C"
"CA0061219J1","1994","42.7667","-82.45","186.0","COURTRIGHT, ON CA","318.0","","318.0","C","117","C","79","C","16","C","11","C","120","C","52","C","119","C","5","C","-28.0","C,0119,","130",",C,0225,","33.7",",C,0426,","35.5","C,0618,","0.0","C,1102","-6.0","C,1124","-6.0","C,1124","-12.0","C,1212","-12.0","C,1212","0.0","C,0422","-3.0","C,0408","-4.5","C,0326","-10.0","C,0317","-10.0","C,0317","3983.7","","3983.7","C","760.4",",C","880",",C","9.00","C","13.67","C","4.32","C"
"CA0061219J1","1995","42.7667","-82.45","186.0","COURTRIGHT, ON CA","438.2","","438.2","C","119","C","66","C","8","C","2","C","137","C","61","C","122","C","11","C","-20.5","C,0205,","140",",C,0106,","74.4",",C,1005,","37.0","C,0714,","0.0","C,1017","-3.0","C,1104","-6.0","C,1109","-8.0","C,1124","-10.5","C,1208","-1.0","C,0416","-2.5","C,0406","-8.0","C,0405","-8.0","C,0405","-11.0","C,0310","3429.4","","3429.4","C","769.6",",C","600",",C","9.14","C","13.58","C","4.69","C"
"CA0061219J1","1996","42.7667","-82.45","186.0","COURTRIGHT, ON CA","","","","","138","C","84","C","7","C","","","","","","","","","","","","","224",",C,0319,","56.0",",C,0621,","","","","","","","","","","","","","","","","","","","","","","","3972.3","","3972.3","C","1155.5",",C","770",",C","","","","","",""
"CA0061219J1","1997","42.7667","-82.45","186.0","COURTRIGHT, ON CA","","","","","133","C","69","C","8","C","","","","","35","C","103","C","5","C","","","217",",C,1210,","40.0",",C,1026,","34.5","C,0714,","","","","","","","","","","","","","","","","","","","","","","","","","790.1",",C","848",",C","","","13.32","C","",""
