"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00042362","1927","36.6","-121.86667","13.7","DEL MONTE, CA US","23.9","","23.9","6","50","6","38","6","","","0","6","0","6","0","6","103","6","0","6","3.3","6,0123,","","","34.5",",6,0224,","27.8","6,0630,","","","","","","","","","","","","","","","","","","","414.9",",6","","","15.28","6","18.65","6","11.92","6"
"USC00042362","1928","36.6","-121.86667","13.7","DEL MONTE, CA US","","","","","36","6","23","6","","","","","","","","","","","","","","","","","39.9",",6,1213,","","","","","","","","","","","","","","","","","861.6","","861.6","","324.7",",6","","","","","","","",""
"USC00042362","1929","36.6","-121.86667","13.7","DEL MONTE, CA US","8.7","","8.7","6","40","6","17","6","","","0","6","33","6","0","6","64","6","0","6","-3.9","6,0208,","","","23.6",",6,0310,","31.7","6,1022,","0.0","6,1113","","","","","0.0","6,0331","-2.8","6,0211","","","","","","","","","183.7",",6","","","12.17","6","17.61","6","6.72","6"
"USC00042362","1930","36.6","-121.86667","13.7","DEL MONTE, CA US","","","","","51","6","32","6","","","0","6","24","6","","","","","","","-4.4","6,1224,","","","36.8",",6,0305,","","","0.0","6,1119","-2.2","6,1221","-4.4","6,1224","0.0","6,0309","-2.2","6,0111","","","","","2004.0","","2004.0","","351.2",",6","","","","","","","6.77","6"
"USC00042362","1931","36.6","-121.86667","13.7","DEL MONTE, CA US","24.9","","24.9","6","68","6","34","6","","","0","6","24","6","0","6","109","6","1","6","-3.9","6,1123,","","","38.4",",6,1228,","34.4","6,0704,","0.0","6,1112","-3.9","6,1123","","","0.0","6,0119","","","","","","","","","","","408.8",",6","","","13.04","6","18.74","6","7.35","6"
"USC00042362","1932","36.6","-121.86667","13.7","DEL MONTE, CA US","2.8","","2.8","6","","","","","","","0","6","35","6","0","6","81","6","0","6","-4.4","6,1214,+","","","","","30.6","6,0901,","0.0","6,1104","-2.8","6,1207","-4.4","6,1213","0.0","6,0305","-2.2","6,0215","","","","","2252.6","","2252.6","6","","","","","12.21","6","17.77","6","6.66","6"
"USC00042362","1933","36.6","-121.86667","13.7","DEL MONTE, CA US","4.1","","4.1","6","51","6","32","6","","","0","6","37","6","0","6","67","6","0","6","-2.2","6,0208,+","","","30.2",",6,1230,","30.0","6,1017,+","0.0","6,1129","","","","","0.0","6,0410","-2.2","6,0208","","","","","2339.0","","2339.0","6","310.1",",6","","","11.75","6","17.53","6","5.97","6"
"USC00042362","1934","36.6","-121.86667","13.7","DEL MONTE, CA US","5.0","","5.0","6","44","6","26","6","","","0","6","9","6","0","6","115","6","0","6","-1.7","6,1203,","","","32.0",",6,1119,","31.7","6,0914,","-1.7","6,1203","","","","","0.0","6,0118","","","","","","","1950.2","","1950.2","6","295.7",",6","","","13.20","6","19.01","6","7.38","6"
"USC00042362","1935","36.6","-121.86667","13.7","DEL MONTE, CA US","","","","","63","6","40","6","","","","","","","","","","","","","","","","","31.0",",6,0408,+","","","","","","","","","","","","","","","","","2094.3","","2094.3","","412.6",",6","","","","","","","",""
"USC00042362","1936","36.6","-121.86667","13.7","DEL MONTE, CA US","6.7","","6.7","6","61","6","39","6","","","0","6","15","6","0","6","143","6","2","6","-2.2","6,1213,+","","","40.6",",6,1227,","32.8","6,0508,","0.0","6,1201","-2.2","6,1212","","","-0.6","6,0209","","","","","","","","","","","450.6",",6","","","13.07","6","19.07","6","7.07","6"
"USC00042362","1937","36.6","-121.86667","13.7","DEL MONTE, CA US","10.2","","10.2","6","64","6","42","6","","","0","6","30","6","0","6","129","6","2","6","-6.1","6,0110,+","","","52.8",",6,0322,","33.3","6,0626,","0.0","6,1224","-2.2","6,1226","","","-2.2","6,0210","-2.2","6,0210","-5.6","6,0124","","","2212.3","","2212.3","6","576.9",",6","","","12.53","6","18.63","6","6.42","6"
"USC00042362","1938","36.6","-121.86667","13.7","DEL MONTE, CA US","3.4","","3.4","6","70","6","49","6","","","0","6","29","6","0","6","116","6","0","6","-3.9","6,1113,","","","41.7",",6,0211,","30.0","6,0909,","0.0","6,1108","-3.3","6,1112","","","-1.7","6,0218","","","","","","","1991.6","","1991.6","6","523.1",",6","","","12.73","6","18.81","6","6.65","6"
"USC00042362","1939","36.6","-121.86667","13.7","DEL MONTE, CA US","32.8","","32.8","6","43","6","26","6","","","0","6","29","6","0","6","120","6","5","6","-1.7","6,0202,+","","","36.1",",6,0309,","36.1","6,0921,","0.0","6,1221","","","","","-1.1","6,0301","","","","","","","2068.0","","2068.0","6","247.5",",6","","","13.03","6","19.15","6","6.91","6"
"USC00042362","1940","36.6","-121.86667","13.7","DEL MONTE, CA US","12.9","","12.9","6","","","","","","","0","6","16","6","0","6","137","6","0","6","-3.9","6,1214,+","","","","","28.9","6,0724,","-0.6","6,1122","-3.9","6,1213","","","0.0","6,0312","-2.2","6,0117","","","","","1635.9","","1635.9","6","","","","","14.01","6","19.85","6","8.17","6"
"USC00042362","1941","36.6","-121.86667","13.7","DEL MONTE, CA US","12.5","","12.5","6","88","6","61","6","","","0","6","8","6","0","6","147","6","1","6","-1.7","6,1121,","","","43.2",",6,0122,","32.8","6,0510,","-1.1","6,1119","","","","","","","","","","","","","1545.6","","1545.6","6","869.0",",6","","","14.00","6","19.97","6","8.03","6"
"USC00042362","1942","36.6","-121.86667","13.7","DEL MONTE, CA US","5.1","","5.1","6","57","6","37","6","","","0","6","21","6","0","6","106","6","1","6","-3.3","6,0103,+","","","37.3",",6,0311,","33.9","6,0628,","0.0","6,1106","","","","","0.0","6,0329","-2.2","6,0214","","","","","1887.3","","1887.3","6","403.2",",6","","","12.66","6","18.98","6","6.35","6"
"USC00042362","1943","36.6","-121.86667","13.7","DEL MONTE, CA US","","","","","59","6","34","6","","","","","","","0","6","125","6","2","6","","","","","33.3",",6,0121,","33.9","6,0920,","","","","","","","","","","","","","","","","","","","348.6",",6","","","","","19.46","6","",""
"USC00042362","1944","36.6","-121.86667","13.7","DEL MONTE, CA US","","","","","65","6","43","6","","","","","","","0","6","83","6","0","6","","","","","36.6",",6,0229,","27.8","6,0909,","","","","","","","","","","","","","","","","","","","499.9",",6","","","","","18.17","6","",""
"USC00042362","1945","36.6","-121.86667","13.7","DEL MONTE, CA US","2.5","","2.5","6","57","6","37","6","0","6","0","6","19","6","0","6","113","6","0","6","-2.2","6,1213,+","0",",6,1231,+","52.3",",6,0202,","29.4","6,0616,","-1.1","6,1202","-2.2","6,1213","","","0.0","6,0308","-2.2","6,0122","","","","","2064.1","","2064.1","6","365.6",",6","0",",6","12.85","6","18.69","6","7.02","6"
"USC00042362","1946","36.6","-121.86667","13.7","DEL MONTE, CA US","","","","","36","6","25","6","","","","","","","","","","","","","","","","","66.0",",6,1120,","","","","","","","","","","","","","","","","","2021.6","","2021.6","6","332.8",",6","","","","","","","",""
"USC00042362","1947","36.6","-121.86667","13.7","DEL MONTE, CA US","","","","","","","","","0","6","","","","","","","","","","","","","0",",6,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","0",",6","","","","","",""
