"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00478610","1912","46.0","-89.75","426.7","TROUT LAKE, WI US","","","59","6","187","6","95","6","74","6","1","6","-40.0","6,0106,","","","32.2","6,0624,","0.0","6,0926","-3.3","6,0927","-4.4","6,1031","-11.7","6,1114","-11.7","6,1114","-0.6","6,0528","-3.9","6,0428","-6.1","6,0427","-10.0","6,0407","-10.0","6,0407","","","","","","","3.14","6","8.85","6","-2.57","6"
"USC00478610","1913","46.0","-89.75","426.7","TROUT LAKE, WI US","14","6","44","6","180","6","82","6","96","6","2","6","-35.6","6,0304,","102",",6,0411,","32.2","6,0629,+","-1.1","6,0922","-3.3","6,0923","-4.4","6,1020","-9.4","6,1030","-9.4","6,1030","-1.1","6,0609","-3.9","6,0525","-5.6","6,0509","-7.8","6,0420","-9.4","6,0407","5174.4","","5174.4","6","677",",6","4.73","6","10.46","6","-1.00","6"
