"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023203","1960","37.38333","-120.56667","58.2","CASTLE AFB, CA US","948.6","","948.6","X","41","X","20","X","0","","0","X","0","X","16","X","0","X","207","X","90","X","-3.9","X,0102,","0",",X,1231,+","0",",X,1231,+","28.4",",X,0201,","42.2","X,0720,+","-1.1","X,1206","","","","","","","0.0","X,0117","-3.3","X,0104","","","","","1298.0","","1298.0","X","239.4",",X","0",",X","16.93","X","23.55","X","10.31","X","293","X","18.5","X"
"USW00023203","1961","37.38333","-120.56667","58.2","CASTLE AFB, CA US","1062.7","","1062.7","X","37","X","23","X","0","","0","X","0","X","20","X","0","X","213","X","95","X","-2.8","X,0108,","0",",X,1231,+","0",",X,1231,+","26.7",",X,1125,","44.4","X,0615,","0.0","X,1116","-2.2","X,1213","","","","","0.0","X,0122","-2.8","X,0108","","","","","1515.0","","1515.0","X","263.5",",X","0",",X","17.12","X","23.72","X","10.51","X","","","",""
"USW00023203","1962","37.38333","-120.56667","58.2","CASTLE AFB, CA US","832.3","","832.3","X","35","X","19","X","0","","0","X","0","X","28","X","0","X","220","X","83","X","-3.9","X,1229,","0","T,X,0122,","15",",X,0121,","35.1",",X,1215,","41.1","X,0721,","-0.6","X,1118","-2.2","X,1226","","","","","-1.1","X,0228","-2.2","X,0227","","","","","1546.4","","1546.4","X","269.8",",X","18",",X","16.49","X","23.25","X","9.73","X","158","X","22.1","X"
"USW00023203","1963","37.38333","-120.56667","58.2","CASTLE AFB, CA US","690.0","","690.0","X","46","X","33","X","0","","0","X","0","X","26","X","0","X","179","X","66","X","-5.6","X,0119,","0",",X,1231,+","0",",X,1231,+","42.7",",X,0209,","40.6","X,0926,","-0.6","X,1212","","","","","","","-1.1","X,0125","-3.3","X,0121","-5.6","X,0119","","","1603.7","","1603.7","X","374.7",",X","0",",X","15.42","X","21.35","X","9.48","X","","","",""
"USW00023203","1964","37.38333","-120.56667","58.2","CASTLE AFB, CA US","688.3","","688.3","X","56","X","30","X","0","","0","X","0","X","24","X","0","X","195","X","65","X","-3.3","X,0113,","0",",X,1231,+","0",",X,1231,+","20.3",",X,1223,","42.8","X,0625,","0.0","X,1116","","","","","","","-2.8","X,0308","-2.8","X,0308","","","","","1800.7","","1800.7","X","278.5",",X","0",",X","15.70","X","22.44","X","8.95","X","","","",""
"USW00023203","1965","37.38333","-120.56667","58.2","CASTLE AFB, CA US","709.1","","709.1","X","52","X","34","X","0","","0","X","0","X","17","X","0","X","207","X","64","X","-3.9","X,1223,","0",",X,1231,+","0",",X,1231,+","24.1",",X,1123,","39.4","X,0716,+","-1.7","X,1215","-3.3","X,1217","","","","","0.0","X,0212","-2.8","X,0101","","","","","1533.1","","1533.1","X","299.2",",X","0",",X","15.94","X","22.35","X","9.53","X","310","X","18.0","X"
"USW00023203","1966","37.38333","-120.56667","58.2","CASTLE AFB, CA US","863.3","","863.3","X","37","X","17","X","0","","0","X","0","X","30","X","0","X","222","X","87","X","-3.9","X,0118,","0",",X,1231,+","0",",X,1231,+","19.3",",X,0130,","41.1","X,0615,+","0.0","X,1124","-2.8","X,1227","","","","","-1.7","X,0304","-2.2","X,0124","","","","","1480.3","","1480.3","X","168.4",",X","0",",X","16.74","X","23.70","X","9.77","X","310","X","19.0","X"
"USW00023203","1967","37.38333","-120.56667","58.2","CASTLE AFB, CA US","892.3","","892.3","X","51","X","32","X","0","","0","X","0","X","27","X","0","X","189","X","97","X","-7.2","X,1214,","0",",X,1231,+","0","T,X,1218,","21.3",",X,0130,","41.1","X,0703,","0.0","X,1201","-2.8","X,1213","-7.2","X,1214","-7.2","X,1214","-1.7","X,0123","-2.2","X,0107","","","","","1658.6","","1658.6","X","272.1",",X","0","T,X","16.11","X","22.70","X","9.51","X","110","X","24.2","X"
"USW00023203","1968","37.38333","-120.56667","58.2","CASTLE AFB, CA US","684.4","","684.4","X","48","X","30","X","0","","0","X","0","X","24","X","0","X","204","X","69","X","-5.0","X,0104,","0",",X,1231,+","0","T,X,1219,","18.5",",X,1103,","40.0","X,0705,","0.0","X,1128","-2.2","X,1220","","","","","0.0","X,0131","-2.8","X,0128","-5.0","X,0104","","","1506.4","","1506.4","X","295.3",",X","0","T,X","15.84","X","22.60","X","9.07","X","338","X","24.7","X"
"USW00023203","1969","37.38333","-120.56667","58.2","CASTLE AFB, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1660.3","","1660.3","X","","","","","","","","","","","","","",""
"USW00023203","1970","37.38333","-120.56667","58.2","CASTLE AFB, CA US","971.0","","971.0","X","57","X","35","X","0","","0","X","0","X","8","X","0","X","215","X","106","X","-3.9","X,0106,","0",",X,1231,+","0",",X,1231,+","21.6",",X,0304,","41.7","X,0810,+","-1.1","X,1224","","","","","","","-0.6","X,0129","-3.9","X,0106","","","","","","","","","321.1",",X","0",",X","17.34","X","24.32","X","10.35","X","140","X","23.6","X"
