"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000CBIR","2004","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","","","","","","","","","0","U","145","U","21","U","","","36.7","U,0908,+","","","","","","","","","","","19.51","U","",""
"USR0000CBIR","2006","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","427.8","","427.8","U","0","U","1","U","0","U","156","U","32","U","0.0","U,0311,","44.4","U,0722,","","","0.0","U,0311","1608.4","","1608.4","U","14.91","U","20.19","U","9.63","U"
"USR0000CBIR","2007","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","254.2","","254.2","U","0","U","0","U","0","U","157","U","17","U","0.6","U,0114,","40.0","U,0705,","","","","","1624.8","","1624.8","U","14.50","U","19.59","U","9.40","U"
"USR0000CBIR","2008","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","","","","","","","","","0","U","160","U","29","U","","","42.2","U,0708,","","","","","","","","","","","20.31","U","",""
"USR0000CBIR","2009","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","","","","","","","","","0","U","139","U","34","U","","","39.4","U,0628,","","","","","","","","","","","19.48","U","",""
"USR0000CBIR","2010","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","243.1","","243.1","U","0","U","0","U","0","U","127","U","17","U","2.2","U,1124,","38.9","U,0824,","","","","","1849.9","","1849.9","U","13.79","U","18.12","U","9.46","U"
"USR0000CBIR","2012","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","290.6","","290.6","U","0","U","0","U","0","U","133","U","20","U","2.8","U,0227,+","37.8","U,0616,","","","","","1709.6","","1709.6","U","14.38","U","19.20","U","9.56","U"
"USR0000CBIR","2013","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","261.4","","261.4","U","0","U","1","U","0","U","150","U","14","U","0.0","U,1208,","35.6","U,0909,+","0.0","U,1208","","","1623.6","","1623.6","U","14.78","U","19.62","U","9.94","U"
"USR0000CBIR","2014","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","334.2","","334.2","U","0","U","0","U","0","U","175","U","22","U","3.9","U,1230,+","37.8","U,0630,","","","","","1319.2","","1319.2","U","15.99","U","20.83","U","11.14","U"
"USR0000CBIR","2015","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","373.2","","373.2","U","0","U","0","U","0","U","164","U","23","U","1.7","U,1228,","37.2","U,0910,+","","","","","1171.4","","1171.4","U","15.80","U","20.55","U","11.04","U"
"USR0000CBIR","2016","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","314.5","","314.5","U","0","U","0","U","0","U","146","U","24","U","2.2","U,1226,+","37.8","U,0727,+","","","","","1435.3","","1435.3","U","15.17","U","19.84","U","10.51","U"
"USR0000CBIR","2017","38.0394","-122.57","457.2","BIG ROCK CALIFORNIA, CA US","463.8","","463.8","U","0","U","0","U","0","U","154","U","26","U","1.1","U,0106,","41.7","U,0902,","","","","","1622.9","","1622.9","U","15.48","U","20.11","U","10.84","U"
