"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00111838","1937","40.6","-89.2","226.2","CONGERVILLE, IL US","83","6","66","6","7","6","","","","","","","","","","","","","89",",6,1118,","61.2",",6,0626,","","","","","","","","","","","","","","","","","","","","","","","731.9",",6","451",",6","","","","","",""
"USC00111838","1938","40.6","-89.2","226.2","CONGERVILLE, IL US","82","6","67","6","","","","","","","24","6","174","6","58","6","","","","","55.9",",6,0625,","38.3","6,0823,+","","","","","","","","","","","","","","","","","","","","","811.0",",6","","","","","19.03","6","",""
"USC00111838","1939","40.6","-89.2","226.2","CONGERVILLE, IL US","","","","","","","1","6","129","6","17","6","168","6","48","6","-19.4","6,1231,","","","","","39.4","6,0915,+","-0.6","6,1001","-2.2","6,1015","-5.6","6,1104","-6.7","6,1127","-9.4","6,1214","-1.1","6,0422","-6.1","6,0413","-6.1","6,0413","-9.4","6,0318","-9.4","6,0318","","","","","11.98","6","18.44","6","5.51","6"
