"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00316001","1907","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","85","6","84","6","","","","","","","","","","","","","","","","","","","","","71.1",",6,0923,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1393.3",",6","","","","","","","","","",""
"USC00316001","1908","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","95","6","92","6","","","","","","","","","","","","","","","","","","","","","42.7",",6,0114,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1203.9",",6","","","","","","","","","",""
"USC00316001","1909","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","99","6","95","6","","","","","","","","","","","","","","","","","","","","","63.0",",6,0313,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1664.9",",6","","","","","","","","","",""
"USC00316001","1910","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","101","6","97","6","","","","","","","","","","","","","","","","","","","","","85.1",",6,1206,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1588.2",",6","","","","","","","","","",""
"USC00316001","1911","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","141","6","97","6","","","","","","","","","","","","","","","","","","","","","54.1",",6,0405,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1344.2",",6","","","","","","","","","",""
"USC00316001","1913","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","114","6","88","6","","","","","","","","","","","","","","","","","","","","","52.3",",6,0227,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300.6",",6","","","","","","","","","",""
"USC00316001","1914","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","111","6","89","6","","","2","6","","","","","","","","","","","","","","","51",",6,0226,","50.8",",6,1225,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1243.9",",6","146",",6","","","","","","","",""
"USC00316001","1915","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","127","6","87","6","","","2","6","","","","","","","","","","","","","","","79",",6,0317,","51.6",",6,1218,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1280.1",",6","166",",6","","","","","","","",""
"USC00316001","1916","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","134","6","99","6","","","2","6","","","","","","","","","","","","","","","127",",6,0229,","49.8",",6,0615,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1400.5",",6","216",",6","","","","","","","",""
"USC00316001","1917","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","132","6","98","6","","","","","","","","","","","","","","","","","","","","","63.5",",6,0723,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1468.7",",6","","","","","","","","","",""
