"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00023122","1949","34.09528","-117.23472","353.3","SAN BERNARDINO INTERNATIONAL AIRPORT, CA US","787.0","","787.0","X","41","X","27","X","0","","2","X","0","X","32","X","0","X","243","X","100","X","-6.7","X,0112,","0","T,X,0111,+","165",",X,0111,","36.1",",X,1110,","41.1","X,0923,+","-2.2","X,1211","-2.2","X,1211","","","0.0","X,0216","-2.2","X,0215","-6.7","X,0112","-6.7","X,0112","","","","","262.8",",X","200",",X","16.77","X","24.83","X","8.71","X","315","X","35.3","X"
"USW00023122","1951","34.09528","-117.23472","353.3","SAN BERNARDINO INTERNATIONAL AIRPORT, CA US","759.8","","759.8","X","41","X","26","X","0","","0","X","0","X","14","X","0","X","240","X","93","X","-2.2","X,1209,+","0",",X,1231,+","0","T,X,1219,+","61.7",",X,1229,","40.0","X,0917,+","0.0","X,1206","-2.2","X,1209","","","0.0","X,0304","-2.2","X,0109","","","","","963.3","","963.3","X","353.3",",X","0","T,X","17.18","X","25.19","X","9.16","X","","","",""
"USW00023122","1952","34.09528","-117.23472","353.3","SAN BERNARDINO INTERNATIONAL AIRPORT, CA US","847.8","","847.8","X","50","X","36","X","0","","0","X","0","X","16","X","0","X","232","X","102","X","-1.7","X,0111,+","0",",X,1231,+","0","T,X,0311,","47.0",",X,0116,","40.0","X,0823,","-0.6","X,1128","","","","","0.0","X,0308","","","","","","","1251.4","","1251.4","X","493.9",",X","0","T,X","17.13","X","24.96","X","9.30","X","338","X","25.0","X"
"USW00023122","1953","34.09528","-117.23472","353.3","SAN BERNARDINO INTERNATIONAL AIRPORT, CA US","710.8","","710.8","X","22","X","14","X","0","","0","X","0","X","19","X","0","X","260","X","86","X","-2.8","X,1225,","0","T,X,0302,","15",",X,0301,","31.5",",X,0427,","41.7","X,0912,+","0.0","X,1207","-2.2","X,1224","","","0.0","X,0409","","","","","","","1226.2","","1226.2","X","150.0",",X","15",",X","17.15","X","25.66","X","8.63","X","90","X","30.8","X"
"USW00023122","1954","34.09528","-117.23472","353.3","SAN BERNARDINO INTERNATIONAL AIRPORT, CA US","726.1","","726.1","X","39","X","22","X","0","","0","X","0","X","18","X","0","X","265","X","82","X","-3.9","X,0103,","0",",X,1231,+","0","T,X,0324,","50.3",",X,0119,","40.6","X,0715,","0.0","X,1225","","","","","0.0","X,0316","-2.2","X,0111","","","","","1073.7","","1073.7","X","395.3",",X","0","T,X","17.39","X","25.48","X","9.29","X","","","",""
"USW00023122","1955","34.09528","-117.23472","353.3","SAN BERNARDINO INTERNATIONAL AIRPORT, CA US","789.1","","789.1","X","33","X","20","X","0","","0","X","0","X","13","X","0","X","237","X","90","X","-2.2","X,0222,","0",",X,1231,+","0","T,X,0507,+","29.2",",X,0118,","45.0","X,0906,","0.0","X,1219","","","","","-0.6","X,0224","-2.2","X,0222","","","","","1189.0","","1189.0","X","247.4",",X","0","T,X","17.08","X","24.86","X","9.30","X","338","X","30.3","X"
"USW00023122","1956","34.09528","-117.23472","353.3","SAN BERNARDINO INTERNATIONAL AIRPORT, CA US","765.0","","765.0","X","28","X","11","X","0","","0","X","0","X","16","X","0","X","258","X","92","X","-2.2","X,1209,+","0",",X,1231,+","0","T,X,0216,","102.4",",X,0126,","41.1","X,0823,","0.0","X,1121","-2.2","X,1209","","","-1.1","X,0313","-2.2","X,0217","","","","","1168.6","","1168.6","X","225.8",",X","0","T,X","17.23","X","25.44","X","9.01","X","338","X","24.7","X"
"USW00023122","1957","34.09528","-117.23472","353.3","SAN BERNARDINO INTERNATIONAL AIRPORT, CA US","795.3","","795.3","X","53","X","34","X","0","","1","X","0","X","10","X","0","X","218","X","89","X","-2.2","X,0128,","0","T,X,0129,+","114",",X,0129,","32.0",",X,0420,","42.2","X,0704,","-1.7","X,1130","","","","","0.0","X,0204","-2.2","X,0128","","","","","1110.3","","1110.3","X","427.2",",X","119",",X","17.34","X","24.54","X","10.13","X","","","",""
"USW00023122","1958","34.09528","-117.23472","353.3","SAN BERNARDINO INTERNATIONAL AIRPORT, CA US","937.4","","937.4","X","42","X","30","X","0","","0","X","0","X","5","X","0","X","247","X","111","X","-2.8","X,1117,","0",",X,1231,+","0","T,X,1116,+","42.2",",X,0203,","42.8","X,0710,","-2.8","X,1117","-2.8","X,1117","","","0.0","X,0303","","","","","","","1098.1","","1098.1","X","416.9",",X","0","T,X","18.21","X","26.10","X","10.32","X","","","",""
"USW00023122","1959","34.09528","-117.23472","353.3","SAN BERNARDINO INTERNATIONAL AIRPORT, CA US","932.6","","932.6","X","26","X","16","X","0","","0","X","0","X","0","X","0","X","281","X","94","X","0.6","X,0209,+","0",",X,1231,+","0",",X,1231,+","26.7",",X,0216,","42.2","X,0710,","","","","","","","","","","","","","","","824.2","","824.2","X","213.3",",X","0",",X","18.61","X","26.36","X","10.85","X","113","X","24.2","X"
"USW00023122","1960","34.09528","-117.23472","353.3","SAN BERNARDINO INTERNATIONAL AIRPORT, CA US","948.5","","948.5","X","34","X","26","X","0","","0","X","0","X","11","X","0","X","254","X","112","X","-3.3","X,0103,+","0",",X,1231,+","0",",X,1231,+","24.6",",X,0110,","42.8","X,0720,+","-1.7","X,1208","","","","","0.0","X,0120","-3.3","X,0103","","","","","990.2","","990.2","X","240.8",",X","0",",X","17.87","X","25.89","X","9.84","X","225","X","30.8","X"
"USW00023122","1961","34.09528","-117.23472","353.3","SAN BERNARDINO INTERNATIONAL AIRPORT, CA US","860.6","","860.6","X","23","X","12","X","0","","0","X","0","X","5","X","0","X","262","X","95","X","-1.7","X,0103,+","0",",X,1231,+","0",",X,1231,+","37.1",",X,1202,","44.4","X,0615,","-0.6","X,1213","","","","","0.0","X,0104","","","","","","","1010.2","","1010.2","X","147.8",",X","0",",X","17.82","X","25.71","X","9.93","X","338","X","22.6","X"
"USW00023122","1962","34.09528","-117.23472","353.3","SAN BERNARDINO INTERNATIONAL AIRPORT, CA US","804.9","","804.9","X","41","X","27","X","0","","0","X","0","X","14","X","0","X","243","X","102","X","-3.3","X,1226,","0",",X,1231,+","0","T,X,0227,","26.9",",X,0120,","42.2","X,0812,","-2.8","X,1225","-2.8","X,1225","","","0.0","X,0301","-2.8","X,0112","","","","","1215.6","","1215.6","X","236.4",",X","0","T,X","17.44","X","25.35","X","9.53","X","338","X","21.6","X"
"USW00023122","1963","34.09528","-117.23472","353.3","SAN BERNARDINO INTERNATIONAL AIRPORT, CA US","769.7","","769.7","X","45","X","27","X","0","","0","X","0","X","15","X","0","X","245","X","77","X","-4.4","X,0113,","0",",X,1231,+","0",",X,1231,+","50.3",",X,1120,","41.1","X,0928,","-1.1","X,1212","","","","","-0.6","X,0123","-3.9","X,0114","-4.4","X,0113","","","1043.2","","1043.2","X","410.0",",X","0",",X","17.55","X","24.92","X","10.18","X","","","",""
"USW00023122","1964","34.09528","-117.23472","353.3","SAN BERNARDINO INTERNATIONAL AIRPORT, CA US","685.2","","685.2","X","37","X","18","X","0","","0","X","0","X","29","X","0","X","219","X","96","X","-3.3","X,0109,","0",",X,1231,+","0","T,X,1117,","31.2",",X,1117,","41.1","X,0808,+","-0.6","X,1115","","","","","-0.6","X,0309","-2.2","X,0227","","","","","1311.7","","1311.7","X","234.7",",X","0","T,X","16.25","X","24.52","X","7.98","X","340","X","26.2","X"
"USW00023122","1965","34.09528","-117.23472","353.3","SAN BERNARDINO INTERNATIONAL AIRPORT, CA US","647.6","","647.6","X","51","X","36","X","0","","0","X","0","X","14","X","0","X","224","X","94","X","-3.3","X,0212,","0",",X,1231,+","0",",X,1231,+","96.3",",X,1122,","40.6","X,0809,","0.0","X,1224","","","","","-0.6","X,0224","-3.3","X,0212","","","","","1319.1","","1319.1","X","497.2",",X","0",",X","16.77","X","24.43","X","9.12","X","310","X","24.2","X"
"USW00023122","1966","34.09528","-117.23472","353.3","SAN BERNARDINO INTERNATIONAL AIRPORT, CA US","807.8","","807.8","X","28","X","10","X","0","","0","X","0","X","23","X","0","X","257","X","105","X","-2.8","X,0122,","0",",X,1231,+","0",",X,1231,+","99.8",",X,1205,","40.6","X,0613,","0.0","X,1125","","","","","-1.7","X,0304","-2.2","X,0124","","","","","1090.9","","1090.9","X","325.3",",X","0",",X","17.49","X","25.63","X","9.35","X","350","X","25.2","X"
"USW00023122","1967","34.09528","-117.23472","353.3","SAN BERNARDINO INTERNATIONAL AIRPORT, CA US","896.9","","896.9","X","50","X","28","X","0","","1","X","0","X","15","X","0","X","242","X","108","X","-2.8","X,1215,+","0",",X,1231,+","51",",X,1219,","38.1",",X,0122,","43.3","X,0829,+","-2.8","X,1214","-2.8","X,1214","","","0.0","X,0330","","","","","","","1304.9","","1304.9","X","344.1",",X","51",",X","17.20","X","25.08","X","9.31","X","360","X","20.0","X"
"USW00023122","1968","34.09528","-117.23472","353.3","SAN BERNARDINO INTERNATIONAL AIRPORT, CA US","803.7","","803.7","X","34","X","17","X","0","","0","X","0","X","18","X","0","X","263","X","91","X","-4.4","X,1222,+","0",",X,1231,+","0",",X,1231,+","35.3",",X,0308,","41.1","X,0908,+","0.0","X,1212","-4.4","X,1221","-4.4","X,1221","0.0","X,0201","-3.9","X,0130","","","","","1017.0","","1017.0","X","170.4",",X","0",",X","17.67","X","25.84","X","9.49","X","340","X","18.5","X"
"USW00023122","1969","34.09528","-117.23472","353.3","SAN BERNARDINO INTERNATIONAL AIRPORT, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1115.6","","1115.6","X","","","","","","","","","","","","","",""
"USW00023122","1970","34.09528","-117.23472","353.3","SAN BERNARDINO INTERNATIONAL AIRPORT, CA US","871.0","","871.0","X","40","X","24","X","0","","0","X","0","X","8","X","0","X","253","X","106","X","-3.9","X,0103,","0",",X,1231,+","0",",X,1231,+","33.5",",X,1129,","43.3","X,0807,","","","","","","","-0.6","X,0130","-2.8","X,0106","","","","","","","","","313.4",",X","0",",X","17.81","X","25.87","X","9.74","X","10","X","26.7","X"
