"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013782","1903","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1173.4","","1173.4","0","127","0","81","0","0","","0","0","0","0","16","0","0","0","222","0","26","0","-4.4","0,0218,","0",",0,1231,+","0",",0,1231,+","73.2",",0,0819,","36.7","0,0828,","-0.6","0,1119","-2.8","0,1127","","","","","","","-4.4","0,0218","-4.4","0,0218","-4.4","0,0218","","","","","867.9","","867.9","0","1089.7",",0","0",",0","18.38","0","22.16","0","14.61","0","","","","","","","","","","","",""
"USW00013782","1904","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1134.0","","1134.0","0","111","0","64","0","0","","0","0","0","0","14","0","1","0","210","0","16","0","-5.0","0,0105,","0","T,0,0104,","0","T,0,0211,+","97.0",",0,1020,","35.0","0,0721,+","-1.7","0,1229","","","","","","","","","-2.2","0,0213","-2.2","0,0213","-4.4","0,0106","","","","","1349.0","","1349.0","0","962.7",",0","0","T,0","18.13","0","22.13","0","14.13","0","","","","","","","","","","","",""
"USW00013782","1905","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1320.2","","1320.2","0","111","0","74","0","0","","0","0","0","0","20","0","1","0","221","0","22","0","-8.3","0,0126,","0",",0,1231,+","0","T,0,0107,","49.8",",0,1026,","36.1","0,0624,","-1.1","0,1205","","","","","","","","","-5.6","0,0216","-5.6","0,0216","-5.6","0,0216","-8.3","0,0126","","","1185.7","","1185.7","0","896.1",",0","0","T,0","18.62","0","22.36","0","14.88","0","","","","","","","","","","","",""
"USW00013782","1906","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1309.2","","1309.2","0","118","0","79","0","0","","0","0","0","0","9","0","0","0","222","0","22","0","-5.6","0,1225,","0",",0,1231,+","0",",0,1231,+","86.6",",0,0802,","36.1","0,0810,","-1.7","0,1223","-5.0","0,1224","-5.0","0,1224","","","","","-1.1","0,0228","","","","","","","","","1095.0","","1095.0","0","1108.8",",0","0",",0","18.90","0","22.69","0","15.11","0","","","","","","","","","","","",""
"USW00013782","1907","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1270.4","","1270.4","0","123","0","58","0","0","","0","0","0","0","7","0","0","0","219","0","31","0","-2.8","0,0207,","0",",0,1231,+","0",",0,1231,+","82.6",",0,0629,","37.8","0,0708,","-1.1","0,1205","","","","","","","","","0.0","0,0208","-2.8","0,0207","","","","","","","965.8","","965.8","0","806.4",",0","0",",0","19.09","0","23.03","0","15.15","0","","","","","","","","","","","",""
"USW00013782","1908","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1259.7","","1259.7","0","101","0","63","0","0","","0","0","0","0","5","0","0","0","243","0","19","0","-3.3","0,0203,","0",",0,1231,+","0",",0,1231,+","65.0",",0,1114,","35.0","0,0801,+","","","","","","","","","","","-1.1","0,0228","-3.3","0,0203","","","","","","","1037.1","","1037.1","0","795.8",",0","0",",0","19.28","0","23.22","0","15.35","0","","","","","","","","","","","",""
"USW00013782","1909","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1167.8","","1167.8","0","108","0","67","0","0","","","","0","0","12","0","0","0","227","0","16","0","-7.8","0,1230,","0",",0,1231,+","","","56.4",",0,0819,","34.4","0,0817,+","0.0","0,1210","-3.9","0,1229","-7.8","0,1230","-7.8","0,1230","","","-4.4","0,0201","-4.4","0,0201","-4.4","0,0201","-7.2","0,0131","","","792.7","","792.7","0","982.6",",0","","","18.92","0","22.82","0","15.01","0","","","","","","","","","","","",""
"USW00013782","1910","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1241.0","","1241.0","0","100","0","65","0","0","","","","0","0","15","0","0","0","223","0","19","0","-2.2","0,1222,+","0",",0,1231,+","","","95.3",",0,0830,","35.0","0,0907,+","-1.1","0,1201","-2.2","0,1213","","","","","","","-1.7","0,0214","","","","","","","","","1071.7","","1071.7","0","1008.2",",0","","","18.42","0","22.48","0","14.35","0","","","","","","","","","","","",""
"USW00013782","1911","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1359.4","","1359.4","0","96","0","52","0","0","","0","0","0","0","7","0","0","0","243","0","37","0","-2.2","0,0105,","0",",0,1231,+","0",",0,1231,+","76.2",",0,0902,","35.0","0,0911,+","-1.1","0,1125","","","","","","","","","-0.6","0,0222","-2.2","0,0105","","","","","","","1087.8","","1087.8","0","806.0",",0","0",",0","19.56","0","23.61","0","15.51","0","","","","","","","","","","","",""
"USW00013782","1912","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1304.6","","1304.6","0","118","0","74","0","2","","2","0","0","0","18","0","0","0","227","0","34","0","-6.7","0,0114,+","25",",0,0114,+","38",",0,0113,","137.9",",0,0607,","37.8","0,0902,+","0.0","0,1228","","","","","","","","","-1.1","0,0212","-4.4","0,0211","-4.4","0,0211","-6.7","0,0114","","","1165.3","","1165.3","0","1304.2",",0","63",",0","18.62","0","22.41","0","14.83","0","","","","","","","","","","","",""
"USW00013782","1913","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1182.3","","1182.3","0","104","0","64","0","0","","0","0","0","0","5","0","0","0","228","0","32","0","-0.6","0,1209,+","0",",0,1231,+","0",",0,1231,+","90.4",",0,0905,","36.7","0,0813,+","0.0","0,1111","","","","","","","","","0.0","0,0214","","","","","","","","","844.0","","844.0","0","1054.6",",0","0",",0","19.10","0","23.05","0","15.16","0","","","","","","","","","","","",""
"USW00013782","1914","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1251.3","","1251.3","0","106","0","70","0","1","","1","0","0","0","17","0","0","0","214","0","35","0","-4.4","0,0302,","51",",0,0225,","56",",0,0225,","70.6",",0,0703,","38.3","0,0624,","-2.2","0,1120","-2.2","0,1120","","","","","","","-0.6","0,0321","-4.4","0,0302","-4.4","0,0302","","","","","1205.9","","1205.9","0","1126.1",",0","59",",0","18.29","0","22.21","0","14.38","0","","","","","","","","","","","",""
"USW00013782","1915","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1403.1","","1403.1","0","99","0","71","0","2","","1","0","0","0","3","0","0","0","224","0","40","0","-0.6","0,1221,","25",",0,1221,+","43",",0,1221,","119.4",",0,0512,","36.1","0,0713,","0.0","0,1214","","","","","","","","","0.0","0,0121","","","","","","","","","1260.7","","1260.7","0","1182.7",",0","63",",0","18.86","0","22.83","0","14.89","0","","","","","","","","","","","",""
"USW00013782","1916","32.775","-79.9239","3.0","DOWNTOWN CHARLESTON, SC US","","","1204.7","","1204.7","0","103","0","60","0","0","","0","0","0","0","13","0","0","0","236","0","17","0","-5.6","0,0215,","0","T,0,0228,","0","T,0,0228,","100.8",",0,0723,","36.1","0,0813,","0.0","0,1116","","","","","","","","","-1.1","0,0316","-5.6","0,0215","-5.6","0,0215","","","","","978.1","","978.1","0","1080.0",",0","0","T,0","19.03","0","23.20","0","14.86","0","","","","","","","","","","","",""
