"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00412676","2011","29.6212","-96.366","53.6","EAGLE LAKE RES CTR, TX US","","","","","69","7","31","7","","","","","","","","","","","","","49.5",",7,0622,","","","","","","","","","","","","","","","471.7",",7","","","","","","","",""
"USC00412676","2012","29.6212","-96.366","53.6","EAGLE LAKE RES CTR, TX US","1656.1","","1656.1","7","93","7","48","7","0","7","12","7","0","7","295","7","111","7","-2.8","7,1230,+","75.7",",7,0109,","40.6","7,0627,","1693.3","7","-2.8","7,1211","-2.8","7,1211","-0.6","7,0114","","","","","874.2",",7","21.15","7","27.45","7","14.85","7","27827","7"
"USC00412676","2013","29.6212","-96.366","53.6","EAGLE LAKE RES CTR, TX US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","839.5","","839.5","7","","","","","","","","","",""
