"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00041428","1941","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","694.1","","694.1","6","86","6","52","6","","","","","0","6","2","6","0","6","205","6","65","6","0.0","6,1224,+","","","","","35.8",",6,0405,","42.8","6,0723,","","","0.0","6,1224","","","","","","","0.0","6,0103","","","","","","","1223.4","","1223.4","6","568.5",",6","","","16.80","6","23.37","6","10.24","6","16674","6"
"USC00041428","1942","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","734.4","","734.4","6","70","6","44","6","","","","","0","6","7","6","0","6","196","6","80","6","-3.9","6,0102,","","","","","67.6",",6,0127,","44.4","6,0724,","14944.9","6","-0.6","6,1226","","","","","","","0.0","6,0301","-3.9","6,0102","","","","","1505.2","","1505.2","6","637.8",",6","","","16.00","6","22.99","6","9.00","6","14965","6"
"USC00041428","1943","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","695.3","","695.3","6","55","6","40","6","","","","","0","6","5","6","0","6","211","6","81","6","-5.6","6,0119,","","","","","47.2",",6,0122,","41.7","6,0728,+","14687.0","6","","","","","","","","","0.0","6,0209","-5.6","6,0119","-5.6","6,0119","","","1389.3","","1389.3","6","564.1",",6","","","16.52","6","23.92","6","9.12","6","14441","6"
"USC00041428","1944","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","740.8","","740.8","6","63","6","45","6","","","","","0","6","6","6","0","6","198","6","82","6","-2.2","6,0314,+","","","","","63.0",",6,1110,","43.9","6,0908,","14741.3","6","","","","","","","","","-1.1","6,0315","-2.2","6,0314","","","","","1488.4","","1488.4","6","592.2",",6","","","16.18","6","23.57","6","8.80","6","16286","6"
"USC00041428","1945","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","856.2","","856.2","6","72","6","42","6","","","","","0","6","9","6","0","6","198","6","94","6","-1.1","6,0120,","","","","","45.2",",6,1222,","42.8","6,0726,","14712.9","6","0.0","6,1219","","","","","","","-0.6","6,0409","","","","","","","1557.4","","1557.4","6","607.3",",6","","","16.25","6","23.27","6","9.22","6","15669","6"
"USC00041428","1946","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","707.2","","707.2","6","","","","","","","0","6","0","6","18","6","0","6","195","6","80","6","-2.2","6,1231,+","","","0",",6,1231,+","","","41.7","6,0802,","14901.3","6","0.0","6,1219","-2.2","6,1231","","","","","0.0","6,0314","-2.2","6,0212","","","","","1490.8","","1490.8","6","","","0",",6","15.80","6","23.11","6","8.50","6","15770","6"
"USC00041428","1947","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","796.0","","796.0","6","50","6","37","6","","","0","6","0","6","22","6","0","6","201","6","98","6","-3.9","6,0115,","","","0",",6,1231,+","25.1",",6,1102,","41.1","6,0913,+","15587.6","6","0.0","6,1205","","","","","","","0.0","6,0118","-3.3","6,0116","","","","","1511.4","","1511.4","6","317.9",",6","0",",6","16.27","6","23.41","6","9.14","6","14537","6"
"USC00041428","1948","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","630.9","","630.9","0","66","0","46","0","","","0","0","0","0","17","0","0","0","179","0","72","0","-4.4","0,1223,","","","0",",0,1231,+","29.0",",0,0324,","42.8","0,0716,","5667.2","0","0.0","0,1127","-4.4","0,1223","-4.4","0,1223","","","0.0","6,0212","","","","","","","1762.3","","1762.3","0","520.1",",0","0",",0","15.18","0","22.27","0","8.09","0","",""
"USC00041428","1949","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","801.1","","801.1","0","50","0","37","0","0","","0","0","0","0","39","0","0","0","212","0","84","0","-5.6","0,0125,+","0",",0,1231,+","0",",0,1231,+","30.0",",0,0303,","41.7","0,0923,","1561.6","0","0.0","0,1019","-2.2","0,1211","","","","","-1.1","0,0214","-2.2","0,0213","-5.0","0,0126","","","1775.4","","1775.4","0","349.1",",0","0",",0","16.00","0","23.25","0","8.75","0","18532","0"
"USC00041428","1950","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","854.6","","854.6","0","70","0","50","0","0","","0","0","0","0","20","0","0","0","208","0","85","0","-5.0","0,0104,+","0",",0,1231,+","0",",0,1231,+","48.3",",0,1119,","44.4","0,0820,","","","-0.6","0,1231","","","","","","","0.0","0,0312","-2.2","0,0126","-5.0","0,0104","","","1524.9","","1524.9","0","746.3",",0","0",",0","16.68","0","23.71","0","9.65","0","",""
