"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00298793","1914","34.3","-103.08333","1230.8","TEXICO NEAR, NM US","44","6","37","6","","","","","","","","","","","","","","","","","32.5",",6,0517,","","","","","","","","","","","","","","","","","","","","","","","410.6",",6","","","","","","","",""
"USC00298793","1915","34.3","-103.08333","1230.8","TEXICO NEAR, NM US","49","6","36","6","","","","","","","","","","","","","","","","","111.8",",6,0416,","","","","","","","","","","","","","","","","","","","","","","","728.2",",6","","","","","","","",""
"USC00298793","1916","34.3","-103.08333","1230.8","TEXICO NEAR, NM US","50","6","37","6","4","6","","","","","","","","","","","","","51",",6,1118,+","88.9",",6,0819,","","","","","","","","","","","","","","","","","","","","","","","498.9",",6","165",",6","","","","","",""
"USC00298793","1917","34.3","-103.08333","1230.8","TEXICO NEAR, NM US","29","6","24","6","3","6","","","","","","","","","","","","","76",",6,0114,","56.4",",6,0714,","","","","","","","","","","","","","","","","","","","","","","","277.5",",6","152",",6","","","","","",""
"USC00298793","1918","34.3","-103.08333","1230.8","TEXICO NEAR, NM US","48","6","35","6","","","","","","","","","","","","","","","","","50.8",",6,1231,","","","","","","","","","","","","","","","","","","","","","","","423.9",",6","","","","","","","",""
"USC00298793","1919","34.3","-103.08333","1230.8","TEXICO NEAR, NM US","49","6","42","6","4","6","","","","","","","","","","","","","178",",6,0409,","55.9",",6,0916,","","","","","","","","","","","","","","","","","","","","","","","600.8",",6","330",",6","","","","","",""
"USC00298793","1920","34.3","-103.08333","1230.8","TEXICO NEAR, NM US","39","6","34","6","","","","","","","","","","","","","","","","","38.1",",6,0811,","","","","","","","","","","","","","","","","","","","","","","","372.2",",6","","","","","","","",""
"USC00298793","1923","34.3","-103.08333","1230.8","TEXICO NEAR, NM US","76","6","55","6","","","","","","","","","","","","","","","","","57.2",",6,1210,","","","","","","","","","","","","","","","","","","","","","","","860.8",",6","","","","","","","",""
"USC00298793","1925","34.3","-103.08333","1230.8","TEXICO NEAR, NM US","32","6","26","6","1","6","","","","","","","","","","","","","102",",6,0109,","78.7",",6,0623,","","","","","","","","","","","","","","","","","","","","","","","387.2",",6","102",",6","","","","","",""
"USC00298793","1926","34.3","-103.08333","1230.8","TEXICO NEAR, NM US","","","","","7","6","1","6","123","6","","","","","","","-18.9","6,0122,","191",",6,0328,","","","","","0.0","6,1024","-6.7","6,1109","-6.7","6,1109","-6.7","6,1109","-8.9","6,1121","0.0","6,0415","-2.2","6,0404","-4.4","6,0331","-11.1","6,0330","-11.1","6,0330","","","508",",6","","","","","5.32","6"
"USC00298793","1930","34.3","-103.08333","1230.8","TEXICO NEAR, NM US","37","6","33","6","4","6","3","6","65","6","13","6","165","6","27","6","-21.1","6,0120,","127",",6,1111,","36.8",",6,1001,","37.2","6,1010,+","-2.2","6,1127","-2.2","6,1127","-7.8","6,1220","-7.8","6,1220","-13.3","6,1222","-1.1","6,0328","-2.2","6,0325","-4.4","6,0308","-7.8","6,0123","-13.3","6,0121","412.3",",6","361",",6","14.50","6","18.80","6","10.19","6"
