"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00130933","1988","41.7394","-92.44","270.1","BROOKLYN, IA US","76","6","39","6","","","","","17","6","150","6","55","6","153","6","52","6","-26.7","6,0106,","","","","","74.2",",6,0823,","40.6","6,0817,","-1.7","6,1004","-3.9","6,1012","-4.4","6,1024","-8.3","6,1030","-12.2","6,1128","-1.1","6,0424","-3.3","6,0419","-4.4","6,0416","-10.6","6,0315","-10.6","6,0315","471.7",",6","","","9.92","6","15.88","6","3.95","6"
"USC00130933","1989","41.7394","-92.44","270.1","BROOKLYN, IA US","82","6","56","6","","","","","","","","","61","6","144","6","24","6","","","","","","","52.6",",6,0909,","38.3","6,0710,","","","","","","","","","","","","","","","","","","","","","701.0",",6","","","","","14.35","6","",""
"USC00130933","1990","41.7394","-92.44","270.1","BROOKLYN, IA US","105","6","66","6","","","","","","","","","","","","","","","","","","","","","101.1",",6,0617,","","","","","","","","","","","","","","","","","","","","","","","1034.8",",6","","","","","","","",""
"USC00130933","1991","41.7394","-92.44","270.1","BROOKLYN, IA US","103","6","71","6","58","","8","6","","","","","","","","","","","","","279",",6,0118,+","152",",6,0105,","48.8",",6,1101,","","","","","","","","","","","","","","","","","","","","","","","946.9",",6","559",",6","","","","","",""
"USC00130933","1992","41.7394","-92.44","270.1","BROOKLYN, IA US","108","6","65","6","","","","","","","","","","","","","","","","","","","","","87.4",",6,0725,","","","","","","","","","","","","","","","","","","","","","","","1023.5",",6","","","","","","","",""
"USC00130933","1993","41.7394","-92.44","270.1","BROOKLYN, IA US","130","6","88","6","","","","","","","","","","","","","","","","","","","","","66.0",",6,0829,","","","","","","","","","","","","","","","","","","","","","","","1335.2",",6","","","","","","","",""
"USC00130933","1994","41.7394","-92.44","270.1","BROOKLYN, IA US","88","6","56","6","","","","","","","","","","","","","","","","","","","","","42.7",",6,0905,","","","","","","","","","","","","","","","","","","","","","","","716.6",",6","","","","","","","",""
"USC00130933","1996","41.7394","-92.44","270.1","BROOKLYN, IA US","104","0","57","0","49","","7","0","","","","","","","","","","","","","406",",0,0205,+","203",",0,0127,","65.0",",0,0510,","","","","","","","","","","","","","","","","","","","","","","","793.7",",0","648",",0","","","","","",""
"USC00130933","1997","41.7394","-92.44","270.1","BROOKLYN, IA US","106","0","65","0","77","","18","0","","","","","","","","","","","","","279",",0,1027,","203",",0,1027,","55.9",",0,0621,","","","","","","","","","","","","","","","","","","","","","","","801.8",",0","1401",",0","","","","","",""
"USC00130933","1998","41.7394","-92.44","270.1","BROOKLYN, IA US","127","0","71","0","","","7","0","","","","","","","","","","","","","","","191",",0,0309,","63.0",",0,1005,","","","","","","","","","","","","","","","","","","","","","","","1015.2",",0","729",",0","","","","","",""
