"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00045995","1922","37.91667","-122.56667","289.6","MOUNT TAMALPAIS, CA US","465.5","","465.5","6","86","6","63","6","","","0","6","36","6","1","6","112","6","10","6","-7.2","6,0119,","","","109.2",",6,0129,","34.4","6,0715,","-0.6","6,1208","-1.1","6,0509","-3.9","6,0311","-7.2","6,0119","-7.2","6,0119","","","","","1216.0",",6","","","12.46","6","15.82","6","9.09","6"
"USC00045995","1943","37.91667","-122.56667","289.6","MOUNT TAMALPAIS, CA US","","","","","72","6","53","6","","","","","","","","","","","","","","","","","135.9",",6,0120,","","","","","","","","","","","","","2186.5","","2186.5","6","1075.3",",6","","","","","","","",""
"USC00045995","1944","37.91667","-122.56667","289.6","MOUNT TAMALPAIS, CA US","","","","","","","","","","","0","6","0","6","0","6","126","6","14","6","2.2","6,0222,+","","","","","37.8","6,0909,+","","","","","","","","","","","","","","","","","","","14.26","6","18.08","6","10.44","6"
"USC00045995","1946","37.91667","-122.56667","289.6","MOUNT TAMALPAIS, CA US","","","","","","","","","0","6","0","6","1","6","0","6","108","6","8","6","0.0","6,1112,","0",",6,1231,+","","","37.2","6,0802,","0.0","6,1112","","","","","","","","","","","","","","","0",",6","13.29","6","17.48","6","9.10","6"
"USC00045995","1949","37.91667","-122.56667","289.6","MOUNT TAMALPAIS, CA US","","","","","80","0","41","0","","","","","","","","","","","","","","","","","58.4",",0,0119,","","","","","","","","","","","","","","","","","743.8",",0","","","","","","","",""
"USC00045995","1950","37.91667","-122.56667","289.6","MOUNT TAMALPAIS, CA US","","","","","88","0","56","0","","","","","","","","","","","","","","","","","113.0",",0,1118,","","","","","","","","","","","","","","","","","1539.0",",0","","","","","","","",""
