"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00194760","1885","42.1633","-71.5119","85.3","MILFORD, MA US","","","","","","","","","6","6","120","6","50","6","112","6","5","6","-22.2","6,0219,","","","","","","","33.3","6,0709,","-0.6","6,1024","-2.8","6,1101","-4.4","6,1120","-10.0","6,1127","-10.0","6,1127","0.0","6,0412","-2.2","6,0411","-14.4","6,0330","-14.4","6,0330","-14.4","6,0330","","","","","8.46","6","13.20","6","3.72","6"
"USC00194760","1931","42.1633","-71.5119","85.3","MILFORD, MA US","118","6","67","6","","","","","","","","","","","","","","","","","","","","","99.3",",6,0609,","","","","","","","","","","","","","","","","","","","","","","","998.2",",6","","","","","","","",""
"USC00194760","1932","42.1633","-71.5119","85.3","MILFORD, MA US","113","6","72","6","","","","","","","","","","","","","","","","","","","","","155.2",",6,0916,","","","","","","","","","","","","","","","","","","","","","","","1192.1",",6","","","","","","","",""
"USC00194760","1933","42.1633","-71.5119","85.3","MILFORD, MA US","135","6","77","6","","","","","","","","","","","","","","","","","","","","","115.1",",6,0916,","","","","","","","","","","","","","","","","","","","","","","","1028.5",",6","","","","","","","",""
"USC00194760","1935","42.1633","-71.5119","85.3","MILFORD, MA US","117","6","67","6","","","","","","","","","","","","","","","","","","","","","75.2",",6,0109,","","","","","","","","","","","","","","","","","","","","","","","1066.5",",6","","","","","","","",""
"USC00194760","1936","42.1633","-71.5119","85.3","MILFORD, MA US","128","6","76","6","","","","","","","","","","","","","","","","","","","","","89.7",",6,0918,","","","","","","","","","","","","","","","","","","","","","","","1317.7",",6","","","","","","","",""
"USC00194760","1937","42.1633","-71.5119","85.3","MILFORD, MA US","132","6","81","6","","","","","","","","","","","","","","","","","","","","","73.9",",6,1128,","","","","","","","","","","","","","","","","","","","","","","","1176.1",",6","","","","","","","",""
"USC00194760","1938","42.1633","-71.5119","85.3","MILFORD, MA US","153","6","91","6","","","","","","","","","","","","","","","","","","","","","98.6",",6,0721,","","","","","","","","","","","","","","","","","","","","","","","1510.1",",6","","","","","","","",""
"USC00194760","1941","42.1633","-71.5119","85.3","MILFORD, MA US","106","6","54","6","","","","","","","","","","","","","","","","","","","","","51.1",",6,0207,","","","","","","","","","","","","","","","","","","","","","","","821.4",",6","","","","","","","",""
"USC00194760","1942","42.1633","-71.5119","85.3","MILFORD, MA US","138","6","82","6","","","","","","","","","","","","","","","","","","","","","89.9",",6,1201,","","","","","","","","","","","","","","","","","","","","","","","1219.2",",6","","","","","","","",""
"USC00194760","1943","42.1633","-71.5119","85.3","MILFORD, MA US","128","6","75","6","","","","","","","","","","","","","","","","","","","","","61.0",",6,0306,","","","","","","","","","","","","","","","","","","","","","","","970.7",",6","","","","","","","",""
"USC00194760","1944","42.1633","-71.5119","85.3","MILFORD, MA US","118","6","70","6","","","","","","","","","","","","","","","","","","","","","89.7",",6,0914,","","","","","","","","","","","","","","","","","","","","","","","1047.4",",6","","","","","","","",""
"USC00194760","1945","42.1633","-71.5119","85.3","MILFORD, MA US","153","6","93","6","","","","","","","","","","","","","","","","","","","","","55.9",",6,0619,","","","","","","","","","","","","","","","","","","","","","","","1267.7",",6","","","","","","","",""
"USC00194760","1946","42.1633","-71.5119","85.3","MILFORD, MA US","110","6","69","6","","","10","6","","","","","","","","","","","","","","","254",",6,0219,","58.4",",6,0807,","","","","","","","","","","","","","","","","","","","","","","","1008.0",",6","972",",6","","","","","",""
"USC00194760","1947","42.1633","-71.5119","85.3","MILFORD, MA US","111","6","66","6","","","14","6","","","","","","","","","","","","","","","254",",6,1223,","71.1",",6,1112,","","","","","","","","","","","","","","","","","","","","","","","1040.1",",6","1308",",6","","","","","",""
"USC00194760","1948","42.1633","-71.5119","85.3","MILFORD, MA US","135","0","86","0","","","","","","","","","","","","","","","","","","","","","66.0",",0,0714,","","","","","","","","","","","","","","","","","","","","","","","1072.7",",0","","","","","","","",""
"USC00194760","1949","42.1633","-71.5119","85.3","MILFORD, MA US","126","0","74","0","","","14","0","","","","","","","","","","","","","","","152",",0,0201,","93.5",",0,0901,","","","","","","","","","","","","","","","","","","","","","","","842.0",",0","1027",",0","","","","","",""
"USC00194760","1950","42.1633","-71.5119","85.3","MILFORD, MA US","138","0","80","0","","","15","0","","","","","","","","","","","","","","","165",",0,0215,","72.4",",0,1126,","","","","","","","","","","","","","","","","","","","","","","","1092.6",",0","907",",0","","","","","",""
"USC00194760","1951","42.1633","-71.5119","85.3","MILFORD, MA US","136","0","80","0","","","9","0","","","","","","","","","","","","","","","140",",0,0108,","60.5",",0,1108,","","","","","","","","","","","","","","","","","","","","","","","1304.4",",0","727",",0","","","","","",""
"USC00194760","1952","42.1633","-71.5119","85.3","MILFORD, MA US","127","0","69","0","","","11","0","","","","","","","","","","","","","","","114",",0,0218,","46.5",",0,0602,","","","","","","","","","","","","","","","","","","","","","","","966.8",",0","769",",0","","","","","",""
"USC00194760","1953","42.1633","-71.5119","85.3","MILFORD, MA US","127","0","85","0","","","","","","","","","","","","","","","","","","","","","53.3",",0,0414,","","","","","","","","","","","","","","","","","","","","","","","1379.1",",0","","","","","","","",""
"USC00194760","1954","42.1633","-71.5119","85.3","MILFORD, MA US","140","0","84","0","","","","","","","","","","","","","","","","","","","","","165.6",",0,0912,","","","","","","","","","","","","","","","","","","","","","","","1368.6",",0","","","","","","","",""
"USC00194760","1955","42.1633","-71.5119","85.3","MILFORD, MA US","135","0","81","0","","","10","0","","","","","","","","","","","","","","","89",",0,1120,","190.5",",0,0819,","","","","","","","","","","","","","","","","","","","","","","","1467.3",",0","520",",0","","","","","",""
"USC00194760","1956","42.1633","-71.5119","85.3","MILFORD, MA US","147","0","92","0","","","","","","","","","","","","","","","","","","","","","45.7",",0,0109,","","","","","","","","","","","","","","","","","","","","","","","1210.4",",0","","","","","","","",""
"USC00194760","1957","42.1633","-71.5119","85.3","MILFORD, MA US","109","0","68","0","","","","","","","","","","","","","","","","","","","","","38.1",",0,0406,","","","","","","","","","","","","","","","","","","","","","","","762.8",",0","","","","","","","",""
"USC00194760","1958","42.1633","-71.5119","85.3","MILFORD, MA US","139","0","91","0","","","16","0","","","","","","","","","","","","","","","279",",0,0108,","61.5",",0,0928,","","","","","","","","","","","","","","","","","","","","","","","1343.3",",0","1672",",0","","","","","",""
"USC00194760","1959","42.1633","-71.5119","85.3","MILFORD, MA US","135","0","86","0","","","14","0","","","","","","","","","","","","","","","203",",0,0313,","63.5",",0,0711,","","","","","","","","","","","","","","","","","","","","","","","1287.1",",0","968",",0","","","","","",""
"USC00194760","1960","42.1633","-71.5119","85.3","MILFORD, MA US","122","0","77","0","","","","","","","","","","","","","","","","","","","","","78.7",",0,0913,","","","","","","","","","","","","","","","","","","","","","","","1217.0",",0","","","","","","","",""
"USC00194760","1961","42.1633","-71.5119","85.3","MILFORD, MA US","112","0","77","0","","","16","0","","","","","","","","","","","","","","","305",",0,0205,","90.4",",0,0922,","","","","","","","","","","","","","","","","","","","","","","","1094.1",",0","1594",",0","","","","","",""
"USC00194760","1962","42.1633","-71.5119","85.3","MILFORD, MA US","117","0","75","0","","","15","0","","","","","","","","","","","","","","","305",",0,0215,","72.1",",0,1007,","","","","","","","","","","","","","","","","","","","","","","","1122.6",",0","1254",",0","","","","","",""
"USC00194760","1963","42.1633","-71.5119","85.3","MILFORD, MA US","114","0","77","0","","","12","0","","","","","","","","","","","","","","","203",",0,0127,","65.5",",0,1130,","","","","","","","","","","","","","","","","","","","","","","","981.2",",0","1453",",0","","","","","",""
"USC00194760","1964","42.1633","-71.5119","85.3","MILFORD, MA US","115","0","68","0","","","15","0","","","","","","","","","","","","","","","140",",0,0114,","53.6",",0,1126,","","","","","","","","","","","","","","","","","","","","","","","903.4",",0","1141",",0","","","","","",""
"USC00194760","1965","42.1633","-71.5119","85.3","MILFORD, MA US","111","0","58","0","","","16","0","","","","","","","","","","","","","","","152",",0,0124,","52.8",",0,0226,","","","","","","","","","","","","","","","","","","","","","","","713.0",",0","1120",",0","","","","","",""
"USC00194760","1967","42.1633","-71.5119","85.3","MILFORD, MA US","136","0","85","0","","","19","0","","","","","","","","","","","","","","","305",",0,1229,","59.7",",0,0526,","","","","","","","","","","","","","","","","","","","","","","","1155.5",",0","2147",",0","","","","","",""
"USC00194760","1968","42.1633","-71.5119","85.3","MILFORD, MA US","103","0","69","0","","","11","0","","","","","","","","","","","","","","","178",",0,0126,+","72.4",",0,0318,","","","","","","","","","","","","","","","","","","","","","","","1081.1",",0","1084",",0","","","","","",""
"USC00194760","1969","42.1633","-71.5119","85.3","MILFORD, MA US","114","0","82","0","","","","","","","","","","","","","","","","","","","","","82.8",",0,1227,","","","","","","","","","","","","","","","","","","","","","","","1205.3",",0","","","","","","","",""
"USC00194760","1970","42.1633","-71.5119","85.3","MILFORD, MA US","126","0","72","0","","","26","0","","","","","","","","","","","","","","","152",",0,1217,+","62.5",",0,0403,","","","","","","","","","","","","","","","","","","","","","","","993.4",",0","1700",",0","","","","","",""
"USC00194760","1971","42.1633","-71.5119","85.3","MILFORD, MA US","114","0","76","0","","","20","0","","","","","","","","","","","","","","","102",",0,0407,","60.7",",0,1011,","","","","","","","","","","","","","","","","","","","","","","","983.7",",0","1189",",0","","","","","",""
"USC00194760","1972","42.1633","-71.5119","85.3","MILFORD, MA US","151","0","100","0","","","21","0","","","","","","","","","","","","","","","229",",0,0220,","82.8",",0,1109,","","","","","","","","","","","","","","","","","","","","","","","1594.4",",0","1556",",0","","","","","",""
