"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00299284","1966","35.36","-103.4433","1165.9","UTE DAM, NM US","","","","","40","0","26","0","5","","4","0","","","","","","","","","","","","","102",",0,0122,+","102",",0,0121,","36.6",",0,0808,","","","","","","","","","","","","","","","","","","","","","","","","","","","300.2",",0","216",",0","","","","","","","",""
"USC00299284","1967","35.36","-103.4433","1165.9","UTE DAM, NM US","739.3","","739.3","0","49","0","35","0","3","","2","0","0","0","109","0","4","0","246","0","69","0","-15.6","0,0108,","127",",0,1216,","102",",0,1216,","26.7",",0,0921,","37.8","0,0808,+","-0.6","0,1025","-3.3","0,1031","-5.0","0,1105","-7.2","0,1202","-10.0","0,1207","-1.7","0,0502","-2.2","0,0316","-12.8","0,0308","-12.8","0,0308","-12.8","0,0308","1935.2","","1935.2","0","275.3",",0","127",",0","14.81","0","23.46","0","6.16","0","",""
"USC00299284","1968","35.36","-103.4433","1165.9","UTE DAM, NM US","758.1","","758.1","0","46","0","34","0","5","","3","0","0","0","113","0","1","0","211","0","76","0","-14.4","0,1231,+","76",",0,0310,+","76",",0,1218,","24.4",",0,0713,","41.7","0,0628,","-5.0","0,1111","-5.0","0,1111","-5.0","0,1111","-6.7","0,1128","-8.9","0,1203","-1.7","0,0424","-6.1","0,0322","-6.1","0,0322","-8.3","0,0312","-10.6","0,0215","2282.0","","2282.0","0","297.9",",0","191",",0","14.29","0","22.65","0","5.94","0","",""
"USC00299284","1969","35.36","-103.4433","1165.9","UTE DAM, NM US","880.2","","880.2","0","73","0","52","0","","","5","0","0","0","120","0","3","0","212","0","81","0","-16.7","0,1230,","","","102",",0,1229,+","60.2",",0,0824,","40.0","0,0817,","-0.6","0,1012","-4.4","0,1013","-4.4","0,1013","-8.3","0,1119","-9.4","0,1128","0.0","0,0330","-2.2","0,0327","-5.6","0,0326","-7.8","0,0313","-11.1","0,0309","2123.5","","2123.5","0","648.7",",0","434",",0","14.59","0","22.81","0","6.36","0","45241","0"
"USC00299284","1970","35.36","-103.4433","1165.9","UTE DAM, NM US","849.9","","849.9","0","31","0","27","0","","","8","0","1","0","110","0","3","0","213","0","83","0","-18.3","0,0106,","","","254",",0,0328,","43.2",",0,0916,","38.3","0,0625,+","-2.2","0,1008","-2.2","0,1008","-4.4","0,1028","-7.2","0,1115","-10.6","0,1123","-0.6","0,0501","-2.2","0,0405","-5.6","0,0402","-7.8","0,0319","-10.6","0,0203","2223.8","","2223.8","0","366.5",",0","907",",0","14.62","0","22.81","0","6.44","0","46008","0"
"USC00299284","1971","35.36","-103.4433","1165.9","UTE DAM, NM US","753.8","","753.8","0","42","0","37","0","","","5","0","3","0","104","0","6","0","210","0","75","0","-23.9","0,0105,","","","127",",0,1202,+","58.9",",0,0702,","37.8","0,0716,+","-0.6","0,1029","-2.8","0,1103","-5.6","0,1119","-7.2","0,1203","-9.4","0,1217","-6.1","0,0406","-6.1","0,0406","-6.1","0,0406","-7.2","0,0311","-12.8","0,0303","2144.8","","2144.8","0","442.9",",0","355",",0","14.23","0","22.49","0","5.97","0","",""
"USC00299284","1972","35.36","-103.4433","1165.9","UTE DAM, NM US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1924.7","","1924.7","0","","","","","","","","","","","",""
"USC00299284","1973","35.36","-103.4433","1165.9","UTE DAM, NM US","815.8","","815.8","0","44","0","31","0","","","12","0","0","0","105","0","6","0","212","0","82","0","-15.0","0,1220,","","","76",",0,0223,","47.0",",0,0831,","39.4","0,0708,+","-0.6","0,1109","-2.2","0,1115","-7.2","0,1203","-7.2","0,1203","-11.1","0,1204","-0.6","0,0427","-6.7","0,0410","-6.7","0,0410","-6.7","0,0410","-8.9","0,0210","","","","","373.0",",0","481",",0","14.34","0","22.11","0","6.56","0","",""
"USC00299284","1977","35.36","-103.4433","1165.9","UTE DAM, NM US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2214.4","","2214.4","0","","","","","","","","","","","",""
"USC00299284","2005","35.36","-103.4433","1165.9","UTE DAM, NM US","896.6","","896.6","0","54","0","42","0","9","","7","0","1","0","101","0","5","0","228","0","87","0","-18.9","0,1208,","152",",0,0316,","76",",0,0315,","45.2",",0,0813,","39.4","0,0704,+","-1.7","0,1106","-10.6","0,1115","-10.6","0,1115","-10.6","0,1115","-10.6","0,1115","0.0","0,0502","-3.9","0,0328","-7.8","0,0317","-7.8","0,0317","-9.4","0,0119","","","","","514.8",",0","291",",0","15.25","0","23.71","0","6.80","0","",""
"USC00299284","2006","35.36","-103.4433","1165.9","UTE DAM, NM US","978.4","","978.4","0","47","0","33","0","5","","5","0","0","0","115","0","3","0","234","0","94","0","-14.4","0,0218,","51",",0,0323,+","64",",0,0110,","59.7",",0,0819,","40.0","0,0714,+","0.0","0,1021","-3.3","0,1031","-5.6","0,1111","-7.2","0,1130","-11.1","0,1203","-1.1","0,0408","-3.9","0,0324","-4.4","0,0323","-8.3","0,0321","-9.4","0,0221","1718.2","","1718.2","0","367.4",",0","190",",0","15.48","0","24.40","0","6.56","0","",""
"USC00299284","2007","35.36","-103.4433","1165.9","UTE DAM, NM US","950.6","","950.6","0","55","0","35","0","23","","11","0","1","0","106","0","7","0","238","0","101","0","-20.6","0,0115,","178",",0,0121,","114",",0,0120,","71.9",",0,0711,","41.1","0,0821,","-0.6","0,1023","-2.2","0,1101","-4.4","0,1115","-7.8","0,1125","-8.9","0,1215","-1.1","0,0415","-2.8","0,0408","-10.0","0,0305","-10.0","0,0305","-10.0","0,0305","2190.8","","2190.8","0","370.5",",0","622",",0","14.84","0","23.53","0","6.14","0","",""
"USC00299284","2008","35.36","-103.4433","1165.9","UTE DAM, NM US","","","","","43","0","30","0","1","","1","0","","","","","3","0","224","0","83","0","","","76",",0,0306,","76",",0,0306,","41.9",",0,0529,","40.6","0,0616,","","","","","","","","","","","","","","","","","","","","","2009.6","","2009.6","0","408.9",",0","89",",0","","","23.30","0","","","",""
"USC00299284","2009","35.36","-103.4433","1165.9","UTE DAM, NM US","","","","","53","0","34","0","12","","6","0","","","","","7","0","232","0","83","0","","","203",",0,1224,","203",",0,1224,","35.6",",0,1021,","40.6","0,0715,+","","","","","","","","","","","","","","","","","","","","","","","","","353.4",",0","512",",0","","","23.60","0","","","",""
"USC00299284","2010","35.36","-103.4433","1165.9","UTE DAM, NM US","","","","","36","0","26","0","21","","6","0","","","","","5","0","223","0","97","0","","","254",",0,0129,","229",",0,0129,","41.4",",0,0816,","40.6","0,0714,+","","","","","","","","","","","","","","","","","","","","","","","","","392.4",",0","535",",0","","","23.54","0","","","",""
"USC00299284","2011","35.36","-103.4433","1165.9","UTE DAM, NM US","","","","","37","K","22","K","21","","9","K","","","","","9","K","230","K","113","K","","","127",",K,1221,+","127",",K,1221,+","25.9",",K,0915,","42.2","K,0625,","","","","","","","","","","","","","","","","","","","","","","","","","183.3",",K","584",",K","","","24.41","K","","","",""
"USC00299284","2014","35.36","-103.4433","1165.9","UTE DAM, NM US","","","","","41","7","31","7","","","","","","","","","10","7","228","7","84","7","","","","","","","31.0",",7,0523,","41.7","7,0630,","","","","","","","","","","","","","","","","","","","","","","","","","246.8",",7","","","","","23.43","7","","","",""
"USC00299284","2015","35.36","-103.4433","1165.9","UTE DAM, NM US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2138.9","","2138.9","7","","","","","","","","","","","",""
