"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00385660","2010","33.91245","-82.28776","154.5","MCCORMICK, SC US","","","","","0","","0","0","0",",0,1231,+","0",",0,1231,+","","","1655.0","","1655.0","","","","0",",0"
"USC00385660","2015","33.91245","-82.28776","154.5","MCCORMICK, SC US","155","7","93","7","0","","0","7","0",",7,1231,+","0",",7,1231,+","94.0",",7,1222,","","","","","1659.5",",7","0",",7"
