"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00290041","1958","36.2402","-106.4277","1944.6","ABIQUIU DAM, NM US","","","","","","","","","","","9","0","","","","","","","","","","","","","","","152",",0,0412,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","221.7",",0","677",",0","","","","","",""
"USC00290041","1959","36.2402","-106.4277","1944.6","ABIQUIU DAM, NM US","","","","","","","","","","","3","0","","","","","","","","","","","","","","","51",",0,0121,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","232.4",",0","177",",0","","","","","",""
"USC00290041","1960","36.2402","-106.4277","1944.6","ABIQUIU DAM, NM US","","","","","66","0","28","0","","","6","0","","","","","","","","","","","","","","","127",",0,1214,","22.4",",0,0707,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","248.4",",0","554",",0","","","","","",""
"USC00290041","1961","36.2402","-106.4277","1944.6","ABIQUIU DAM, NM US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","275.0",",0","","","","","","","",""
"USC00290041","1962","36.2402","-106.4277","1944.6","ABIQUIU DAM, NM US","","","","","","","","","","","2","0","","","","","","","","","","","","","","","51",",0,1226,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","207.1",",0","102",",0","","","","","",""
"USC00290041","1963","36.2402","-106.4277","1944.6","ABIQUIU DAM, NM US","","","","","41","0","17","0","","","","","","","","","","","","","","","","","","","","","15.2",",0,0709,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","126.4",",0","","","","","","","",""
"USC00290041","1964","36.2402","-106.4277","1944.6","ABIQUIU DAM, NM US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","265.3",",0","","","","","","","",""
"USC00290041","1965","36.2402","-106.4277","1944.6","ABIQUIU DAM, NM US","","","","","88","0","34","0","","","","","","","","","","","","","","","","","","","","","27.2",",0,0802,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","292.1",",0","","","","","","","",""
"USC00290041","1966","36.2402","-106.4277","1944.6","ABIQUIU DAM, NM US","","","","","61","0","26","0","6","","0","0","","","","","","","","","","","","","51",",0,0119,","0","T,0,0422,+","20.8",",0,0721,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","237.1",",0","0","T,0","","","","","",""
"USC00290041","1967","36.2402","-106.4277","1944.6","ABIQUIU DAM, NM US","","","","","68","0","32","0","","","","","","","","","","","","","","","","","","","","","26.2",",0,0717,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","263.5",",0","","","","","","","",""
