"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00013739","1948","39.87327","-75.22678","3.0","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","","","576.6","","576.6","0","145","0","92","0","36","","7","X","0","0","93","0","25","0","154","0","20","0","-16.1","0,0131,","229",",X,0206,","188",",X,1219,","58.4",",0,1230,","37.8","0,0826,","-0.6","0,1019","-3.3","0,1211","-6.7","0,1220","-6.7","0,1220","-10.6","0,1225","0.0","X,0410","-3.3","X,0329","-4.4","X,0314","-6.7","X,0313","-10.6","X,0306","","","","","1246.8",",0","","","810",",X","12.26","0","17.36","0","7.15","0","","","","","","","","","","","","","","","","","",""
"USW00013739","1949","39.87327","-75.22678","3.0","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","","","738.3","","738.3","0","126","0","87","0","8","","3","0","0","0","80","0","2","0","168","0","33","0","-10.0","0,0212,","102",",0,0210,","99",",0,0210,","38.1",",0,0804,","37.2","0,0705,","-1.1","0,1106","-2.8","0,1122","-5.0","0,1126","-7.2","0,1216","","","-1.1","0,0321","-7.8","0,0320","-7.8","0,0320","-7.8","0,0320","-10.0","0,0212","2359.9","","2359.9","0","1029.2",",0","","","297",",0","13.89","0","19.04","0","8.74","0","","","","","","","","","","","","","","","","","",""
"USW00013739","1950","39.87327","-75.22678","3.0","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","","","509.3","","509.3","0","142","0","76","0","0","","1","0","0","0","100","0","12","0","153","0","14","0","-12.8","0,1228,","0","T,0,1228,+","41",",0,1128,","87.9",",0,1125,","33.9","0,0731,+","0.0","0,1112","-2.8","0,1125","-6.1","0,1126","-7.2","0,1220","-9.4","0,1226","0.0","0,0415","-4.4","0,0414","-4.4","0,0414","-6.7","0,0319","-10.0","0,0304","2556.7","","2556.7","0","1029.1",",0","","","103",",0","12.36","0","17.27","0","7.45","0","","","","","","","","","","","","","","","","","",""
"USW00013739","1951","39.87327","-75.22678","3.0","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","","","624.7","","624.7","0","110","0","72","0","8","","2","0","0","0","84","0","12","0","159","0","20","0","-13.3","0,1217,","127",",0,1214,","135",",0,1214,","45.0",",0,0523,","35.0","0,0727,","-2.2","0,1103","-2.2","0,1103","-5.6","0,1121","-7.2","0,1128","-11.1","0,1216","-2.8","0,0327","-2.8","0,0327","-4.4","0,0216","-8.3","0,0211","-11.1","0,0209","2580.4","","2580.4","0","1061.1",",0","","","212",",0","13.02","0","18.18","0","7.85","0","","","","","","","","","","","","","","","","","",""
"USW00013739","1952","39.87327","-75.22678","3.0","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","","","697.7","","697.7","0","117","0","74","0","8","","4","0","0","0","77","0","4","0","156","0","36","0","-12.2","0,0130,","152",",0,0301,","152",",0,0301,","58.4",",0,1121,","37.8","0,0626,","-2.2","0,1021","-2.2","0,1021","-4.4","0,1129","-10.0","0,1228","-10.0","0,1228","-1.7","0,0318","-2.8","0,0316","-5.6","0,0302","-7.8","0,0214","-12.2","0,0130","2515.3","","2515.3","0","1165.4",",0","","","333",",0","13.30","0","18.25","0","8.35","0","","","","","","","","","","","","","","","","","",""
"USW00013739","1953","39.87327","-75.22678","3.0","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","","","697.9","","697.9","0","120","0","87","0","9","","7","0","0","0","70","0","6","0","167","0","38","0","-10.0","0,1218,","203",",0,1107,","180",",0,0308,","51.8",",0,0723,","38.3","0,0831,","-1.7","0,1106","-2.8","0,1129","-7.8","0,1217","-7.8","0,1217","-10.0","0,1218","-5.0","0,0311","-5.0","0,0311","-5.0","0,0311","-8.3","0,0309","","","2443.7","","2443.7","0","1223.3",",0","","","583",",0","13.78","0","19.02","0","8.55","0","","","","","","","","","","","","","","","","","",""
"USW00013739","1954","39.87327","-75.22678","3.0","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","","","678.2","","678.2","0","112","0","67","0","10","","3","0","0","0","82","0","15","0","165","0","28","0","-15.0","0,0118,+","229",",0,0111,","188",",0,0111,","42.4",",0,0616,","38.9","0,0731,","-1.1","0,1108","-2.8","0,1111","-4.4","0,1203","-6.7","0,1206","-9.4","0,1221","-3.3","0,0404","-3.3","0,0404","-5.0","0,0306","-11.7","0,0213","-11.7","0,0213","2451.6","","2451.6","0","865.4",",0","","","351",",0","13.17","0","18.34","0","8.01","0","","","","","","","","","","","","","","","","","",""
"USW00013739","1955","39.87327","-75.22678","3.0","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","","","736.4","","736.4","0","108","0","57","0","10","","5","0","0","0","92","0","16","0","177","0","33","0","-15.0","0,0203,","76",",0,0212,+","91",",0,0202,","83.6",",0,0812,","37.8","0,0806,+","-1.1","0,1109","-7.2","0,1128","-7.2","0,1128","-7.2","0,1128","-9.4","0,1129","-2.8","0,0329","-2.8","0,0329","-4.4","0,0327","-6.7","0,0308","-9.4","0,0213","2537.4","","2537.4","0","839.6",",0","","","410",",0","13.02","0","17.99","0","8.04","0","","","","","","","","","","","","","","","","","",""
"USW00013739","1956","39.87327","-75.22678","3.0","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","","","532.5","","532.5","0","134","0","93","0","13","","6","0","0","0","81","0","8","0","144","0","15","0","-8.3","0,0222,+","178",",0,0320,+","137",",0,0318,","50.8",",0,0506,","35.0","0,0615,+","-1.1","0,1110","-2.8","0,1111","-5.6","0,1123","-6.7","0,1124","","","0.0","0,0421","-6.1","0,0325","-6.1","0,0325","-6.7","0,0224","","","2903.4","","2903.4","0","1168.9",",0","","","489",",0","12.31","0","17.05","0","7.56","0","","","","","","","","","","","","","","","","","",""
"USW00013739","1957","39.87327","-75.22678","3.0","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","","","683.4","","683.4","0","116","0","66","0","13","","5","0","0","0","83","0","12","0","156","0","31","0","-15.0","0,0118,+","178",",0,1205,","140",",0,1204,","45.2",",0,0825,","38.3","0,0721,","0.0","0,1028","-3.3","0,1111","-5.6","0,1206","-6.7","0,1211","-10.0","0,1212","-0.6","0,0415","-2.2","0,0311","-5.0","0,0304","-6.7","0,0212","-10.6","0,0120","2621.1","","2621.1","0","818.7",",0","","","396",",0","12.85","0","17.91","0","7.80","0","","","","","","","","","","","","","","","","","",""
