"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00267660","1910","39.55","-118.75","1220.7","SODA LAKE, NV US","29","6","9","6","2","6","27","6","182","6","54","6","178",",6,0101,","9.9",",6,0101,","36.7","6,0725,+","","","","","64.0",",6","270",",6","19.12","6"
"USC00267660","1911","39.55","-118.75","1220.7","SODA LAKE, NV US","","","","","","","","","","","","","","","","","","","2873.6","","2873.6","","","","","","",""
