"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00369950","1922","40.11389","-76.71222","94.5","YORK HAVEN, PA US","107","6","65","6","","","","","","","","","","","","","","","","","","","","","42.9",",6,0629,","","","","","","","","","","","","","","","","","","","","","","","777.2",",6","","","","","","","",""
"USC00369950","1923","40.11389","-76.71222","94.5","YORK HAVEN, PA US","112","6","71","6","","","","","","","","","","","","","","","","","","","","","53.1",",6,0414,","","","","","","","","","","","","","","","","","","","","","","","814.3",",6","","","","","","","",""
"USC00369950","1925","40.11389","-76.71222","94.5","YORK HAVEN, PA US","108","6","72","6","","","","","","","","","","","","","","","","","","","","","45.0",",6,0726,","","","","","","","","","","","","","","","","","","","","","","","944.1",",6","","","","","","","",""
"USC00369950","1926","40.11389","-76.71222","94.5","YORK HAVEN, PA US","122","6","84","6","","","","","","","","","","","","","","","","","","","","","50.8",",6,0813,","","","","","","","","","","","","","","","","","","","","","","","985.5",",6","","","","","","","",""
"USC00369950","1927","40.11389","-76.71222","94.5","YORK HAVEN, PA US","","","","","","","7","6","","","","","","","","","","","","","","","203",",6,0220,","","","","","","","","","","","","","","","","","","","","","","","","","","","666",",6","","","","","",""
"USC00369950","1928","40.11389","-76.71222","94.5","YORK HAVEN, PA US","112","6","81","6","","","","","","","","","","","","","","","","","","","","","62.2",",6,0520,","","","","","","","","","","","","","","","","","","","","","","","1165.0",",6","","","","","","","",""
"USC00369950","1929","40.11389","-76.71222","94.5","YORK HAVEN, PA US","116","6","85","6","","","","","","","","","","","","","","","","","","","","","66.0",",6,1002,","","","","","","","","","","","","","","","","","","","","","","","1172.3",",6","","","","","","","",""
"USC00369950","1932","40.11389","-76.71222","94.5","YORK HAVEN, PA US","115","6","84","6","","","4","6","","","","","","","","","","","","","","","152",",6,0307,","60.2",",6,1006,","","","","","","","","","","","","","","","","","","","","","","","1014.3",",6","495",",6","","","","","",""
"USC00369950","1933","40.11389","-76.71222","94.5","YORK HAVEN, PA US","122","6","84","6","","","","","","","","","","","","","","","","","","","","","136.1",",6,0824,","","","","","","","","","","","","","","","","","","","","","","","1284.2",",6","","","","","","","",""
"USC00369950","1934","40.11389","-76.71222","94.5","YORK HAVEN, PA US","","","","","","","6","6","","","","","","","","","","","","","","","127",",6,0227,","","","","","","","","","","","","","","","","","","","","","","","","","","","547",",6","","","","","",""
"USC00369950","1935","40.11389","-76.71222","94.5","YORK HAVEN, PA US","135","6","81","6","","","12","6","","","","","","","","","","","","","","","229",",6,0123,","33.0",",6,1129,","","","","","","","","","","","","","","","","","","","","","","","814.9",",6","882",",6","","","","","",""
"USC00369950","1936","40.11389","-76.71222","94.5","YORK HAVEN, PA US","113","6","84","6","","","10","6","","","","","","","","","","","","","","","152",",6,0120,","47.5",",6,0406,","","","","","","","","","","","","","","","","","","","","","","","1118.2",",6","724",",6","","","","","",""
"USC00369950","1937","40.11389","-76.71222","94.5","YORK HAVEN, PA US","122","6","85","6","","","","","","","","","","","","","","","","","","","","","56.1",",6,1113,","","","","","","","","","","","","","","","","","","","","","","","1095.7",",6","","","","","","","",""
"USC00369950","1938","40.11389","-76.71222","94.5","YORK HAVEN, PA US","115","6","82","6","","","","","","","","","","","","","","","","","","","","","58.4",",6,0818,","","","","","","","","","","","","","","","","","","","","","","","961.7",",6","","","","","","","",""
"USC00369950","1939","40.11389","-76.71222","94.5","YORK HAVEN, PA US","98","6","74","6","","","6","6","","","","","","","","","","","","","","","102",",6,1228,+","41.9",",6,1003,","","","","","","","","","","","","","","","","","","","","","","","881.5",",6","369",",6","","","","","",""
"USC00369950","1943","40.11389","-76.71222","94.5","YORK HAVEN, PA US","104","6","67","6","","","","","","","","","","","","","","","","","","","","","48.3",",6,1109,","","","","","","","","","","","","","","","","","","","","","","","876.7",",6","","","","","","","",""
"USC00369950","1944","40.11389","-76.71222","94.5","YORK HAVEN, PA US","115","6","85","6","","","","","","","","","","","","","","","","","","","","","59.2",",6,0104,","","","","","","","","","","","","","","","","","","","","","","","1081.7",",6","","","","","","","",""
"USC00369950","1946","40.11389","-76.71222","94.5","YORK HAVEN, PA US","107","6","74","6","","","","","","","","","","","","","","","","","","","","","77.5",",6,0602,","","","","","","","","","","","","","","","","","","","","","","","1092.4",",6","","","","","","","",""
"USC00369950","1947","40.11389","-76.71222","94.5","YORK HAVEN, PA US","111","6","79","6","","","","","0","6","92","6","12","6","150","6","10","6","-12.2","6,0205,","","","","","63.0",",6,0522,","34.4","6,0814,+","0.0","6,1115","-4.4","6,1201","-4.4","6,1201","-11.1","6,1225","-11.1","6,1225","-2.2","6,0328","-2.2","6,0328","-6.7","6,0301","-6.7","6,0301","-8.9","6,0209","995.4",",6","","","12.19","6","16.19","6","8.19","6"
