"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00274556","1893","44.49576","-71.57668","262.1","LANCASTER, NH US","","","116.2","","116.2","6","","","","","","","","","46","6","188","6","73","6","105","6","4","6","-28.9","6,1214,","","","","","","","33.9","6,0811,","-0.6","6,0926","-3.3","6,1017","-10.6","6,1031","-10.6","6,1031","-10.6","6,1031","-0.6","6,0527","-2.2","6,0508","-10.0","6,0426","-10.0","6,0426","-10.0","6,0426","","","","","","","","","4.80","6","11.43","6","-1.84","6"
"USC00274556","1894","44.49576","-71.57668","262.1","LANCASTER, NH US","","","","","","","109","6","80","6","","","","","27","6","158","6","48","6","112","6","3","6","-33.3","6,0225,","","","","","33.3",",6,0802,","35.0","6,0728,","-1.1","6,0926","-2.2","6,1008","-4.4","6,1108","-11.7","6,1113","-11.7","6,1113","0.0","6,0514","-2.2","6,0429","-5.0","6,0410","-11.7","6,0403","-11.7","6,0403","4533.1","","4533.1","6","735.6",",6","","","7.13","6","12.88","6","1.38","6"
"USC00274556","1897","44.49576","-71.57668","262.1","LANCASTER, NH US","","","","","","","","","","","","","","","36","6","174","6","69","6","111","6","7","6","-33.3","6,0301,","","","","","","","35.0","6,0705,","0.0","6,0919","-2.8","6,0922","-5.0","6,1003","-6.7","6,1010","-8.9","6,1031","0.0","6,0522","-3.3","6,0508","-5.0","6,0422","-8.9","6,0421","-8.9","6,0421","","","","","","","","","5.18","6","11.60","6","-1.24","6"
"USC00274556","1951","44.49576","-71.57668","262.1","LANCASTER, NH US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","831.5",",0","","","","","","","",""
"USC00274556","1953","44.49576","-71.57668","262.1","LANCASTER, NH US","","","","","","","114","0","62","0","","","","","","","","","","","","","","","","","","","","","36.8",",0,0805,","","","","","","","","","","","","","","","","","","","","","","","","","","","804.6",",0","","","","","","","",""
"USC00274556","1954","44.49576","-71.57668","262.1","LANCASTER, NH US","","","","","","","163","0","100","0","","","","","","","","","","","","","","","","","","","","","66.0",",0,0901,","","","","","","","","","","","","","","","","","","","","","","","","","","","1279.5",",0","","","","","","","",""
"USC00274556","1955","44.49576","-71.57668","262.1","LANCASTER, NH US","","","","","","","125","0","83","0","","","","","","","","","","","","","","","","","","","","","34.8",",0,0530,","","","","","","","","","","","","","","","","","","","","","","","","","","","901.7",",0","","","","","","","",""
"USC00274556","1956","44.49576","-71.57668","262.1","LANCASTER, NH US","","","","","","","154","0","90","0","","","","","","","","","","","","","","","","","","","","","46.2",",0,0528,","","","","","","","","","","","","","","","","","","","","","","","","","","","916.9",",0","","","","","","","",""
"USC00274556","1957","44.49576","-71.57668","262.1","LANCASTER, NH US","","","99.2","","99.2","0","134","0","73","0","88","","14","0","36","0","186","0","53","0","121","0","1","0","-37.8","0,0114,","483",",0,0117,","152",",0,0129,","70.4",",0,0722,","32.2","0,0618,","0.0","0,0828","-3.3","0,0929","-5.0","0,1013","-6.7","0,1021","-9.4","0,1111","-1.1","0,0609","-3.9","0,0519","-4.4","0,0517","-8.3","0,0416","-10.0","0,0415","4722.8","","4722.8","0","896.4",",0","1081",",0","6.01","0","13.02","0","-1.01","0"
"USC00274556","1958","44.49576","-71.57668","262.1","LANCASTER, NH US","","","64.4","","64.4","0","162","0","89","0","120","","33","0","39","0","194","0","54","0","109","0","0","0","-33.9","0,1222,","686",",0,0217,","213",",0,0217,","41.7",",0,0808,","31.1","0,0831,+","-1.7","0,0929","-2.2","0,1002","-5.6","0,1006","-7.8","0,1007","-9.4","0,1014","-1.7","0,0607","-3.3","0,0515","-5.6","0,0503","-8.3","0,0405","-9.4","0,0329","4515.3","","4515.3","0","943.4",",0","2501",",0","5.12","0","11.84","0","-1.60","0"
