"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00202487","1926","43.4","-85.03333",,"EDMORE, MI US","67","6","59","6","","","","","","","","","","","","","","","37.1",",6,1126,","","","698.7",",6","","","",""
"USC00202487","1927","43.4","-85.03333",,"EDMORE, MI US","78","6","66","6","","","","","","","","","","","","","","","69.9",",6,0717,","","","708.2",",6","","","",""
"USC00202487","1928","43.4","-85.03333",,"EDMORE, MI US","84","6","74","6","","","","","","","","","","","","","","","127.0",",6,0802,","","","1056.4",",6","","","",""
"USC00202487","1929","43.4","-85.03333",,"EDMORE, MI US","91","6","68","6","","","","","","","","","","","","","","","57.2",",6,0511,","","","758.7",",6","","","",""
"USC00202487","1930","43.4","-85.03333",,"EDMORE, MI US","","","","","","","","","74","6","141","6","19","6","","","","","","","36.7","6,0720,","","","","","13.22","6"
"USC00202487","1932","43.4","-85.03333",,"EDMORE, MI US","70","6","61","6","","","","","79","6","118","6","5","6","","","","","55.6",",6,0704,","33.3","6,0719,","743.7",",6","","","11.82","6"
"USC00202487","1954","43.4","-85.03333",,"EDMORE, MI US","135","0","78","0","95","","25","0","","","","","","","305",",0,1230,","203",",0,1227,","62.0",",0,1003,","","","828.1",",0","1902",",0","",""
"USC00202487","1955","43.4","-85.03333",,"EDMORE, MI US","117","0","62","0","90","","17","0","","","","","","","406",",0,0218,+","127",",0,0210,","81.8",",0,0830,","","","802.2",",0","748",",0","",""
"USC00202487","1956","43.4","-85.03333",,"EDMORE, MI US","129","0","70","0","92","","22","0","","","","","","","127",",0,1214,+","127",",0,0407,","74.4",",0,0804,","","","829.8",",0","1327",",0","",""
"USC00202487","1957","43.4","-85.03333",,"EDMORE, MI US","125","0","74","0","54","","15","0","","","","","","","203",",0,1231,","102",",0,1231,+","43.9",",0,0708,","","","911.5",",0","814",",0","",""
"USC00202487","1958","43.4","-85.03333",,"EDMORE, MI US","85","0","54","0","104","","","","","","","","","","381",",0,0221,+","","","53.6",",0,1009,","","","600.9",",0","","","",""
"USC00202487","1959","43.4","-85.03333",,"EDMORE, MI US","129","0","92","0","120","","35","0","","","","","","","457",",0,0211,","229",",0,0210,","37.3",",0,0626,","","","1013.4",",0","2403",",0","",""
"USC00202487","1960","43.4","-85.03333",,"EDMORE, MI US","117","0","74","0","116","","24","0","","","","","","","457",",0,0325,+","254",",0,0210,","51.1",",0,0614,","","","735.0",",0","1444",",0","",""
