"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00267192","1936","40.4661","-118.3047","1260.3","RYE PATCH DAM, NV US","426.6","","426.6","6","46","6","18","6","","","","","2","6","158","6","5","6","167","6","63","6","-18.3","6,1204,","","","","","18.0",",6,0603,","40.0","6,0720,+","-3.3","6,0927","-3.3","6,0927","-4.4","6,1024","-6.7","6,1029","-8.9","6,1102","-1.1","6,0501","-3.3","6,0430","-4.4","6,0409","-6.7","6,0406","-9.4","6,0401","3234.8","","3234.8","6","139.2",",6","","","10.83","6","19.84","6","1.83","6","",""
"USC00267192","1937","40.4661","-118.3047","1260.3","RYE PATCH DAM, NV US","370.0","","370.0","6","51","6","28","6","","","","","16","6","171","6","35","6","175","6","68","6","-33.9","6,0120,","","","","","22.1",",6,0225,","38.9","6,0812,","-0.6","6,0924","-3.3","6,1005","-4.4","6,1008","-6.7","6,1110","-10.0","6,1130","0.0","6,0530","-5.6","6,0430","-5.6","6,0430","-6.7","6,0303","-8.9","6,0227","3716.8","","3716.8","6","215.5",",6","","","9.26","6","18.21","6","0.31","6","",""
"USC00267192","1938","40.4661","-118.3047","1260.3","RYE PATCH DAM, NV US","289.6","","289.6","6","63","6","41","6","","","","","0","6","163","6","11","6","164","6","54","6","-17.2","6,1213,","","","","","33.0",",6,0425,","39.4","6,0724,","-2.2","6,1003","-2.2","6,1003","-7.2","6,1106","-7.2","6,1106","-16.7","6,1112","-3.3","6,0507","-3.3","6,0507","-7.2","6,0424","-7.2","6,0424","-9.4","6,0401","3178.1","","3178.1","6","317.3",",6","","","9.92","6","18.14","6","1.70","6","",""
"USC00267192","1939","40.4661","-118.3047","1260.3","RYE PATCH DAM, NV US","386.2","","386.2","6","37","6","18","6","","","","","1","6","169","6","6","6","185","6","66","6","-17.8","6,1225,","","","","","18.8",",6,0927,","38.3","6,0803,+","-1.1","6,0908","-2.8","6,0915","-8.9","6,1026","-8.9","6,1026","-8.9","6,1026","-0.6","6,0617","-2.2","6,0427","-5.6","6,0315","-10.0","6,0308","-10.0","6,0308","3262.3","","3262.3","6","146.3",",6","","","10.87","6","20.02","6","1.71","6","",""
"USC00267192","1941","40.4661","-118.3047","1260.3","RYE PATCH DAM, NV US","277.8","","277.8","6","79","6","31","6","","","","","0","6","152","6","4","6","144","6","40","6","-13.3","6,1227,","","","","","16.0",",6,0811,","38.9","6,0722,","0.0","6,0920","-2.2","6,0928","-6.1","6,1005","-7.8","6,1006","-8.9","6,1119","-4.4","6,0519","-4.4","6,0519","-4.4","6,0519","-7.2","6,0325","-10.0","6,0315","","","","","242.9",",6","","","10.28","6","18.43","6","2.14","6","48156","6"
"USC00267192","1942","40.4661","-118.3047","1260.3","RYE PATCH DAM, NV US","304.5","","304.5","6","60","6","24","6","","","","","2","6","182","6","19","6","152","6","56","6","-21.7","6,0102,","","","","","12.7",",6,0128,","38.9","6,0723,+","-0.6","6,0919","-2.2","6,0920","-4.4","6,1013","-8.3","6,1029","-10.0","6,1111","-1.7","6,0529","-2.2","6,0513","-6.1","6,0502","-6.7","6,0424","-10.0","6,0327","3658.1","","3658.1","6","163.6",",6","","","9.23","6","17.93","6","0.53","6","51922","6"
"USC00267192","1943","40.4661","-118.3047","1260.3","RYE PATCH DAM, NV US","286.6","","286.6","6","","","","","","","","","2","6","164","6","5","6","163","6","57","6","-20.6","6,0119,","","","","","","","38.3","6,0813,+","-3.3","6,1012","-3.3","6,1012","-7.8","6,1031","-7.8","6,1031","-9.4","6,1106","-1.1","6,0602","-3.3","6,0518","-4.4","6,0330","-8.3","6,0320","-9.4","6,0316","3156.0","","3156.0","6","","","","","10.32","6","19.29","6","1.36","6","54662","6"
"USC00267192","1944","40.4661","-118.3047","1260.3","RYE PATCH DAM, NV US","199.6","","199.6","6","","","","","","","","","0","6","184","6","9","6","157","6","48","6","-14.4","6,0128,","","","","","","","37.2","6,0812,+","-2.8","6,0915","-2.8","6,0915","-4.4","6,1106","-7.2","6,1116","-10.6","6,1125","0.0","6,0505","-3.3","6,0504","-6.7","6,0425","-6.7","6,0425","-9.4","6,0328","3546.7","","3546.7","6","","","","","9.25","6","18.12","6","0.36","6","50619","6"
"USC00267192","1945","40.4661","-118.3047","1260.3","RYE PATCH DAM, NV US","316.5","","316.5","6","","","","","","","8","6","6","6","173","6","8","6","149","6","63","6","-20.6","6,0124,","","","152",",6,0118,","","","40.0","6,0728,","-0.6","6,0920","-5.6","6,0923","-5.6","6,0923","-9.4","6,1024","-9.4","6,1024","0.0","6,0615","-3.3","6,0425","-4.4","6,0423","-10.6","6,0413","-10.6","6,0413","3352.4","","3352.4","6","","","584",",6","9.76","6","18.20","6","1.31","6","51285","6"
"USC00267192","1946","40.4661","-118.3047","1260.3","RYE PATCH DAM, NV US","294.9","","294.9","6","","","","","","","8","6","0","6","179","6","5","6","158","6","55","6","-16.1","6,1218,+","","","203",",6,1111,","","","40.0","6,0803,","0.0","6,0917","-3.9","6,1009","-4.4","6,1011","-7.2","6,1018","-10.0","6,1031","0.0","6,0625","-2.8","6,0512","-4.4","6,0410","-8.3","6,0314","-8.9","6,0301","3222.7","","3222.7","6","","","737",",6","9.84","6","18.93","6","0.74","6","50480","6"
