"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00441383","1948","37.41667","-76.36667","3.0","CARDINAL, VA US","129","0","92","0","","","10","0","186","0","28","0","","","77.0",",0,0930,","37.2","0,0829,","1440.8",",0","","","20.04","0"
"USC00441383","1949","37.41667","-76.36667","3.0","CARDINAL, VA US","114","0","79","0","0","0","","","","","","","0",",0,1231,+","65.3",",0,1101,","","","950.9",",0","0",",0","",""
