"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00047807","1955","37.31167","-122.36167","83.8","SAN GREGORIO 2 SE, CA US","1.7","","1.7","0","83","0","44","0","0","","0","0","0","0","36","0","0","0","54","0","0","0","-2.8","0,0202,+","0",",0,1231,+","0","T,0,0418,+","104.1",",0,1223,","30.6","0,1024,+","-0.6","0,1031","-2.2","0,1112","","","","","-0.6","0,0428","-2.2","0,0204","2439.5","","2439.5","0","878.7",",0","0","T,0","11.14","0","17.00","0","5.29","0"
"USC00047807","1956","37.31167","-122.36167","83.8","SAN GREGORIO 2 SE, CA US","12.6","","12.6","0","86","0","47","0","0","","0","0","0","0","20","0","0","0","75","0","1","0","-2.2","0,1207,+","0",",0,1231,+","0",",0,1231,+","59.2",",0,0115,","32.8","0,0627,","-0.6","0,1024","-2.2","0,1207","","","","","-0.6","0,0327","-2.2","0,0306","2514.1","","2514.1","0","553.8",",0","0",",0","11.89","0","17.69","0","6.10","0"
"USC00047807","1957","37.31167","-122.36167","83.8","SAN GREGORIO 2 SE, CA US","5.9","","5.9","0","98","0","59","0","0","","0","0","0","0","20","0","0","0","94","0","0","0","-2.2","0,0131,+","0",",0,1231,+","0","T,0,0128,","83.6",",0,0518,","31.7","0,0907,","0.0","0,1201","","","","","","","-0.6","0,0324","-2.2","0,0131","2188.0","","2188.0","0","873.6",",0","0","T,0","12.61","0","18.32","0","6.90","0"
"USC00047807","1958","37.31167","-122.36167","83.8","SAN GREGORIO 2 SE, CA US","25.8","","25.8","0","89","0","54","0","0","","0","0","0","0","8","0","0","0","126","0","5","0","-2.8","0,1116,","0",",0,1231,+","0",",0,1231,+","73.2",",0,0202,","33.9","0,0927,+","-2.8","0,1116","-2.8","0,1116","","","","","0.0","0,0311","","","1938.3","","1938.3","0","1084.0",",0","0",",0","13.58","0","19.45","0","7.71","0"
"USC00047807","1959","37.31167","-122.36167","83.8","SAN GREGORIO 2 SE, CA US","","","","","53","0","27","0","0","","0","0","","","","","0","0","119","0","4","0","","","0",",0,1231,+","0",",0,1231,+","53.8",",0,0105,","34.4","0,0710,","","","","","","","","","","","","","","","","","410.0",",0","0",",0","","","19.25","0","",""
"USC00047807","1960","37.31167","-122.36167","83.8","SAN GREGORIO 2 SE, CA US","5.9","","5.9","0","76","0","47","0","0","","0","0","0","0","15","0","0","0","65","0","1","0","-3.3","0,0102,+","0",",0,1231,+","0",",0,1231,+","45.0",",0,1126,","33.9","0,0602,","-1.1","0,1208","","","","","","","0.0","0,0417","-2.8","0,0104","2044.4","","2044.4","0","549.9",",0","0",",0","12.30","0","17.98","0","6.61","0"
"USC00047807","1961","37.31167","-122.36167","83.8","SAN GREGORIO 2 SE, CA US","41.2","","41.2","0","81","0","39","0","0","","0","0","0","0","13","0","0","0","90","0","6","0","-2.8","0,0105,","0",",0,1231,+","0",",0,1231,+","37.1",",0,1120,","37.2","0,1015,","-0.6","0,1116","-2.2","0,1117","","","","","-1.1","0,0226","-2.8","0,0105","2157.8","","2157.8","0","467.5",",0","0",",0","12.65","0","18.64","0","6.67","0"
"USC00047807","1962","37.31167","-122.36167","83.8","SAN GREGORIO 2 SE, CA US","9.4","","9.4","0","80","0","45","0","0","","1","0","0","0","19","0","0","0","76","0","1","0","-2.8","0,1225,+","0",",0,1231,+","102",",0,0121,","161.8",",0,1013,","32.2","0,0827,","-2.2","0,1129","-2.2","0,1129","","","","","-0.6","0,0313","-2.2","0,0227","2223.0","","2223.0","0","824.3",",0","102",",0","12.06","0","17.65","0","6.47","0"
"USC00047807","1963","37.31167","-122.36167","83.8","SAN GREGORIO 2 SE, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2254.2","","2254.2","0","","","","","","","","","",""
"USC00047807","1964","37.31167","-122.36167","83.8","SAN GREGORIO 2 SE, CA US","12.6","","12.6","0","83","0","53","0","0","","0","0","0","0","25","0","0","0","68","0","1","0","-2.8","0,0227,","0",",0,1231,+","0","T,0,1228,","63.2",",0,0121,","35.0","0,1019,","0.0","0,1114","","","","","","","0.0","0,0515","-2.2","0,0307","","","","","622.0",",0","0","T,0","12.03","0","17.63","0","6.42","0"
