"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00047446","1895","38.15","-121.7","11.9","RIO VISTA, CA US","417.2","","417.2","6","","","","","","","","","0","6","37","6","0","6","200","6","52","6","-4.4","6,1231,","","","","","","","40.6","6,0623,","0.0","6,1123","-2.8","6,1125","-4.4","6,1231","0.0","6,0329","-2.2","6,0129","","","1501.0","","1501.0","6","","","","","14.84","6","22.21","6","7.47","6"
"USC00047446","1896","38.15","-121.7","11.9","RIO VISTA, CA US","588.9","","588.9","6","","","","","","","","","0","6","24","6","0","6","175","6","51","6","-3.9","6,0104,+","","","","","","","41.7","6,0709,","0.0","6,1126","-2.2","6,1128","","","-1.1","6,0420","-2.2","6,0301","","","1762.3","","1762.3","6","","","","","15.55","6","22.22","6","8.89","6"
"USC00047446","1897","38.15","-121.7","11.9","RIO VISTA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1564.9","","1564.9","6","","","","","","","","","",""
"USC00047446","1898","38.15","-121.7","11.9","RIO VISTA, CA US","568.6","","568.6","6","","","","","","","","","0","6","36","6","0","6","217","6","51","6","-6.1","6,1211,","","","","","","","42.2","6,0812,","-5.0","6,1126","-5.0","6,1126","-5.0","6,1126","0.0","6,0326","-3.3","6,0129","-4.4","6,0127","","","","","","","","","15.63","6","22.65","6","8.62","6"
"USC00047446","1899","38.15","-121.7","11.9","RIO VISTA, CA US","","","","","","","","","","","","","","","","","0","6","188","6","55","6","","","","","","","","","41.1","6,0718,","","","","","","","","","","","","","1457.1","","1457.1","6","","","","","","","22.17","6","",""
"USC00047446","1900","38.15","-121.7","11.9","RIO VISTA, CA US","","","","","56","6","39","6","","","","","","","","","","","","","","","","","","","","","45.0",",6,1120,","","","","","","","","","","","","","","","","","","","382.6",",6","","","","","","","",""
"USC00047446","1901","38.15","-121.7","11.9","RIO VISTA, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1437.5","","1437.5","","","","","","","","","","",""
"USC00047446","1902","38.15","-121.7","11.9","RIO VISTA, CA US","626.5","","626.5","6","","","","","","","","","0","6","21","6","0","6","182","6","48","6","-3.9","6,0130,","","","","","","","42.8","6,0724,","0.0","6,1122","","","","","0.0","6,0203","-3.9","6,0130","","","","","","","","","","","15.80","6","21.73","6","9.87","6"
"USC00047446","1903","38.15","-121.7","11.9","RIO VISTA, CA US","502.3","","502.3","6","46","6","33","6","","","","","0","6","30","6","0","6","197","6","39","6","-2.2","6,0216,+","","","","","28.4",",6,1120,","40.0","6,0606,","0.0","6,1109","","","","","0.0","6,0315","-2.2","6,0216","","","1694.9","","1694.9","6","352.3",",6","","","15.26","6","21.60","6","8.91","6"
"USC00047446","1904","38.15","-121.7","11.9","RIO VISTA, CA US","517.2","","517.2","6","70","6","43","6","","","","","0","6","20","6","0","6","172","6","36","6","-3.3","6,0107,","","","","","68.6",",6,0212,","40.0","6,0908,","-0.6","6,1206","","","","","-1.1","6,0209","-2.8","6,0121","","","1490.1","","1490.1","6","622.7",",6","","","15.38","6","21.48","6","9.27","6"
