"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00414278","1964","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1279.4","","1279.4","0","50","0","37","0","0","","0","0","0","0","64","0","3","0","253","0","100","0","-12.8","0,0114,","0",",0,1231,+","0",",0,1231,+","76.7",",0,0921,","40.6","0,0807,","","","-1.1","0,1120","-2.2","0,1121","-4.4","0,1122","-9.4","0,1218","-9.4","0,1218","-0.6","0,0409","-2.8","0,0326","-5.0","0,0227","-8.3","0,0115","-12.8","0,0114","1577.5","","1577.5","0","742.3",",0","0",",0","17.63","0","24.53","0","10.73","0","62046","0"
"USC00414278","1965","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1159.6","","1159.6","0","62","0","47","0","0","","0","0","0","0","54","0","1","0","236","0","93","0","-9.4","0,0224,","0",",0,1231,+","0","T,0,0224,+","91.4",",0,0513,","37.8","0,0916,","","","0.0","0,1217","","","","","","","","","-2.2","0,0327","-2.2","0,0327","-6.7","0,0321","-6.7","0,0321","-8.9","0,0320","1593.3","","1593.3","0","713.2",",0","0","T,0","17.36","0","23.88","0","10.84","0","62618","0"
"USC00414278","1966","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1068.0","","1068.0","0","50","0","32","0","0","","0","0","0","0","72","0","5","0","242","0","81","0","-13.3","0,0130,+","0",",0,1231,+","0","T,0,0223,+","53.8",",0,0618,","38.3","0,0802,","","","-3.9","0,1102","-3.9","0,1102","-4.4","0,1210","-8.9","0,1212","-8.9","0,1212","-1.1","0,0325","-2.2","0,0324","-5.0","0,0306","-7.2","0,0224","-11.7","0,0131","1496.7","","1496.7","0","523.8",",0","0","T,0","16.71","0","23.53","0","9.89","0","60072","0"
"USC00414278","1967","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1178.3","","1178.3","0","61","0","40","0","0","","0","0","0","0","56","0","1","0","257","0","84","0","-10.0","0,0119,","0",",0,1231,+","0",",0,1231,+","71.9",",0,0915,","40.0","0,0511,","","","-1.1","0,1104","-3.9","0,1203","-5.0","0,1222","","","","","-6.1","0,0309","-6.1","0,0309","-6.1","0,0309","-6.7","0,0308","-9.4","0,0120","1328.4","","1328.4","0","591.5",",0","0",",0","17.76","0","24.54","0","10.98","0","64376","0"
"USC00414278","1968","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","960.9","","960.9","0","79","0","53","0","0","","0","0","0","0","69","0","6","0","225","0","59","0","-11.1","0,0108,+","0",",0,1231,+","0",",0,1231,+","63.0",",0,0120,","37.2","0,0813,","","","-1.1","0,1109","-2.2","0,1128","-4.4","0,1208","-6.7","0,1223","-10.0","0,1231","-1.1","0,0323","-2.2","0,0322","-5.0","0,0224","-6.7","0,0113","-11.1","0,0108","1715.8","","1715.8","0","795.6",",0","102",",0","16.32","0","22.40","0","10.24","0","59969","0"
"USC00414278","1969","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1124.9","","1124.9","0","78","0","52","0","0","","0","0","0","0","49","0","2","0","231","0","74","0","-9.4","0,0101,","0",",0,1231,+","0",",0,1231,+","86.4",",0,0613,","39.4","0,0815,+","","","-1.7","0,1119","-2.2","0,1207","-4.4","0,1229","","","","","0.0","0,0326","-3.3","0,0312","-5.6","0,0310","-7.2","0,0309","-9.4","0,0101","1538.1","","1538.1","0","913.7",",0","0",",0","17.10","0","23.46","0","10.75","0","55989","0"
"USC00414278","1970","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1105.1","","1105.1","0","55","0","35","0","0","","0","0","0","0","59","0","3","0","238","0","89","0","-10.0","0,0107,","0",",0,1231,+","0",",0,1231,+","47.2",",0,0527,","37.8","0,0712,+","","","0.0","0,1104","-3.9","0,1115","-5.0","0,1123","-7.2","0,1124","","","-2.2","0,0405","-2.2","0,0405","-6.1","0,0204","-7.2","0,0203","-8.9","0,0119","1660.9","","1660.9","0","499.7",",0","0",",0","16.87","0","23.65","0","10.08","0","61399","0"
"USC00414278","1971","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1056.5","","1056.5","0","61","0","44","0","0","","0","0","0","0","43","0","3","0","260","0","66","0","-13.3","0,0208,","0",",0,1231,+","0","T,0,0303,","83.8",",0,0923,","37.8","0,0708,+","","","0.0","0,1119","-2.2","0,1204","","","","","","","-1.1","0,0407","-2.2","0,0307","-5.0","0,0304","-6.7","0,0303","-11.1","0,0209","1432.2","","1432.2","0","746.2",",0","0","T,0","17.41","0","24.27","0","10.55","0","61678","0"
"USC00414278","1972","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1143.5","","1143.5","0","56","0","29","0","0","","0","0","0","0","63","0","4","0","258","0","82","0","-12.8","0,0116,+","0",",0,1231,+","0","T,0,1130,","68.1",",0,0630,","40.0","0,0626,","","","-1.7","0,1115","-5.0","0,1122","-5.0","0,1122","-10.6","0,1206","-10.6","0,1206","-2.2","0,0331","-2.2","0,0331","-5.6","0,0208","-8.3","0,0204","-9.4","0,0203","1303.9","","1303.9","0","397.5",",0","0","T,0","17.29","0","24.36","0","10.23","0","",""
"USC00414278","1973","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1017.0","","1017.0","0","68","0","44","0","","","","","0","0","58","0","7","0","245","0","75","0","-14.4","0,0112,","","","","","74.4",",0,0927,","38.9","0,0824,","","","-1.1","0,1125","-2.2","0,1206","-8.3","0,1220","-8.3","0,1220","","","-2.8","0,0410","-2.8","0,0410","-6.7","0,0211","-6.7","0,0211","-13.3","0,0113","1802.6","","1802.6","0","847.1",",0","","","16.87","0","23.60","0","10.13","0","",""
