"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00363435","1921","40.23333","-75.45","46.0","GRATERFORD, PA US","100","6","72","6","","","","","","","","","","","","","","","49.5",",6,0504,","","","818.8",",6","","","",""
"USC00363435","1922","40.23333","-75.45","46.0","GRATERFORD, PA US","118","6","76","6","","","","","","","","","","","","","","","46.5",",6,0603,","","","761.7",",6","","","",""
"USC00363435","1923","40.23333","-75.45","46.0","GRATERFORD, PA US","113","6","81","6","","","","","","","","","","","","","","","31.0",",6,1023,","","","965.8",",6","","","",""
"USC00363435","1924","40.23333","-75.45","46.0","GRATERFORD, PA US","101","6","73","6","","","","","","","","","","","","","","","38.4",",6,0930,","","","955.5",",6","","","",""
"USC00363435","1925","40.23333","-75.45","46.0","GRATERFORD, PA US","97","6","62","6","","","","","","","","","","","","","","","45.2",",6,0102,","","","826.1",",6","","","",""
"USC00363435","1926","40.23333","-75.45","46.0","GRATERFORD, PA US","125","6","90","6","","","","","","","","","","","","","","","35.1",",6,0725,","","","1079.1",",6","","","",""
"USC00363435","1927","40.23333","-75.45","46.0","GRATERFORD, PA US","123","6","76","6","","","","","","","","","","","","","","","63.0",",6,0801,","","","1217.1",",6","","","",""
"USC00363435","1928","40.23333","-75.45","46.0","GRATERFORD, PA US","111","6","72","6","","","","","","","","","","","","","","","57.4",",6,0714,","","","1110.0",",6","","","",""
"USC00363435","1929","40.23333","-75.45","46.0","GRATERFORD, PA US","100","6","80","6","","","","","","","","","","","","","","","75.4",",6,1002,","","","1092.8",",6","","","",""
"USC00363435","1931","40.23333","-75.45","46.0","GRATERFORD, PA US","99","6","73","6","","","5","6","","","","","","","","","76",",6,0316,","102.6",",6,0715,","","","1085.9",",6","241",",6","",""
