"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00140810","1999","37.2757","-95.4728","276.5","BIG HILL LAKE, KS US","","","","","87","0","65","0","","","2","0","","","","","","","","","","","","","","","114",",0,0314,","73.7",",0,0512,","","","","","","","","","","","","","","","","","","","","","","","","","","","1180.7",",0","165",",0","","","","","",""
"USC00140810","2001","37.2757","-95.4728","276.5","BIG HILL LAKE, KS US","","","","","","","","","","","0","0","","","","","","","","","","","","","","","0",",0,1231,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0",",0","","","","","",""
"USC00140810","2002","37.2757","-95.4728","276.5","BIG HILL LAKE, KS US","","","","","71","0","48","0","","","2","0","","","","","","","","","","","","","","","127",",0,0302,","132.1",",0,0508,","","","","","","","","","","","","","","","","","","","","","","","","","","","961.3",",0","213",",0","","","","","",""
"USC00140810","2003","37.2757","-95.4728","276.5","BIG HILL LAKE, KS US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","995.4",",0","","","","","","","",""
"USC00140810","2004","37.2757","-95.4728","276.5","BIG HILL LAKE, KS US","","","","","","","","","","","1","0","","","","","","","","","","","","","","","25",",0,0127,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1073.9",",0","50",",0","","","","","",""
"USC00140810","2005","37.2757","-95.4728","276.5","BIG HILL LAKE, KS US","","","","","69","0","57","0","","","0","0","","","","","","","","","","","","","","","0",",0,1231,+","66.3",",0,0105,","","","","","","","","","","","","","","","","","","","","","","","","","","","1008.6",",0","0",",0","","","","","",""
"USC00140810","2006","37.2757","-95.4728","276.5","BIG HILL LAKE, KS US","","","","","","","","","","","2","0","","","","","","","","","","","","","","","406",",0,1201,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","470",",0","","","","","",""
"USC00140810","2008","37.2757","-95.4728","276.5","BIG HILL LAKE, KS US","","","","","88","0","68","0","","","3","0","","","","","16","0","185","0","17","0","","","","","254",",0,0201,","135.1",",0,0527,","35.6","0,0805,+","","","","","","","","","","","","","","","","","","","","","","","","","1278.0",",0","381",",0","","","18.98","0","",""
"USC00140810","2009","37.2757","-95.4728","276.5","BIG HILL LAKE, KS US","","","","","85","0","55","0","","","","","","","","","","","","","","","","","","","","","89.9",",0,0820,+","","","","","","","","","","","","","","","","","","","","","","","2482.0","","2482.0","","1282.1",",0","","","","","","","",""
"USC00140810","2010","37.2757","-95.4728","276.5","BIG HILL LAKE, KS US","993.6","","993.6","0","81","0","58","0","","","4","0","4","0","93","0","25","0","194","0","53","0","-19.4","0,0111,+","","","178",",0,0321,","58.4",",0,0805,","38.3","0,0815,","-1.7","0,1105","-4.4","0,1125","-4.4","0,1125","-7.8","0,1126","-8.9","0,1206","-1.1","0,0323","-2.8","0,0321","-5.0","0,0304","-9.4","0,0225","-9.4","0,0225","","","","","962.6",",0","406",",0","14.06","0","19.49","0","8.63","0"
"USC00140810","2011","37.2757","-95.4728","276.5","BIG HILL LAKE, KS US","","","","","83","7","58","7","","","","","","","","","","","","","","","","","","","","","83.3",",7,1108,","","","","","","","","","","","","","","","","","","","","","","","2539.8","","2539.8","7","803.8",",7","","","","","","","",""
"USC00140810","2012","37.2757","-95.4728","276.5","BIG HILL LAKE, KS US","","","","","66","7","48","7","","","","","","","","","","","","","","","","","","","","","140.2",",7,0430,","","","","","","","","","","","","","","","","","","","","","","","","","","","922.2",",7","","","","","","","",""
"USC00140810","2013","37.2757","-95.4728","276.5","BIG HILL LAKE, KS US","807.8","","807.8","7","95","7","71","7","","","","","0","7","117","7","23","7","167","7","39","7","-15.0","7,1211,+","","","","","110.2",",7,0805,","36.7","7,0711,","0.0","7,1020","-5.0","7,1112","-5.0","7,1112","-6.7","7,1114","-8.9","7,1128","-0.6","7,0425","-6.7","7,0327","-6.7","7,0327","-6.7","7,0327","-9.4","7,0224","2538.1","","2538.1","7","1310.4",",7","","","12.87","7","18.51","7","7.23","7"
"USC00140810","2014","37.2757","-95.4728","276.5","BIG HILL LAKE, KS US","769.3","","769.3","7","78","7","44","7","","","","","2","7","109","7","27","7","187","7","29","7","-22.8","7,0107,+","","","","","149.1",",7,1010,","36.7","7,0825,+","-0.6","7,1101","-2.8","7,1111","-6.7","7,1112","-6.7","7,1112","-8.9","7,1117","-1.1","7,0416","-3.3","7,0326","-6.7","7,0318","-6.7","7,0318","-12.8","7,0305","2877.6","","2877.6","7","892.6",",7","","","12.83","7","18.76","7","6.90","7"
"USC00140810","2015","37.2757","-95.4728","276.5","BIG HILL LAKE, KS US","781.1","","781.1","7","106","7","67","7","6","","2","7","0","7","88","7","26","7","175","7","26","7","-17.2","7,0108,","102",",7,0301,","102",",7,0301,","77.5",",7,1127,","34.4","7,0725,","-4.4","7,1122","-4.4","7,1122","-4.4","7,1122","-7.8","7,1218","","","0.0","7,0405","-3.3","7,0307","-7.8","7,0306","-7.8","7,0306","-13.9","7,0228","2535.9","","2535.9","7","1091.4",",7","153",",7","13.87","7","18.93","7","8.81","7"
"USC00140810","2016","37.2757","-95.4728","276.5","BIG HILL LAKE, KS US","824.5","","824.5","7","75","7","42","7","0","","0","7","3","7","89","7","17","7","178","7","24","7","-20.0","7,1219,+","0",",7,1231,+","0",",7,1231,+","101.6",",7,0624,","35.6","7,0805,+","-3.9","7,1119","-3.9","7,1119","-10.0","7,1208","-10.0","7,1208","-10.0","7,1208","-2.2","7,0403","-2.2","7,0403","-6.7","7,0227","-6.7","7,0227","-9.4","7,0205","2226.2","","2226.2","7","872.9",",7","0",",7","14.21","7","19.40","7","9.03","7"
