"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00014711","1941","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","595.5","","595.5","6","100","6","55","6","","","","","0","6","115","6","21","6","164","6","26","6","-11.1","6,0114,","","","","","39.9",",6,1213,","37.8","6,0728,","-0.6","6,1113","-2.2","6,1122","-5.6","6,1125","-8.9","6,1221","-8.9","6,1221","-0.6","6,0425","-2.8","6,0331","-6.1","6,0330","-10.0","6,0318","-10.0","6,0318","","","","","693.2",",6","","","11.90","6","17.30","6","6.50","6","","","","","","","","","","","","","","","","","",""
"USW00014711","1942","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","","","","","127","6","81","6","23","","5","6","","","","","","","","","","","","","178",",6,0330,","152",",6,0104,","49.5",",6,1016,","","","","","","","","","","","","","","","","","","","","","","","","","","","1275.3",",6","589",",6","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00014711","1943","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","","","","","104","6","64","6","","","","","","","","","","","","","","","","","","","","","78.0",",6,1108,","","","","","","","","","","","","","","","","","","","","","","","","","","","918.2",",6","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00014711","1944","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","589.9","","589.9","6","123","6","75","6","","","","","0","6","123","6","16","6","147","6","37","6","-16.1","6,0117,","","","","","49.8",",6,0103,","37.2","6,0804,","-0.6","6,1015","-2.2","6,1023","-6.1","6,1126","-6.7","6,1203","-10.6","6,1219","0.0","6,0429","-2.8","6,0405","-7.8","6,0322","-7.8","6,0322","-11.7","6,0306","","","","","1101.1",",6","","","11.46","6","17.00","6","5.93","6","","","","","","","","","","","","","","","","","",""
"USW00014711","1946","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","394.5","","394.5","6","","","","","","","","","0","6","106","6","19","6","167","6","12","6","-14.4","6,0222,","","","","","","","35.6","6,0719,","-1.1","6,1115","-3.3","6,1116","-4.4","6,1123","-8.9","6,1202","-8.9","6,1202","0.0","6,0417","-2.8","6,0407","-5.0","6,0312","-6.7","6,0225","-14.4","6,0222","2939.2","","2939.2","6","","","","","11.94","6","17.76","6","6.11","6","","","","","","","","","","","","","","","","","",""
"USW00014711","1947","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2859.6","","2859.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00014711","1948","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","513.7","","513.7","0","130","0","80","0","","","","","5","0","112","0","29","0","144","0","18","0","-22.2","0,0131,+","","","","","47.8",",0,1230,","37.8","0,0828,","-0.6","0,1018","-2.2","0,1118","-5.0","0,1202","-7.8","0,1222","-10.0","0,1225","-1.7","6,0418","-5.0","6,0329","-5.0","6,0329","-8.3","6,0313","-8.9","6,0312","","","","","1149.5",",0","","","11.31","0","16.71","0","5.91","0","","","","","","","","","","","","","","","","","",""
"USW00014711","1949","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","641.5","","641.5","0","116","0","77","0","13","","4","0","0","0","99","0","4","0","164","0","29","0","-13.9","0,0203,","152",",0,0201,+","157",",0,0131,","48.3",",0,0717,","37.2","0,0706,","0.0","0,1027","-3.3","0,1106","-4.4","0,1122","-6.7","0,1123","-9.4","0,1216","0.0","0,0429","-2.2","0,0321","-7.8","0,0320","-7.8","0,0320","-10.0","0,0319","2700.3","","2700.3","0","910.1",",0","438",",0","12.63","0","18.10","0","7.17","0","","","","","","","","","270","X","","","","","","","24.1","X"
"USW00014711","1950","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","449.9","","449.9","0","131","0","85","0","21","","5","0","1","0","114","0","20","0","149","0","11","0","-17.8","0,1228,","102",",X,1211,+","104",",0,0201,","62.5",",0,1125,","35.0","0,0626,","-1.7","0,1027","-2.8","0,1112","-5.6","0,1113","-7.8","0,1125","-8.9","0,1126","-0.6","0,0416","-4.4","0,0414","-4.4","0,0414","-6.7","0,0320","-12.2","0,0304","2791.8","","2791.8","0","1025.2",",0","407",",0","11.41","0","16.34","0","6.47","0","","","","","","","","","113","X","","","","","","","28.2","X"
"USW00014711","1951","40.1962","-76.7724","95.1","MIDDLETOWN HARRISBURG INTERNATIONAL AIRPORT, PA US","","","542.5","","542.5","0","111","0","71","0","29","","6","0","1","0","107","0","19","0","148","0","23","0","-18.9","0,1217,","330",",0,1218,","216",",0,1218,","59.7",",0,0207,","36.7","0,0727,","-3.9","0,1103","-3.9","0,1103","-5.0","0,1105","-7.2","0,1121","-12.8","0,1216","-4.4","0,0327","-4.4","0,0327","-4.4","0,0327","-7.2","0,0211","-12.2","0,0210","2948.2","","2948.2","0","1047.1",",0","638",",0","11.81","0","16.92","0","6.71","0","","","","","","","","","293","X","","","","","","","24.1","X"
