"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"USC00323836","1909","45.96667","-103.13333","808.0","HALEY, ND US","65","6","119","6","30","6","37.2","6,0820,","4568.6","","4568.6","6","12.55","6"
"USC00323836","1911","45.96667","-103.13333","808.0","HALEY, ND US","51","6","128","6","23","6","39.4","6,0707,","","","","","14.13","6"
