"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00093728","1958","38.71667","-77.18333","22.3","DAVISON ARMY AIR FIELD, VA US","523.6","","523.6","X","126","X","82","X","18","","10","X","0","X","114","X","18","X","169","X","24","X","-16.7","X,1216,","381",",X,0216,","373",",X,0215,","92.5",",X,0825,","35.0","X,0731,","-1.7","X,1107","-3.9","X,1108","-8.3","X,1130","-8.3","X,1130","-9.4","X,1201","0.0","X,0408","-5.0","X,0324","-5.0","X,0324","-12.8","X,0221","-12.8","X,0221","2903.3","","2903.3","X","1267.7",",X","1263",",X","11.61","X","17.55","X","5.68","X","","","",""
"USW00093728","1959","38.71667","-77.18333","22.3","DAVISON ARMY AIR FIELD, VA US","797.4","","797.4","X","106","X","68","X","5","","3","X","1","X","114","X","8","X","179","X","38","X","-19.4","X,0118,","76",",X,0118,+","76",",X,0116,","41.9",",X,0818,","37.2","X,0629,","-0.6","X,1029","-2.8","X,1109","-6.1","X,1118","-6.7","X,1120","","","-1.1","X,0407","-6.7","X,0329","-6.7","X,0329","-6.7","X,0329","-13.9","X,0221","2675.6","","2675.6","X","936.1",",X","198",",X","13.40","X","19.67","X","7.13","X","","","",""
"USW00093728","1960","38.71667","-77.18333","22.3","DAVISON ARMY AIR FIELD, VA US","596.8","","596.8","X","107","X","70","X","37","","10","X","2","X","125","X","17","X","176","X","18","X","-18.9","X,0311,","229",",X,0310,+","226",",X,0303,","50.8",",X,0528,","35.0","X,0723,+","-1.1","X,1021","-2.8","X,1026","-6.1","X,1108","-7.2","X,1202","-8.9","X,1209","-0.6","X,0419","-3.9","X,0411","-5.0","X,0327","-8.3","X,0316","-10.6","X,0314","2702.9","","2702.9","X","899.0",",X","1019",",X","12.09","X","18.23","X","5.96","X","","","",""
"USW00093728","1961","38.71667","-77.18333","22.3","DAVISON ARMY AIR FIELD, VA US","601.7","","601.7","X","113","X","76","X","31","","11","X","6","X","116","X","15","X","166","X","13","X","-23.3","X,0129,","356",",X,0209,","249",",X,0208,","57.9",",X,0713,","33.3","X,0723,+","-0.6","X,1027","-2.8","X,1110","-5.0","X,1111","-9.4","X,1209","-9.4","X,1209","0.0","X,0430","-2.8","X,0408","-4.4","X,0403","-8.3","X,0318","-15.0","X,0206","2951.7","","2951.7","X","991.7",",X","1079",",X","12.15","X","17.77","X","6.53","X","","","",""
"USW00093728","1962","38.71667","-77.18333","22.3","DAVISON ARMY AIR FIELD, VA US","514.0","","514.0","X","120","X","73","X","28","","12","X","0","X","109","X","20","X","164","X","12","X","-14.4","X,0111,","229",",X,1226,","325",",X,0306,","47.0",",X,1109,","34.4","X,0901,+","0.0","X,1025","-4.4","X,1027","-4.4","X,1027","-7.2","X,1210","-10.0","X,1211","-2.2","X,0417","-2.2","X,0417","-5.0","X,0319","-11.7","X,0304","-11.7","X,0304","2743.5","","2743.5","X","943.3",",X","1475",",X","11.88","X","17.15","X","6.61","X","","","",""
"USW00093728","1963","38.71667","-77.18333","22.3","DAVISON ARMY AIR FIELD, VA US","454.8","","454.8","X","96","X","56","X","30","","3","X","1","X","115","X","25","X","168","X","18","X","-18.3","X,0129,","127",",X,1224,+","180",",X,1223,","56.1",",X,1106,","35.0","X,0727,","-0.6","X,1014","-2.8","X,1104","-4.4","X,1113","-6.7","X,1214","-10.6","X,1217","0.0","X,0503","-2.8","X,0324","-6.1","X,0303","-11.7","X,0227","-11.7","X,0227","2891.7","","2891.7","X","762.4",",X","343",",X","11.55","X","17.64","X","5.46","X","248","X","25.2","X"
"USW00093728","1964","38.71667","-77.18333","22.3","DAVISON ARMY AIR FIELD, VA US","534.1","","534.1","X","105","X","67","X","20","","6","X","2","X","108","X","8","X","163","X","19","X","-19.4","X,0115,","229",",X,0116,+","206",",X,0211,","34.3",",X,0321,","37.2","X,0610,","0.0","X,1008","-2.8","X,1012","-8.9","X,1122","-8.9","X,1122","-8.9","X,1122","0.0","X,0416","-3.3","X,0405","-5.0","X,0402","-6.7","X,0331","-10.6","X,0223","2830.4","","2830.4","X","800.6",",X","790",",X","12.41","X","18.34","X","6.48","X","","","",""
"USW00093728","1965","38.71667","-77.18333","22.3","DAVISON ARMY AIR FIELD, VA US","556.3","","556.3","X","118","X","62","X","12","","","","1","X","111","X","10","X","162","X","16","X","-17.8","X,0117,","102",",X,0131,","","","72.4",",X,1007,","34.4","X,0725,","-0.6","X,1006","-2.8","X,1029","-4.4","X,1030","-6.7","X,1130","-8.9","X,1227","0.0","X,0417","-3.9","X,0405","-4.4","X,0401","-10.0","X,0321","-10.0","X,0321","2668.9","","2668.9","X","835.9",",X","","","12.37","X","18.13","X","6.61","X","340","X","23.1","X"
"USW00093728","1966","38.71667","-77.18333","22.3","DAVISON ARMY AIR FIELD, VA US","519.0","","519.0","X","119","X","66","X","31","","11","X","0","X","127","X","19","X","150","X","27","X","-17.2","X,0206,","610",",X,0131,","475",",X,0130,","116.1",",X,0914,","35.6","X,0903,+","0.0","X,1007","-2.2","X,1030","-5.0","X,1104","-8.3","X,1203","-11.7","X,1204","-1.7","X,0511","-2.8","X,0415","-6.1","X,0329","-6.7","X,0310","-9.4","X,0220","2848.0","","2848.0","X","952.9",",X","1720",",X","11.43","X","17.11","X","5.75","X","300","X","23.1","X"
"USW00093728","1967","38.71667","-77.18333","22.3","DAVISON ARMY AIR FIELD, VA US","504.4","","504.4","X","117","X","72","X","22","","3","X","1","X","101","X","10","X","169","X","11","X","-17.8","X,0209,","203",",X,0218,","239",",X,0207,","55.1",",X,0823,","33.3","X,1005,","-2.8","X,1106","-2.8","X,1106","-4.4","X,1116","-8.9","X,1201","-8.9","X,1201","0.0","X,0517","-2.2","X,0412","-5.0","X,0325","-11.7","X,0319","-11.7","X,0319","2984.1","","2984.1","X","964.8",",X","492",",X","12.09","X","17.95","X","6.22","X","","","",""
