"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00014737","1958","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","360.0","","360.0","0","119","0","80","0","48","","12","0","2","0","127","0","37","0","143","0","6","0","-18.9","0,1211,","432",",0,0217,","419",",0,0320,","53.8",",0,0320,","33.9","0,0702,","-0.6","0,1006","-3.9","0,1108","-6.1","0,1123","-6.7","0,1129","-10.0","0,1130","-1.1","0,0410","-3.3","0,0409","-4.4","0,0324","-8.3","0,0223","-10.0","0,0221","3280.5","","3280.5","0","1133.6",",0","1574",",0","9.68","0","14.96","0","4.40","0","","","","","","","","","","","","","","","","","",""
"USW00014737","1959","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","596.4","","596.4","0","134","0","85","0","20","","7","0","0","0","134","0","23","0","159","0","19","0","-16.7","0,0119,","127",",0,1222,+","183",",0,0312,","55.9",",0,0723,","36.1","0,0629,","-1.1","0,1019","-3.3","0,1029","-5.0","0,1117","-8.3","0,1118","-11.7","0,1222","-0.6","0,0413","-8.3","0,0329","-8.3","0,0329","-8.3","0,0329","-9.4","0,0225","3331.9","","3331.9","0","1057.7",",0","620",",0","11.37","0","16.93","0","5.81","0","","","","","","","","","","","","","","","","","",""
"USW00014737","1960","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","355.4","","355.4","0","125","0","81","0","53","","14","0","2","0","134","0","31","0","151","0","1","0","-19.4","0,1223,","356",",0,0304,","351",",0,0303,","83.3",",0,0912,","32.2","0,0829,","-0.6","0,1021","-3.3","0,1107","-6.7","0,1108","-6.7","0,1108","-11.1","0,1209","0.0","0,0420","-2.8","0,0411","-8.3","0,0326","-8.3","0,0326","-9.4","0,0314","3153.9","","3153.9","0","1189.4",",0","1267",",0","10.22","0","15.68","0","4.77","0","","","","","","","","","","","","","","","","","",""
"USW00014737","1961","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","497.7","","497.7","0","127","0","87","0","61","","16","0","12","0","133","0","30","0","157","0","11","0","-24.4","0,0122,","533",",0,0205,","277",",0,0119,","58.4",",0,0715,","33.9","0,0702,+","0.0","0,1005","-2.8","0,1028","-4.4","0,1111","-7.8","0,1209","-11.7","0,1215","-1.1","0,0421","-4.4","0,0409","-4.4","0,0409","-10.6","0,0318","-10.6","0,0318","3511.8","","3511.8","0","997.9",",0","1653",",0","10.44","0","15.91","0","4.98","0","","","","","","","","","","","","","","","","","",""
"USW00014737","1962","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","388.4","","388.4","0","115","0","72","0","39","","13","0","3","0","139","0","37","0","143","0","12","0","-21.1","0,0211,","178",",0,1231,+","119",",0,0209,","42.7",",0,0106,","36.1","0,0519,","0.0","0,1024","-3.3","0,1025","-4.4","0,1107","-8.9","0,1210","-8.9","0,1210","0.0","0,0418","-2.2","0,0417","-4.4","0,0404","-11.1","0,0304","-11.1","0,0304","3203.2","","3203.2","0","1056.6",",0","961",",0","9.90","0","15.52","0","4.28","0","","","","","","","","","","","","","","","","","",""
"USW00014737","1963","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","362.1","","362.1","0","104","0","64","0","74","","10","0","6","0","124","0","44","0","154","0","15","0","-22.8","0,0129,","203",",0,0127,","132",",0,1223,","77.7",",0,0912,","36.1","0,0701,","-0.6","0,0924","-2.2","0,1120","-5.6","0,1201","-6.7","0,1213","-10.6","0,1214","-0.6","0,0427","-2.8","0,0408","-7.8","0,0303","-7.8","0,0303","-10.6","0,0301","3579.3","","3579.3","0","890.2",",0","1030",",0","9.88","0","15.85","0","3.91","0","","","","","","","","","","","","","","","","","",""
"USW00014737","1964","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","418.6","","418.6","0","105","0","64","0","42","","12","0","0","0","130","0","20","0","151","0","17","0","-16.7","0,0115,","279",",0,0220,","241",",0,0219,","39.1",",0,1125,","36.1","0,0630,","0.0","0,1006","-3.9","0,1012","-5.0","0,1121","-8.3","0,1122","-8.9","0,1123","-1.1","0,0410","-2.8","0,0405","-7.8","0,0402","-7.8","0,0402","-10.6","0,0301","3296.1","","3296.1","0","882.5",",0","1167",",0","10.53","0","16.51","0","4.55","0","","","","","","","","","","","","","","","","","",""
"USW00014737","1965","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","428.5","","428.5","0","111","0","64","0","35","","6","0","1","0","132","0","25","0","143","0","20","0","-19.4","0,0115,","152",",0,0111,","160",",0,0110,","44.5",",0,0207,","35.0","0,0623,","0.0","0,1018","-4.4","0,1029","-4.4","0,1029","-7.2","0,1201","-9.4","0,1220","0.0","0,0406","-3.9","0,0404","-6.1","0,0401","-9.4","0,0322","-9.4","0,0322","3311.8","","3311.8","0","776.5",",0","518",",0","10.26","0","15.98","0","4.53","0","","","320","X","","","","","","","20.1","X","","","","","",""
"USW00014737","1966","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","522.0","","522.0","0","117","0","69","0","40","","12","0","2","0","135","0","33","0","127","0","41","0","-18.3","0,0129,","432",",0,1225,","333",",0,1224,","52.1",",0,0213,","40.6","0,0703,","-0.6","0,1018","-3.9","0,1030","-5.0","0,1031","-7.2","0,1120","-12.2","0,1203","-0.6","0,0511","-2.2","0,0405","-6.1","0,0329","-6.7","0,0310","-9.4","0,0221","3417.1","","3417.1","0","972.5",",0","1729",",0","10.16","0","15.93","0","4.39","0","","","250","X","","","","","","","20.6","X","","","","","",""
"USW00014737","1967","40.64985","-75.44771","118.9","ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT, PA US","","","345.2","","345.2","0","116","0","79","0","50","","15","0","4","0","140","0","27","0","131","0","5","0","-21.7","0,0209,","305",",0,0209,+","272",",0,0207,","88.9",",0,0618,","35.0","0,0616,","-1.1","0,1020","-2.8","0,1029","-5.0","0,1106","-7.2","0,1109","-13.9","0,1201","-1.1","0,0426","-3.3","0,0412","-11.7","0,0320","-11.7","0,0320","-11.7","0,0320","3521.1","","3521.1","0","1112.6",",0","1396",",0","9.39","0","15.10","0","3.68","0","","","260","X","","","","","","","17.4","X","","","","","",""
