"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00043113","1956","38.7","-121.16667","106.7","FOLSOM DAM, CA US","770.3","","770.3","0","51","0","37","0","0","","0","0","0","0","15","0","0","0","209","0","79","0","-3.9","0,1222,","0",",0,1231,+","0",",0,1231,+","41.7",",0,0504,","42.2","0,0628,","1884.9","0","-3.3","0,1208","-3.3","0,1208","","","","","","","-0.6","0,0307","-2.8","0,0201","","","","","","","","","474.7",",0","0",",0","16.58","0","23.75","0","9.42","0","33301","0"
"USC00043113","1957","38.7","-121.16667","106.7","FOLSOM DAM, CA US","795.9","","795.9","0","64","0","49","0","0","","0","0","0","0","10","0","0","0","191","0","81","0","-3.3","0,0127,","0",",0,1231,+","0",",0,1231,+","37.3",",0,0305,","41.7","0,0908,+","1801.0","0","-0.6","0,1223","","","","","","","","","0.0","0,0203","-2.8","0,0130","","","","","1370.6","","1370.6","0","617.6",",0","0",",0","16.65","0","23.18","0","10.13","0","32796","0"
"USC00043113","1958","38.7","-121.16667","106.7","FOLSOM DAM, CA US","887.9","","887.9","0","68","0","54","0","0","","0","0","0","0","8","0","0","0","221","0","92","0","-2.2","0,1117,+","0",",0,1231,+","0",",0,1231,+","55.6",",0,0403,","41.1","0,0907,","1783.2","0","-0.6","0,1115","-2.2","0,1116","","","","","","","-0.6","0,0201","","","","","","","1352.0","","1352.0","0","793.9",",0","0",",0","17.55","0","24.54","0","10.57","0","33386","0"
"USC00043113","1959","38.7","-121.16667","106.7","FOLSOM DAM, CA US","814.8","","814.8","0","34","0","27","0","0","","0","0","0","0","4","0","0","0","258","0","86","0","-3.3","0,1231,","0",",0,1231,+","0",",0,1231,+","50.8",",0,0426,","42.8","0,0711,","","","-0.6","0,1214","-3.3","0,1231","","","","","","","-0.6","0,0104","","","","","","","1039.9","","1039.9","0","444.9",",0","0",",0","17.45","0","25.09","0","9.82","0","34128","0"
"USC00043113","1960","38.7","-121.16667","106.7","FOLSOM DAM, CA US","858.1","","858.1","0","61","0","38","0","0","","0","0","0","0","13","0","0","0","209","0","92","0","-5.0","0,0101,","0",",0,1231,+","0",",0,1231,+","50.3",",0,1126,","42.8","0,0721,+","1725.8","0","-4.4","0,1206","-4.4","0,1206","-4.4","0,1206","","","","","0.0","0,0220","-2.8","0,0104","-4.4","0,0102","","","1245.5","","1245.5","0","529.6",",0","0",",0","16.79","0","23.85","0","9.73","0","31109","0"
"USC00043113","1961","38.7","-121.16667","106.7","FOLSOM DAM, CA US","879.8","","879.8","0","60","0","35","0","0","","0","0","0","0","13","0","1","0","205","0","92","0","-4.4","0,1211,","0",",0,1231,+","0",",0,1231,+","37.6",",0,0315,","44.4","0,0712,+","1756.5","0","-4.4","0,1211","-4.4","0,1211","-4.4","0,1211","","","","","-2.2","0,0122","-2.2","0,0122","","","","","1519.2","","1519.2","0","373.6",",0","0",",0","16.39","0","23.13","0","9.65","0","29318","0"
"USC00043113","1962","38.7","-121.16667","106.7","FOLSOM DAM, CA US","666.8","","666.8","0","48","0","35","0","0","","1","0","0","0","32","0","1","0","212","0","79","0","-8.3","0,0122,","0",",0,1231,+","76",",0,0121,","105.7",",0,1013,","40.0","0,0621,","1649.9","0","-1.1","0,1119","","","","","","","","","-1.7","0,0228","-2.2","0,0227","-4.4","0,0124","-8.3","0,0122","1636.0","","1636.0","0","696.3",",0","76",",0","15.85","0","22.85","0","8.85","0","31622","0"
"USC00043113","1963","38.7","-121.16667","106.7","FOLSOM DAM, CA US","645.7","","645.7","0","59","0","39","0","0","","0","0","0","0","24","0","0","0","182","0","68","0","-6.1","0,0112,","0",",0,1231,+","0",",0,1231,+","55.1",",0,0328,","40.0","0,0927,+","","","0.0","0,1210","-3.9","0,1224","","","","","","","0.0","0,0416","-2.2","0,0120","-5.6","0,0113","","","1554.5","","1554.5","0","654.5",",0","0",",0","15.46","0","21.71","0","9.21","0","27225","0"
"USC00043113","1964","38.7","-121.16667","106.7","FOLSOM DAM, CA US","682.8","","682.8","0","71","0","45","0","0","","0","0","0","0","11","0","0","0","189","0","70","0","-1.7","0,0214,","0",",0,1231,+","0",",0,1231,+","59.2",",0,0121,","40.6","0,0725,+","1691.3","0","-1.1","0,1116","","","","","","","","","-1.1","0,0424","","","","","","","1781.8","","1781.8","0","620.2",",0","0",",0","15.68","0","22.64","0","8.72","0","35342","0"
"USC00043113","1965","38.7","-121.16667","106.7","FOLSOM DAM, CA US","631.8","","631.8","0","57","0","38","0","0","","0","0","0","0","15","0","0","0","198","0","57","0","-2.8","0,1222,+","0",",0,1231,+","0",",0,1231,+","35.1",",0,1225,","38.3","0,0717,+","","","-2.8","0,1215","-2.8","0,1215","","","","","","","0.0","0,0215","-2.2","0,0101","","","","","1543.3","","1543.3","0","522.4",",0","0",",0","15.70","0","22.17","0","9.23","0","31777","0"
