"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00413644","1908","31.65","-97.216667","159.7","GORHAM, TX US","54","0","48","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","158.8",",0,0524,","","","","","853.7",",0","0",",0"
"USC00413644","1909","31.65","-97.216667","159.7","GORHAM, TX US","37","0","36","0","0","","1","0","0",",0,1231,+","89",",0,1219,","76.7",",0,0808,","","","","","601.8",",0","89",",0"
"USC00413644","1911","31.65","-97.216667","159.7","GORHAM, TX US","39","0","39","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","102.1",",0,0717,","1003.3","","1003.3","","745.4",",0","0",",0"
"USC00413644","1912","31.65","-97.216667","159.7","GORHAM, TX US","37","0","36","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","76.2",",0,1016,+","","","","","717.0",",0","0",",0"
"USC00413644","1913","31.65","-97.216667","159.7","GORHAM, TX US","48","0","46","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","119.4",",0,1202,","","","","","1185.7",",0","0",",0"
"USC00413644","1914","31.65","-97.216667","159.7","GORHAM, TX US","52","0","52","0","0","","0","0","0",",0,1231,+","0",",0,1231,+","82.6",",0,0428,","","","","","1125.6",",0","0",",0"
"USC00413644","1915","31.65","-97.216667","159.7","GORHAM, TX US","51","0","49","0","1","","3","0","76",",0,0309,","76",",0,0309,","86.4",",0,0818,","","","","","917.0",",0","139",",0"
"USC00413644","1916","31.65","-97.216667","159.7","GORHAM, TX US","39","0","37","0","0","","0","0","0",",0,1231,+","0","T,0,1114,+","66.0",",0,1122,","","","","","749.7",",0","0","T,0"
"USC00413644","1917","31.65","-97.216667","159.7","GORHAM, TX US","31","0","30","0","0","","0","0","0",",0,1231,+","0","T,0,0304,+","57.2",",0,0511,","","","","","445.9",",0","0","T,0"
